precinct,ballot_type,registered_voters,ballots_cast,turnout,DONALD_TRUMP,BEN_CARSON,TED_CRUZ,JOHN_KASICH,JIM_GILMORE,WRITE_IN,over_votes,under_votes
7861,Election_Day,38,4,10.53,4,,,,,,,
7861,VBM,38,6,15.79,3,,,2,,,,1
7862,Election_Day,38,4,10.53,1,,1,1,,1,,
7862,VBM,38,12,31.58,6,,1,4,,,,1
7863,Election_Day,38,5,13.16,2,,1,2,,,,
7863,VBM,38,8,21.05,3,2,1,2,,,,
7864,Election_Day,50,4,8.00,2,,,1,,1,,
7864,VBM,50,12,24.00,6,,,6,,,,
7865,Election_Day,44,10,22.73,5,2,,3,,,,
7865,VBM,44,12,27.27,7,,4,,1,,,
7866,Election_Day,96,13,13.54,8,1,1,2,,,,1
7866,VBM,96,35,36.46,22,3,5,1,,1,,3
7867,Election_Day,47,6,12.77,1,,,4,,,,1
7867,VBM,47,11,23.40,5,,1,4,,,,1
7868,Election_Day,38,8,21.05,2,,1,4,,1,,
7868,VBM,38,9,23.68,6,,,,,2,,1
7869,Election_Day,56,5,8.93,2,,,2,,1,,
7869,VBM,56,17,30.36,7,,,2,2,3,,3
7871,VBM,43,13,30.23,4,,1,3,,4,,1
7872,Election_Day,34,7,20.59,3,,1,2,,1,,
7872,VBM,34,8,23.53,7,,,,,1,,
7873,Election_Day,38,7,18.42,3,1,1,2,,,,
7873,VBM,38,11,28.95,5,,,5,1,,,
7874,Election_Day,22,5,22.73,1,,2,1,,,,1
7874,VBM,22,2,9.09,2,,,,,,,
7875,Election_Day,42,4,9.52,3,,1,,,,,
7875,VBM,42,12,28.57,8,1,2,1,,,,
7901,Election_Day,53,4,7.55,3,,,,,,,1
7901,VBM,53,8,15.09,3,1,1,1,1,1,,
7902,Election_Day,34,4,11.76,3,,,1,,,,
7902,VBM,34,6,17.65,3,,,,,3,,
7903,Election_Day,46,6,13.04,4,,,,,,,2
7903,VBM,46,2,4.35,1,,,,,1,,
7904,Election_Day,45,4,8.89,1,,,3,,,,
7904,VBM,45,13,28.89,5,1,1,3,,2,,1
7905,Election_Day,23,3,13.04,2,,,,,,,1
7905,VBM,23,4,17.39,1,,2,1,,,,
7906,Election_Day,28,6,21.43,1,,4,,,,,1
7906,VBM,28,2,7.14,1,1,,,,,,
7907,Election_Day,24,3,12.50,1,1,1,,,,,
7907,VBM,24,3,12.50,1,,,1,,1,,
7908,Election_Day,43,3,6.98,2,,,1,,,,
7908,VBM,43,7,16.28,5,,1,1,,,,
7909,Election_Day,23,2,8.70,,,1,1,,,,
7909,VBM,23,1,4.35,1,,,,,,,
7911,Election_Day,24,1,4.17,1,,,,,,,
7911,VBM,24,9,37.50,7,,1,,,1,,
7912,Election_Day,36,4,11.11,2,1,,,,1,,
7912,VBM,36,5,13.89,4,,1,,,,,
7913,VBM,30,5,16.67,1,1,,3,,,,
7914,Election_Day,24,0,0.00,,,,,,,,
7914,VBM,24,4,16.67,3,,1,,,,,
7915,Election_Day,24,4,16.67,2,,1,1,,,,
7915,VBM,24,1,4.17,,,1,,,,,
7916,Election_Day,35,4,11.43,1,,2,,,,,1
7916,VBM,35,9,25.71,5,1,,1,,1,,1
7917,Election_Day,47,1,2.13,,1,,,,,,
7917,VBM,47,6,12.77,1,1,3,,1,,,
7918,Election_Day,26,3,11.54,,,,2,,,,1
7918,VBM,26,5,19.23,3,,,1,,,,1
