precinct,ballot_type,registered_voters,ballots_cast,turnout,KEITH_JUDD,MICHAEL_STEINBERG,BERNIE_SANDERS,WILLIE_WILSON,ROQUE_DE_LA_FUENTE,HILLARY_CLINTON,HENRY_HEWES,WRITE_IN,over_votes,under_votes
9756,Election_Day,485,107,22.06,,,51,,,56,,,,
9756,VBM,485,144,29.69,,,65,,,73,,3,,3
9801,Election_Day,243,65,26.75,,,23,,,41,,,,1
9801,VBM,243,70,28.81,,,38,,,30,,,,2
9900,Election_Day,0,0,0.00,,,,,,,,,,
9900,VBM,0,0,0.00,,,,,,,,,,
9901,Election_Day,0,0,0.00,,,,,,,,,,
9901,VBM,0,0,0.00,,,,,,,,,,
9902,Election_Day,0,0,0.00,,,,,,,,,,
9902,VBM,0,0,0.00,,,,,,,,,,
