precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7041,VBM,55,20,36.36,18,2,,
7042,Election_Day,627,100,15.95,68,13,1,18
7042,VBM,627,202,32.22,136,41,,25
7043,Election_Day,884,111,12.56,82,10,,19
7043,VBM,884,257,29.07,180,38,,39
7044,Election_Day,785,85,10.83,53,13,,19
7044,VBM,785,104,13.25,68,19,,17
7045,Election_Day,736,99,13.45,71,10,,18
7045,VBM,736,242,32.88,173,20,1,48
7046,Election_Day,416,61,14.66,47,8,,6
7046,VBM,416,139,33.41,101,19,,19
7047,Election_Day,783,98,12.52,57,25,,16
7047,VBM,783,282,36.02,194,48,,40
7048,Election_Day,793,106,13.37,73,18,,15
7048,VBM,793,210,26.48,161,19,,30
7049,Election_Day,778,105,13.5,67,16,,22
7049,VBM,778,218,28.02,143,42,,33
7051,Election_Day,839,80,9.54,61,8,,11
7051,VBM,839,297,35.4,215,51,,31
7052,Election_Day,813,126,15.5,95,15,,16
7052,VBM,813,266,32.72,204,26,,36
7053,Election_Day,446,40,8.97,32,2,,6
7053,VBM,446,170,38.12,128,21,,21
7054,Election_Day,949,179,18.86,127,25,1,26
7054,VBM,949,252,26.55,184,27,1,40
7101,Election_Day,135,9,6.67,5,1,,3
7101,VBM,135,81,60,57,16,,8
7201,Election_Day,874,170,19.45,112,25,,33
7201,VBM,874,322,36.84,227,37,,58
7202,Election_Day,783,180,22.99,125,23,,32
7202,VBM,783,258,32.95,186,25,,47
7203,Election_Day,806,209,25.93,153,17,,39
7203,VBM,806,229,28.41,158,34,,37
7204,Election_Day,811,155,19.11,111,21,,23
7204,VBM,811,332,40.94,241,41,,50
7205,Election_Day,826,162,19.61,115,20,,27
7205,VBM,826,288,34.87,211,46,1,30
7206,Election_Day,339,89,26.25,68,7,,14
7206,VBM,339,106,31.27,69,22,,15
7207,Election_Day,584,115,19.69,78,10,,27
7207,VBM,584,191,32.71,134,19,,38
7208,Election_Day,565,117,20.71,85,7,,25
7208,VBM,565,199,35.22,138,27,,34
7209,Election_Day,529,67,12.67,48,9,,10
7209,VBM,529,288,54.44,207,36,,45
7301,Election_Day,953,142,14.9,95,24,,23
7301,VBM,953,321,33.68,202,58,,61
7302,Election_Day,773,138,17.85,96,12,,30
7302,VBM,773,358,46.31,248,43,,67
7303,Election_Day,914,205,22.43,143,28,,34
7303,VBM,914,294,32.17,216,33,,45
7304,Election_Day,924,199,21.54,143,17,,39
7304,VBM,924,317,34.31,229,31,,57
7305,Election_Day,825,215,26.06,147,22,,46
7305,VBM,825,302,36.61,223,31,,48
7306,Election_Day,936,181,19.34,131,21,,29
7306,VBM,936,308,32.91,214,39,,55
7307,Election_Day,717,167,23.29,115,14,1,37
7307,VBM,717,231,32.22,157,41,,33
7308,Election_Day,588,171,29.08,121,20,,30
7308,VBM,588,209,35.54,155,23,,31
7309,Election_Day,775,198,25.55,132,26,,40
7309,VBM,775,222,28.65,160,27,,35
7311,Election_Day,875,214,24.46,155,26,,33
7311,VBM,875,268,30.63,198,27,,43
7312,Election_Day,806,156,19.35,108,24,,24
7312,VBM,806,345,42.8,232,54,,59
7313,Election_Day,879,155,17.63,97,27,,31
7313,VBM,879,308,35.04,201,48,,59
7314,Election_Day,739,92,12.45,69,8,,15
7314,VBM,739,225,30.45,141,36,1,47
7315,Election_Day,695,165,23.74,109,16,,40
7315,VBM,695,193,27.77,137,28,,28
7316,Election_Day,823,142,17.25,93,15,,34
7316,VBM,823,283,34.39,197,32,,54
7317,Election_Day,885,159,17.97,129,15,,15
7317,VBM,885,343,38.76,259,46,,38
7318,Election_Day,700,154,22,102,16,,36
7318,VBM,700,247,35.29,173,42,,32
7319,Election_Day,983,193,19.63,125,31,,37
7319,VBM,983,293,29.81,205,29,,59
7321,Election_Day,620,88,14.19,62,9,,17
7321,VBM,620,207,33.39,132,34,,41
7322,Election_Day,868,66,7.6,40,10,,16
7322,VBM,868,277,31.91,159,36,,82
7323,Election_Day,804,187,23.26,125,25,,37
7323,VBM,804,237,29.48,159,35,,43
7324,Election_Day,657,130,19.79,90,12,,28
7324,VBM,657,207,31.51,145,24,,38
7325,Election_Day,870,159,18.28,93,26,,40
7325,VBM,870,272,31.26,195,30,,47
7326,Election_Day,808,173,21.41,103,29,,41
7326,VBM,808,247,30.57,157,48,,42
7327,Election_Day,701,58,8.27,37,6,,15
7327,VBM,701,266,37.95,166,41,1,58
7328,Election_Day,936,79,8.44,39,21,,19
7328,VBM,936,362,38.68,218,55,,89
7329,Election_Day,543,76,14,45,19,,12
7329,VBM,543,201,37.02,141,36,1,23
7331,Election_Day,831,181,21.78,125,17,,39
7331,VBM,831,343,41.28,255,38,,50
7332,Election_Day,782,188,24.04,138,16,1,33
7332,VBM,782,241,30.82,171,31,,39
7333,Election_Day,936,228,24.36,169,21,,38
7333,VBM,936,273,29.17,169,50,,54
7334,Election_Day,833,173,20.77,124,15,,34
7334,VBM,833,277,33.25,197,26,1,53
7335,Election_Day,883,166,18.8,118,19,,29
7335,VBM,883,336,38.05,232,58,,46
7336,Election_Day,879,188,21.39,137,22,,29
7336,VBM,879,334,38,236,50,,48
7337,Election_Day,829,141,17.01,99,23,,19
7337,VBM,829,339,40.89,244,36,,59
7338,Election_Day,912,120,13.16,78,15,,27
7338,VBM,912,346,37.94,206,57,1,82
7339,Election_Day,585,142,24.27,102,17,,23
7339,VBM,585,169,28.89,125,24,,20
7341,Election_Day,868,192,22.12,139,19,,34
7341,VBM,868,239,27.53,176,28,,35
7342,Election_Day,908,269,29.63,196,39,,34
7342,VBM,908,252,27.75,186,29,,37
7343,Election_Day,647,176,27.2,123,25,,28
7343,VBM,647,176,27.2,128,23,1,24
7344,Election_Day,1024,210,20.51,150,31,,29
7344,VBM,1024,356,34.77,248,46,1,61
7345,Election_Day,1006,238,23.66,154,40,,44
7345,VBM,1006,314,31.21,221,42,,51
7346,Election_Day,869,217,24.97,143,29,,45
7346,VBM,869,234,26.93,168,36,,30
7347,Election_Day,954,200,20.96,157,20,,23
7347,VBM,954,311,32.6,215,44,1,51
7348,Election_Day,808,143,17.7,99,27,,17
7348,VBM,808,229,28.34,170,30,,29
7349,Election_Day,893,186,20.83,128,23,,35
7349,VBM,893,297,33.26,200,46,,51
7501,Election_Day,523,142,27.15,92,17,,33
7501,VBM,523,161,30.78,102,27,,32
7502,Election_Day,735,159,21.63,107,24,,28
7502,VBM,735,259,35.24,190,29,,40
7503,Election_Day,706,156,22.1,114,15,,27
7503,VBM,706,213,30.17,155,29,,29
7504,Election_Day,454,98,21.59,63,13,,22
7504,VBM,454,141,31.06,83,21,,37
7505,Election_Day,853,148,17.35,110,12,,26
7505,VBM,853,426,49.94,316,33,1,76
7506,Election_Day,908,202,22.25,135,29,,38
7506,VBM,908,263,28.96,182,35,,46
7507,Election_Day,927,152,16.4,97,23,,32
7507,VBM,927,263,28.37,199,30,,34
7508,Election_Day,683,122,17.86,79,14,,29
7508,VBM,683,304,44.51,230,35,,39
7509-7511,Election_Day,896,195,21.76,137,26,1,31
7509-7511,VBM,896,323,36.05,233,53,,37
7512,Election_Day,579,100,17.27,72,12,,16
7512,VBM,579,217,37.48,138,35,,44
7513,Election_Day,735,172,23.4,107,20,,45
7513,VBM,735,183,24.9,125,18,,40
7514,Election_Day,803,92,11.46,49,15,,28
7514,VBM,803,194,24.16,131,27,,36
7515,Election_Day,826,158,19.13,106,22,,30
7515,VBM,826,278,33.66,184,44,,50
7516,Election_Day,805,160,19.88,114,25,,21
7516,VBM,805,361,44.84,239,68,,54
7517,Election_Day,877,260,29.65,188,22,,50
7517,VBM,877,283,32.27,199,34,,50
7518,Election_Day,905,292,32.27,202,41,,49
7518,VBM,905,291,32.15,215,29,,47
7519,Election_Day,741,228,30.77,157,22,,49
7519,VBM,741,206,27.8,145,23,,38
7521,Election_Day,773,236,30.53,158,35,,43
7521,VBM,773,230,29.75,158,23,1,48
7522,Election_Day,801,240,29.96,172,24,,44
7522,VBM,801,266,33.21,191,25,,50
7523,Election_Day,743,256,34.45,179,27,,50
7523,VBM,743,205,27.59,137,32,,36
7524,Election_Day,638,173,27.12,113,31,,29
7524,VBM,638,183,28.68,132,31,,20
7525,Election_Day,800,168,21,109,22,,37
7525,VBM,800,224,28,157,28,,39
7526,Election_Day,890,212,23.82,149,29,,34
7526,VBM,890,340,38.2,242,44,,54
7527-7528,Election_Day,714,191,26.75,129,20,,42
7527-7528,VBM,714,216,30.25,151,34,,31
7529,Election_Day,896,256,28.57,190,33,,33
7529,VBM,896,286,31.92,202,49,,35
7531,Election_Day,879,246,27.99,170,32,,44
7531,VBM,879,258,29.35,170,43,,45
7532,Election_Day,795,212,26.67,150,32,,30
7532,VBM,795,252,31.7,173,40,2,37
7533,Election_Day,927,331,35.71,236,50,,45
7533,VBM,927,282,30.42,183,48,1,50
7534,Election_Day,882,278,31.52,198,33,,47
7534,VBM,882,276,31.29,192,33,,51
7535,Election_Day,761,245,32.19,168,26,,51
7535,VBM,761,248,32.59,179,34,,35
7536,Election_Day,804,257,31.97,167,40,,50
7536,VBM,804,284,35.32,203,43,,38
7537,Election_Day,737,218,29.58,147,29,,42
7537,VBM,737,237,32.16,168,30,,39
7538,Election_Day,774,239,30.88,161,43,,35
7538,VBM,774,267,34.5,189,34,,44
7539,Election_Day,891,310,34.79,218,44,,48
7539,VBM,891,255,28.62,179,37,,39
7541,Election_Day,792,216,27.27,161,24,,31
7541,VBM,792,265,33.46,183,32,,50
7542,Election_Day,844,259,30.69,183,33,,43
7542,VBM,844,244,28.91,185,24,,35
7543,Election_Day,886,199,22.46,145,22,,32
7543,VBM,886,322,36.34,230,44,,48
7544,Election_Day,856,214,25,158,28,,28
7544,VBM,856,305,35.63,215,41,,49
7545,Election_Day,851,210,24.68,144,34,,32
7545,VBM,851,295,34.67,201,55,1,38
7546,Election_Day,857,289,33.72,208,40,,41
7546,VBM,857,274,31.97,213,29,,32
7547,Election_Day,969,282,29.1,189,41,,52
7547,VBM,969,314,32.4,228,45,,41
7548,Election_Day,1029,270,26.24,205,24,,41
7548,VBM,1029,366,35.57,264,36,,66
7549,Election_Day,789,214,27.12,156,21,,37
7549,VBM,789,266,33.71,191,28,,47
7551,Election_Day,682,219,32.11,147,29,,43
7551,VBM,682,221,32.4,159,24,1,37
7552,Election_Day,702,203,28.92,139,27,,37
7552,VBM,702,229,32.62,156,30,,43
7553,Election_Day,166,3,1.81,2,1,,
7553,VBM,166,89,53.61,71,10,,8
7554,Election_Day,808,228,28.22,152,32,,44
7554,VBM,808,311,38.49,221,37,,53
7555,Election_Day,848,253,29.83,173,29,,51
7555,VBM,848,313,36.91,214,50,,49
7556-7557,Election_Day,955,268,28.06,168,48,,52
7556-7557,VBM,955,367,38.43,261,49,,57
7601,Election_Day,828,150,18.12,100,25,,25
7601,VBM,828,184,22.22,133,22,,29
7602,Election_Day,884,183,20.7,124,25,,34
7602,VBM,884,256,28.96,166,49,,41
7603,Election_Day,791,187,23.64,126,25,,36
7603,VBM,791,238,30.09,155,34,,49
7604,Election_Day,841,186,22.12,136,20,,30
7604,VBM,841,243,28.89,177,36,,30
7605,Election_Day,693,122,17.6,81,16,,25
7605,VBM,693,161,23.23,101,23,,37
7606,Election_Day,881,137,15.55,90,19,,28
7606,VBM,881,230,26.11,155,35,,40
7607,Election_Day,942,189,20.06,135,23,1,30
7607,VBM,942,273,28.98,201,31,,41
7608,Election_Day,417,51,12.23,33,9,,9
7608,VBM,417,108,25.9,77,12,,19
7609,Election_Day,917,83,9.05,51,15,,17
7609,VBM,917,291,31.73,193,46,,52
7611,Election_Day,793,94,11.85,52,16,,26
7611,VBM,793,223,28.12,132,38,,53
7612,Election_Day,579,84,14.51,54,11,,19
7612,VBM,579,167,28.84,114,24,,29
7613,Election_Day,917,156,17.01,101,24,,31
7613,VBM,917,248,27.04,167,37,,44
7614,Election_Day,1046,171,16.35,113,22,,36
7614,VBM,1046,284,27.15,199,53,,32
7615,Election_Day,996,112,11.24,67,20,,25
7615,VBM,996,203,20.38,147,30,,26
7616,Election_Day,713,120,16.83,82,17,,21
7616,VBM,713,278,38.99,195,40,,43
7617,Election_Day,801,95,11.86,52,11,1,31
7617,VBM,801,240,29.96,174,40,,26
7618,Election_Day,847,156,18.42,120,15,,21
7618,VBM,847,291,34.36,222,32,,37
7619,Election_Day,1473,258,17.52,162,50,,46
7619,VBM,1473,468,31.77,336,70,,62
7621,Election_Day,912,162,17.76,109,23,,30
7621,VBM,912,310,33.99,234,38,,38
7622,Election_Day,901,114,12.65,74,17,,23
7622,VBM,901,198,21.98,142,31,,25
7623,Election_Day,759,121,15.94,90,12,,19
7623,VBM,759,193,25.43,142,27,,24
7624,Election_Day,957,105,10.97,80,13,,12
7624,VBM,957,211,22.05,148,29,1,33
7625,Election_Day,853,64,7.5,41,9,,14
7625,VBM,853,396,46.42,251,61,,84
7626,Election_Day,953,158,16.58,112,22,,24
7626,VBM,953,356,37.36,268,33,,55
7627,Election_Day,1123,182,16.21,133,21,,28
7627,VBM,1123,374,33.3,273,50,,51
7628,Election_Day,913,180,19.72,124,26,,30
7628,VBM,913,307,33.63,210,51,2,44
7629,Election_Day,756,146,19.31,110,17,,19
7629,VBM,756,199,26.32,146,27,,26
7631,Election_Day,931,182,19.55,127,23,,32
7631,VBM,931,315,33.83,223,47,1,44
7632,Election_Day,642,146,22.74,107,15,,24
7632,VBM,642,198,30.84,119,42,1,36
7633,Election_Day,638,122,19.12,83,17,,22
7633,VBM,638,233,36.52,152,34,,47
7634,Election_Day,901,149,16.54,98,15,,36
7634,VBM,901,312,34.63,230,43,,39
7635,Election_Day,707,123,17.4,79,19,,25
7635,VBM,707,235,33.24,150,31,,54
7636,Election_Day,840,174,20.71,121,25,1,27
7636,VBM,840,265,31.55,173,48,,44
7637,Election_Day,1075,170,15.81,123,22,,25
7637,VBM,1075,397,36.93,277,61,,59
7638,Election_Day,999,132,13.21,89,17,,26
7638,VBM,999,402,40.24,309,55,,38
7639,Election_Day,868,159,18.32,111,19,,29
7639,VBM,868,274,31.57,201,38,,35
7641,Election_Day,881,147,16.69,100,23,,24
7641,VBM,881,330,37.46,239,46,,45
7642,Election_Day,879,143,16.27,77,20,,46
7642,VBM,879,397,45.16,217,54,,126
7643,Election_Day,860,125,14.53,79,22,,24
7643,VBM,860,339,39.42,246,40,,53
7644,Election_Day,918,190,20.7,127,26,,37
7644,VBM,918,275,29.96,194,34,,47
7645,Election_Day,607,88,14.5,63,13,,12
7645,VBM,607,270,44.48,212,28,,30
7646,Election_Day,1601,274,17.11,189,38,,47
7646,VBM,1601,574,35.85,398,76,,100
7647,Election_Day,861,167,19.4,122,17,,28
