precinct,ballot_type,registered,ballots_cast,turnout,Yes,No,over_votes,under_votes
7517,Election_Day,877,260,29.65,215,23,,22
7517,VBM,877,283,32.27,214,50,,19
7518,Election_Day,905,292,32.27,223,38,,31
7518,VBM,905,291,32.15,220,48,,23
7519,Election_Day,741,228,30.77,191,19,,18
7519,VBM,741,206,27.8,161,24,,21
7521,Election_Day,773,236,30.53,189,27,,20
7521,VBM,773,230,29.75,192,16,,22
7522,Election_Day,801,240,29.96,197,16,,27
7522,VBM,801,266,33.21,213,27,,26
7523,Election_Day,743,256,34.45,213,23,,20
7523,VBM,743,205,27.59,162,18,,25
7524,Election_Day,638,173,27.12,133,24,,16
7524,VBM,638,183,28.68,147,20,,16
7525,Election_Day,800,168,21,131,12,,25
7525,VBM,800,224,28,173,31,,20
7526,Election_Day,890,212,23.82,161,27,,24
7526,VBM,890,340,38.2,278,30,,32
7527/7528,Election_Day,714,191,26.75,157,12,,22
7527/7528,VBM,714,216,30.25,169,28,,19
7529,Election_Day,896,256,28.57,211,25,,20
7529,VBM,896,286,31.92,238,33,,15
7531,Election_Day,879,246,27.99,206,20,,20
7531,VBM,879,258,29.35,201,31,1,25
7532,Election_Day,795,212,26.67,164,31,,17
7532,VBM,795,252,31.7,199,34,,19
7533,Election_Day,927,331,35.71,272,35,,24
7533,VBM,927,282,30.42,213,45,1,23
7534,Election_Day,882,278,31.52,232,26,,20
7534,VBM,882,276,31.29,219,33,,24
7535,Election_Day,761,245,32.19,193,26,,26
7535,VBM,761,248,32.59,196,36,2,14
7536,Election_Day,804,257,31.97,196,30,,31
7536,VBM,804,284,35.32,219,40,,25
7537,Election_Day,737,218,29.58,166,30,,22
7537,VBM,737,237,32.16,189,26,,22
7538,Election_Day,774,239,30.88,194,27,,18
7538,VBM,774,267,34.5,220,31,,16
7539,Election_Day,891,310,34.79,256,28,,26
7539,VBM,891,255,28.62,207,33,,15
7541,Election_Day,792,216,27.27,156,39,,21
7541,VBM,792,265,33.46,206,39,,20
7542,Election_Day,844,259,30.69,205,24,,30
7542,VBM,844,244,28.91,201,22,,21
7543,Election_Day,886,199,22.46,158,26,,15
7543,VBM,886,322,36.34,257,43,,22
7544,Election_Day,856,214,25,178,18,,18
7544,VBM,856,305,35.63,235,47,,23
7545,Election_Day,851,210,24.68,160,28,,22
7545,VBM,851,295,34.67,230,44,,21
7546,Election_Day,857,289,33.72,223,41,,25
7546,VBM,857,274,31.97,226,28,,20
7547,Election_Day,969,282,29.1,230,28,,24
7547,VBM,969,314,32.4,265,31,,18
7548,Election_Day,1029,270,26.24,214,29,1,26
7548,VBM,1029,366,35.57,289,39,,38
7549,Election_Day,789,214,27.12,164,23,,27
7549,VBM,789,266,33.71,220,30,,16
7551,Election_Day,682,219,32.11,170,30,,19
7551,VBM,682,221,32.4,173,25,,23
7552,Election_Day,702,203,28.92,158,19,,26
7552,VBM,702,229,32.62,182,27,,20
7553,Election_Day,166,3,1.81,3,,,
7553,VBM,166,89,53.61,77,11,,1
7554,Election_Day,808,228,28.22,175,28,1,24
7554,VBM,808,311,38.49,254,35,1,21
7555,Election_Day,848,253,29.83,205,27,,21
7555,VBM,848,313,36.91,251,45,1,16
7556/7557,Election_Day,955,268,28.06,203,39,,26
7556/7557,VBM,955,367,38.43,280,54,,33
7601,Election_Day,828,150,18.12,117,19,,14
7601,VBM,828,184,22.22,134,32,,18
7602,Election_Day,884,183,20.7,156,13,,14
7602,VBM,884,256,28.96,208,29,,19
7603,Election_Day,791,187,23.64,147,21,,19
7603,VBM,791,238,30.09,190,26,,22
7604,Election_Day,841,186,22.12,144,24,,18
7604,VBM,841,243,28.89,186,42,,15
7605,Election_Day,693,122,17.6,100,10,,12
7605,VBM,693,161,23.23,128,15,,18
7606,Election_Day,881,137,15.55,111,11,,15
7606,VBM,881,230,26.11,180,26,1,23
7607,Election_Day,942,189,20.06,158,18,,13
7607,VBM,942,273,28.98,207,40,,26
7608,Election_Day,417,51,12.23,33,9,,9
7608,VBM,417,108,25.9,86,11,,11
7609,Election_Day,917,83,9.05,67,6,1,9
7609,VBM,917,291,31.73,237,30,,24
7611,Election_Day,793,94,11.85,69,9,,16
7611,VBM,793,223,28.12,157,33,,33
7612,Election_Day,579,84,14.51,59,12,,13
7612,VBM,579,167,28.84,134,23,,10
7613,Election_Day,917,156,17.01,121,15,,20
7613,VBM,917,248,27.04,194,27,,27
7614,Election_Day,1046,171,16.35,129,19,,23
7614,VBM,1046,284,27.15,230,34,,20
7615,Election_Day,996,112,11.24,82,13,,17
7615,VBM,996,203,20.38,164,27,,12
7616,Election_Day,713,120,16.83,95,11,,14
7616,VBM,713,278,38.99,212,42,,24
7617,Election_Day,801,95,11.86,68,10,,17
7617,VBM,801,240,29.96,200,24,,16
7618,Election_Day,847,156,18.42,126,21,,9
7618,VBM,847,291,34.36,204,68,,19
7619,Election_Day,1473,258,17.52,192,33,,33
7619,VBM,1473,468,31.77,373,60,,35
7621,Election_Day,912,162,17.76,124,20,,18
7621,VBM,912,310,33.99,240,44,,26
7622,Election_Day,901,114,12.65,91,9,1,13
7622,VBM,901,198,21.98,162,16,,20
7623,Election_Day,759,121,15.94,98,11,,12
7623,VBM,759,193,25.43,166,18,,9
7624,Election_Day,957,105,10.97,84,11,,10
7624,VBM,957,211,22.05,165,25,,21
7625,Election_Day,853,64,7.5,50,6,,8
7625,VBM,853,396,46.42,282,67,,47
7626,Election_Day,953,158,16.58,120,22,,16
7626,VBM,953,356,37.36,252,71,,33
7627,Election_Day,1123,182,16.21,140,29,,13
7627,VBM,1123,374,33.3,254,88,,32
7628,Election_Day,913,180,19.72,144,19,,17
7628,VBM,913,307,33.63,231,42,,34
7629,Election_Day,756,146,19.31,123,13,,10
7629,VBM,756,199,26.32,160,27,,12
7631,Election_Day,931,182,19.55,140,20,,22
7631,VBM,931,315,33.83,226,68,,21
7632,Election_Day,642,146,22.74,113,21,,12
7632,VBM,642,198,30.84,135,44,,19
7633,Election_Day,638,122,19.12,92,16,,14
7633,VBM,638,233,36.52,160,47,,26
7634,Election_Day,901,149,16.54,105,21,,23
7634,VBM,901,312,34.63,237,52,,23
