precinct,ballot_type,registered_voters,ballots_cast,turnout,GEORGE_C_YANG,JERRY_J_LAWS,GAIL_K_LIGHTFOOT,MIKE_BEITIKS,PAMELA_ELIZONDO,SCOTT_A_VINEBERG,STEVE_STOKES,DUF_SUNDHEIM,LING_LING_SHI,LORETTA_L_SANCHEZ,PHIL_WYMAN,JARRELL_WILLIAMSON,THOMAS_G_DEL_BECCARO,RON_UNZ,GREG_CONLON,JASON_KRAUS,DON_KRAMPE,MARK_MATTHEW_HERD,VON_HOUGO,JASON_HANANIA,KAMALA_D_HARRIS,GAR_MYERS,PAUL_MERRITT,MASSIE_MUNROE,ELEANOR_GARCÍA,TIM_GILDERSLEEVE,CLIVE_GREY,DON_J_GRUNDMANN,PRESIDENT_CRISTINA_GRAPPO,HERBERT_G_PETERS,TOM_PALZER,JOHN_THOMPSON_PARKER,KAREN_ROSEBERRY,EMORY_RODGERS,WRITE-IN,over_votes,under_votes
7526,Election_Day,890,212,23.82,,,,,1,1,3,,,19,1,1,,,,,1,1,,1,142,,,4,1,,,,,2,,2,1,,1,,30
7526,VBM,890,343,38.54,1,,2,,2,2,5,3,2,26,,,2,1,,,1,1,,1,247,,,1,1,,1,,1,,,2,1,2,1,5,32
7527-7528,Election_Day,714,194,27.17,,,,,5,1,4,,,18,1,1,2,,,,2,2,1,,113,,,1,2,,1,1,1,,2,,4,,3,,29
7527-7528,VBM,714,222,31.09,6,,1,,2,,5,5,,21,3,,,2,1,,,2,,,134,,,1,1,,1,1,,,,,1,2,,6,27
7529,Election_Day,896,257,28.68,,,2,,6,,1,1,,23,,,1,1,,,1,4,2,1,165,,,6,2,1,1,,4,,,,,,1,,34
7529,VBM,896,287,32.03,2,,3,,7,,7,1,,25,,,2,,,,,1,,,210,,,4,,1,,,1,,,1,,,,3,19
7531,Election_Day,879,249,28.33,1,,2,2,7,,3,,,13,,,,1,1,,2,2,,1,156,,,3,2,,1,2,3,1,,3,,2,1,,40
7531,VBM,879,265,30.15,,1,2,,3,,8,1,,13,,,3,,,1,,1,,1,182,,,3,,,1,,2,,,4,,1,,2,36
7532,Election_Day,795,211,26.54,,,3,,3,1,2,2,1,15,2,2,,1,2,,,,,,136,1,,2,,,,,1,,,,2,,2,,33
7532,VBM,795,260,32.7,6,,3,2,2,,2,2,1,25,,,3,1,2,,2,2,1,1,157,,,5,,1,,2,,,,1,,1,,4,34
7533,Election_Day,927,336,36.25,1,,2,3,4,,5,1,,34,,,,1,,,4,6,,1,205,1,,8,1,,1,,5,1,,3,,,,,49
7533,VBM,927,284,30.64,,,2,2,9,,6,1,,15,1,,2,,3,,2,6,1,2,180,,,8,2,,1,1,,,1,1,,,1,3,34
7534,Election_Day,882,282,31.97,,,2,,8,,3,1,,23,,,2,,,2,,2,,1,175,,,2,1,,,,3,,,3,2,1,,4,47
7534,VBM,882,275,31.18,1,,,1,5,,2,,,32,3,,1,1,1,,,5,1,1,174,,,2,1,,2,1,2,,,1,1,1,,,36
7535,Election_Day,761,247,32.46,,,2,1,6,3,2,,,31,1,,1,,,,2,1,,2,158,,,2,,,,1,,,,1,,1,,1,31
7535,VBM,761,250,32.85,1,1,2,2,3,,1,2,1,19,1,,,,,,,2,1,1,184,1,,2,3,,,,1,,,,,,1,2,19
7536,Election_Day,804,260,32.34,1,,3,,5,,3,1,,24,,,,1,,,,1,,2,151,,,4,1,,2,2,3,1,,2,1,,1,2,49
7536,VBM,804,287,35.7,,,3,3,1,,6,,1,17,,,1,,,,1,2,1,,207,,,2,,,1,,1,1,,3,1,,1,5,29
7537,Election_Day,737,225,30.53,1,,2,2,1,1,1,1,1,16,,,,,,1,1,3,1,,145,,1,2,1,,,,2,,1,1,1,,,,39
7537,VBM,737,240,32.56,2,,2,,3,,4,2,,22,,,,,,1,,1,,,173,,,3,,,1,,,,,1,,,1,,24
7538,Election_Day,774,240,31.01,,,,,2,3,2,1,1,21,,,,,,,,8,,,157,,1,1,3,,2,,3,1,1,,,,1,,32
7538,VBM,774,268,34.63,,,1,2,4,2,2,1,1,13,1,,1,,,,,,1,4,211,,,3,1,,,,1,,,,,,,1,18
7539,Election_Day,891,312,35.02,1,,2,,9,,1,4,,9,,,1,,,,,,1,1,225,,,6,1,,,,2,1,1,5,1,,,1,40
7539,VBM,891,256,28.73,,,5,,5,,3,1,1,25,,,1,2,,,2,1,,1,173,,,4,,,1,,,,,,,,3,2,26
7541,Election_Day,792,219,27.65,3,,,,4,,4,1,,22,,,1,,,,1,2,1,,144,,,4,1,,1,,3,1,,1,,1,,1,23
7541,VBM,792,270,34.09,1,,3,1,4,,6,,,13,,,1,,,,3,,2,1,183,,,1,2,,,,3,1,,,1,2,2,,40
7542,Election_Day,844,261,30.92,1,,1,,9,,2,,,15,,,,1,,,,2,2,2,169,,,4,,,1,,,1,,,,,1,1,49
7542,VBM,844,249,29.5,,,2,,3,,1,1,,16,,,1,,1,,2,4,,,190,,,1,,,2,,,,,1,,,,,24
7543,Election_Day,886,198,22.35,,,,1,4,1,,,,12,1,,,1,,,,2,,,139,1,,1,,,2,,2,,,1,,,2,1,27
7543,VBM,886,328,37.02,2,,1,,3,,2,,,19,1,,,,,,3,4,,,256,,,2,,,,,3,1,1,1,,,1,1,27
7544,Election_Day,856,216,25.23,,,3,,3,1,2,2,1,20,,,,,3,,1,1,1,,140,,1,6,1,1,,,,1,,1,,,,,27
7544,VBM,856,308,35.98,2,1,1,,2,1,4,1,,28,,1,,1,1,2,2,,1,,221,,1,,1,,,1,1,,,1,,,1,,33
7545,Election_Day,851,211,24.79,,1,2,1,3,,1,1,,17,,1,2,,1,,,1,2,,135,,,3,3,,,,1,,1,2,,,,,33
7545,VBM,851,298,35.02,,,4,,3,1,5,2,2,23,,1,3,3,1,,,3,,2,189,,,3,2,,,,3,1,,2,2,2,3,1,37
7546,Election_Day,857,293,34.19,1,,3,,6,,3,2,,19,2,,2,2,,,2,2,1,,183,,1,3,1,,,1,1,1,1,4,,,,,52
7546,VBM,857,276,32.21,2,,1,,3,,4,2,,21,,,1,2,,,,1,,2,206,1,,2,,,1,,1,,,2,,,1,,23
7547,Election_Day,969,283,29.21,1,,,1,6,1,4,1,2,17,,,,,1,,1,4,1,2,175,1,1,7,2,,,,7,,,1,1,1,3,,42
7547,VBM,969,319,32.92,,1,,2,6,,8,,1,36,2,,,,,,4,3,,1,200,,,6,2,,2,,2,,,3,2,2,,2,34
7548,Election_Day,1029,271,26.34,1,1,,,5,,3,,,20,2,,1,1,1,1,,4,,,176,,1,7,1,1,,,4,,,1,,,1,1,38
7548,VBM,1029,371,36.05,2,1,2,,3,2,11,3,,23,1,,,2,1,,1,2,2,2,261,,1,6,,,1,,1,,,,,1,1,1,40
7549,Election_Day,789,217,27.5,2,,3,1,3,1,1,2,2,10,1,,,,,,,2,,2,145,,,3,1,1,,,2,1,,3,2,,1,,28
7549,VBM,789,268,33.97,5,1,1,,5,,1,1,2,20,,,,1,,1,2,3,2,,182,,,1,,1,,1,,,1,,,3,2,2,30
7551,Election_Day,682,221,32.4,,,2,,2,,4,4,,19,,,,1,,,1,,,,142,1,,2,1,,1,,3,1,,2,1,,1,1,32
7551,VBM,682,224,32.84,,,1,,2,,,2,,18,1,,,,2,,,,,,165,,,1,,,,,,1,,1,,,,2,28
7552,Election_Day,702,204,29.06,,,1,1,2,,,,,19,,,,,,,,1,,1,144,,,2,,,2,,1,,,,1,,,,29
7552,VBM,702,233,33.19,,,1,1,3,,1,3,,20,2,,,1,1,,,,,,171,1,,2,,,,,,,,2,,,,1,23
7553,Election_Day,166,3,1.81,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
7553,VBM,166,92,55.42,1,,1,,,,1,1,,9,,,2,2,,,,1,,,65,,,,,,,,1,,,,,,,2,6
7554,Election_Day,808,228,28.22,1,,1,,1,,1,,1,16,1,,1,,,,1,1,1,1,158,,,2,2,,,,,,,2,2,,,1,34
7554,VBM,808,318,39.36,1,,,,2,,,4,,17,,,5,1,2,,1,4,2,,241,,,3,,,2,,,,1,1,1,,1,2,27
7555,Election_Day,848,253,29.83,,,,,4,2,2,4,,15,,,,,3,,,1,,1,181,,,2,,,1,1,2,,,,,,,,34
7555,VBM,848,323,38.09,,,3,,7,,1,4,,25,,,,3,1,,,1,,,247,,,,1,,,,2,,,5,,,2,2,19
7556-7557,Election_Day,955,270,28.27,1,,,,2,,2,3,,26,1,1,1,,4,,,,1,3,183,,1,2,2,,,,1,,2,1,,,1,2,30
7556-7557,VBM,955,371,38.85,2,1,,,5,,1,7,,25,2,,1,1,2,,,,2,,288,,1,3,,,,,,,,,1,,,1,28
7601,Election_Day,828,152,18.36,,,2,1,2,1,1,2,3,7,,,4,,,,2,4,,,82,,,1,2,,,,4,,1,2,,,1,,30
7601,VBM,828,183,22.1,4,1,1,,3,,2,2,1,19,,,,,1,,2,,2,,102,2,1,,,,1,1,5,,1,2,1,3,,1,25
7602,Election_Day,884,185,20.93,4,,,,2,1,3,1,,13,1,,,,3,,1,3,,1,120,,,2,,,,1,3,,1,2,,,,,23
7602,VBM,884,253,28.62,3,,3,,8,1,5,1,2,9,,,2,1,1,1,2,2,1,2,155,1,1,2,4,,1,,4,2,1,2,2,1,,7,26
7603,Election_Day,791,189,23.89,,,1,1,5,1,8,1,1,25,1,,,1,,,1,2,,,102,1,,2,1,,1,,2,,,1,1,1,1,,28
7603,VBM,791,242,30.59,1,,4,,4,1,5,1,3,16,1,1,1,,,,1,3,,2,153,1,2,1,,,1,,2,1,1,4,1,1,1,4,25
7604,Election_Day,841,189,22.47,,,2,,4,,,1,,15,,1,3,2,2,,1,5,1,1,99,,,8,1,,1,1,6,3,1,,,2,3,,26
7604,VBM,841,246,29.25,2,1,2,1,3,1,4,2,,27,4,1,,,3,,2,3,2,1,132,,2,2,2,1,2,,2,,1,4,,1,1,6,31
7605,Election_Day,693,124,17.89,,,,,2,,5,,,12,,,,,,,,,,3,58,,,1,,,,,5,,,1,,,,1,36
7605,VBM,693,161,23.23,2,,1,,3,2,1,1,1,16,1,,1,1,,1,,1,1,2,83,2,,4,1,,,,4,4,1,,2,,4,4,17
7606,Election_Day,881,139,15.78,1,,1,,1,1,2,,2,12,2,,1,,,1,,3,1,,73,,,4,,,1,1,5,,,5,1,,,1,20
7606,VBM,881,229,25.99,3,1,1,,10,,5,1,1,25,1,3,3,,,,3,1,,3,126,1,,3,1,,,,2,4,1,2,,,,6,22
7607,Election_Day,942,187,19.85,1,1,3,,3,1,3,1,,18,,1,,,,,,3,4,,101,,,4,2,,,2,3,2,1,1,1,,3,2,26
7607,VBM,942,274,29.09,4,,3,2,3,1,4,3,4,16,1,1,1,,3,,2,4,5,,166,,1,2,3,,1,1,1,2,3,2,1,,,6,28
7608,Election_Day,417,51,12.23,1,,1,,2,,1,1,4,5,,,,,,,3,1,,,21,,,,,1,,,,,1,,,,,1,8
7608,VBM,417,111,26.62,4,2,2,,2,2,1,,4,9,,1,,1,1,,4,1,1,,41,2,4,1,,,,1,1,2,1,2,2,,,3,16
7609,Election_Day,917,82,8.94,1,,3,,,1,,,,4,,,,,,,1,,,,49,,,,2,,,,3,1,,1,,,1,3,12
7609,VBM,917,292,31.84,17,2,1,1,2,1,2,,7,30,,1,,1,1,2,1,9,5,11,129,,,3,5,2,1,,2,5,1,3,,,3,15,29
7611,Election_Day,793,96,12.11,,,,,2,,1,,,7,,,,,1,,,2,,,53,,,1,,,1,1,3,1,,,,,2,2,19
7611,VBM,793,220,27.74,14,,2,1,5,,,,1,22,1,1,,,,1,6,,,,102,,1,3,3,1,,,5,3,1,2,1,,1,4,39
7612,Election_Day,579,84,14.51,6,,,1,2,1,,1,1,7,2,,,,,,,2,1,1,41,,,5,,,,1,1,1,,2,,,,1,7
7612,VBM,579,173,29.88,3,,1,,,,1,,3,23,,1,1,1,2,1,3,,5,1,90,,,2,,,,2,1,1,1,,,,1,1,28
7613,Election_Day,917,157,17.12,,,3,1,3,1,3,,1,14,,1,1,1,,,3,2,2,,84,1,,1,,1,,,4,1,,3,1,,1,3,21
7613,VBM,917,249,27.15,4,,1,1,5,1,3,1,3,29,6,1,,1,2,1,2,,2,1,136,1,1,6,4,,,1,1,2,,3,,,4,4,22
7614,Election_Day,1046,176,16.83,,,,,7,1,2,1,1,15,,1,,1,2,1,,1,2,2,96,,,3,2,,1,,1,4,1,1,,,,,30
7614,VBM,1046,285,27.25,1,,3,,6,1,3,2,2,34,,,2,1,6,,1,5,3,2,157,1,2,2,2,1,1,,,2,,7,2,,1,7,28
7615,Election_Day,996,108,10.84,2,,2,,3,,,1,2,12,1,,,,,,2,2,,1,47,,,1,1,,2,1,2,,1,,2,,,1,22
7615,VBM,996,205,20.58,2,,1,2,4,1,1,2,2,20,1,1,,,3,,4,1,5,4,102,,,3,1,,3,1,3,,2,3,3,1,,6,23
7616,Election_Day,713,122,17.11,,,,,2,2,,2,1,11,1,1,1,,,,1,1,,,64,,,4,2,,,,3,2,1,2,1,,,,20
7616,VBM,713,283,39.69,1,,1,,4,1,4,6,,22,,1,2,3,1,,3,2,1,5,173,,,5,1,,,,2,,,1,1,2,1,2,38
7617,Election_Day,801,96,11.99,,,1,,1,,2,,1,7,1,,1,,,,,1,,1,50,,1,2,2,,2,,2,,,1,,1,1,2,16
7617,VBM,801,239,29.84,5,,2,,2,2,1,2,4,14,,,,1,3,1,3,5,,2,132,,3,3,2,2,1,,1,2,4,,1,,1,13,27
7618,Election_Day,847,164,19.36,,,4,,3,,,1,2,16,,,2,,,,,,,1,114,,,3,1,,,,1,,,1,,1,,,14
7618,VBM,847,295,34.83,1,,2,,3,,3,4,4,27,,,1,1,1,,3,4,1,,192,,,2,2,,1,1,3,,,1,3,,,2,33
7619,Election_Day,1473,263,17.85,1,,1,,9,1,3,2,2,28,,,,1,1,,2,7,1,,142,,,8,,,,,3,2,,2,,1,2,,44
7619,VBM,1473,475,32.25,10,2,4,2,3,1,7,3,,63,5,2,4,4,2,2,2,4,3,2,269,2,1,8,3,,,2,6,1,,6,1,,2,7,42
7621,Election_Day,912,164,17.98,1,,1,1,7,1,2,1,,14,,,,,,,,2,,1,95,1,3,3,,,,,1,,,,1,,1,1,27
7621,VBM,912,318,34.87,,,,5,5,,9,4,3,23,1,,1,,1,,1,4,3,4,204,,,,2,,,,,1,2,1,6,,1,7,30
7622,Election_Day,901,113,12.54,,,2,,3,,,1,,10,,1,,,1,,2,2,2,1,58,,,,,,,1,4,,,,1,,,,24
7622,VBM,901,201,22.31,1,1,1,,2,,3,,,23,,1,1,,1,1,8,3,,4,105,,,5,4,,,,1,2,3,2,1,,1,7,20
7623,Election_Day,759,120,15.81,,,4,1,1,,3,,1,16,,,,,,1,2,1,,1,62,,1,1,1,,1,,3,,,1,,,,,19
7623,VBM,759,194,25.56,2,,,,3,,3,2,3,31,,,,,1,,1,3,2,,110,,,2,5,1,1,,,,,2,,,1,1,20
7624,Election_Day,957,105,10.97,1,1,,,1,,,,,10,,,1,1,,,1,2,1,1,63,,,,3,,,,1,,,2,,,2,1,13
7624,VBM,957,212,22.15,3,,2,,3,,2,1,4,23,,1,,1,,,1,2,,3,125,,1,,2,,1,,,1,,1,,1,,15,19
7625,Election_Day,853,65,7.62,1,,1,,,,2,,2,9,,,,,1,,,1,,,24,,,2,1,,,1,1,,2,,,,,2,15
7625,VBM,853,398,46.66,17,1,,1,,1,3,6,34,50,3,3,1,2,6,,6,5,1,5,147,1,1,4,3,,,,2,4,3,2,4,,,14,68
7626,Election_Day,953,161,16.89,3,,,,1,2,1,2,,12,,,,,1,,4,2,1,1,96,1,,2,1,2,,,2,1,,,1,2,,1,22
7626,VBM,953,360,37.78,8,,3,1,1,,7,7,1,16,3,1,1,1,6,,4,2,3,4,233,,,4,,,,1,,,1,2,4,,1,5,40
7627,Election_Day,1123,191,17.01,2,,,,3,,2,,,19,1,,3,,,,3,2,1,1,104,,,1,,,,1,3,1,1,1,3,1,,,38
7627,VBM,1123,378,33.66,2,,,1,5,,5,10,1,29,4,2,5,,8,1,7,5,3,,239,,1,2,,,,,3,,3,2,,,1,1,38
7628,Election_Day,913,182,19.93,1,,2,1,4,,5,,,11,,1,1,1,1,,,3,,,98,1,,5,,,2,1,4,,1,3,,,2,2,32
7628,VBM,913,312,34.17,,,4,1,4,2,7,1,1,26,,1,1,,1,,1,2,2,2,199,,,5,3,2,,,1,1,1,1,,,4,5,34
7629,Election_Day,756,145,19.18,2,,1,,2,1,2,,,9,,,,,1,,,1,,2,96,,,2,,,,,,1,,2,,,,1,22
7629,VBM,756,204,26.98,1,,1,2,2,1,2,2,1,18,,,3,,3,,1,1,,1,127,,1,3,,1,,,4,,,,,2,,3,24
7631,Election_Day,931,182,19.55,3,,,1,2,,3,5,,15,1,,1,,,,1,,,1,102,,,5,2,1,,,1,,,,,,1,2,35
7631,VBM,931,319,34.26,2,,3,,5,,2,7,,28,2,1,4,2,4,,1,3,3,,201,,,8,2,1,,,1,1,1,1,,,2,2,32
7632,Election_Day,642,147,22.9,,,1,,1,1,1,,,10,,,,,1,,,2,,3,96,,,3,2,,,,1,1,,,,1,1,,22
7632,VBM,642,200,31.15,,,,,1,,3,3,,19,1,1,,2,,1,2,6,,2,135,,,,1,,,,,,,,1,1,,2,19
7633,Election_Day,638,123,19.28,,1,2,,,,,,,17,1,,,,1,,2,1,1,,70,,,3,,,,,1,,2,1,1,,1,,18
7633,VBM,638,236,36.99,5,,1,1,2,1,2,1,5,34,,,,,4,1,1,3,2,2,131,1,,2,,,,,1,,2,,1,,1,4,28
7634,Election_Day,901,147,16.32,2,,1,,1,,2,,1,13,,,,,1,,3,2,,1,82,,1,3,2,,1,1,1,,,,2,3,,1,23
7634,VBM,901,314,34.85,8,,2,,5,,1,6,5,36,,,4,2,5,,1,1,1,3,175,3,,7,,,,1,3,2,,1,3,,1,8,30
7635,Election_Day,707,123,17.4,1,2,1,,1,,2,,,7,,,,,,,,,1,1,83,,,3,1,,1,,1,,,,,,1,,17
7635,VBM,707,241,34.09,5,1,1,,2,1,2,3,1,30,,,1,,3,,,2,,1,140,1,,4,1,1,1,,3,1,,3,,,2,2,29
7636,Election_Day,840,175,20.83,5,,2,,2,,2,,1,12,,1,1,1,,,1,2,,3,105,1,,3,1,,,,2,1,,,1,1,3,1,23
7636,VBM,840,268,31.9,4,1,3,1,2,,3,8,,19,,1,4,,6,,2,4,,1,169,,1,7,1,,,,1,,2,,,,,1,27
7637,Election_Day,1075,171,15.91,2,,1,2,1,,5,2,,15,2,,1,1,,,4,,1,2,92,,,1,1,,1,,,,2,,1,,3,1,30
7637,VBM,1075,403,37.49,5,,4,2,3,,1,4,1,43,1,,6,5,5,,3,3,2,7,249,,,4,,,,,2,,1,2,2,,1,6,41
7638,Election_Day,999,132,13.21,,,1,,,,1,1,,15,2,,2,2,3,1,1,,,1,77,,,1,3,,1,,1,,,1,1,,,1,16
7638,VBM,999,406,40.64,10,1,4,,4,,,13,1,40,2,1,8,5,8,1,4,3,1,,253,,,3,,,,,4,,1,,2,,3,4,30
7639,Election_Day,868,162,18.66,,,,1,2,,3,1,,13,1,,3,,2,,2,1,1,2,88,,,5,,,,,1,,,,,,,,36
7639,VBM,868,280,32.26,7,,1,1,,,3,6,,25,,,1,2,6,,1,4,4,2,178,1,,1,1,,,,,,,,,1,,3,32
7641,Election_Day,881,146,16.57,4,,1,,,2,1,3,,10,,,1,,,,1,,,,102,,,,1,,,,2,,2,,,,,,16
7641,VBM,881,339,38.48,3,,3,1,3,2,2,8,4,26,5,1,6,3,3,,3,3,1,,218,,1,2,,,,,5,2,2,2,3,,,4,23
7642,Election_Day,879,144,16.38,1,,1,,1,,4,1,1,11,,,,2,,,2,2,,1,80,,,2,,,,,1,1,2,,1,,,4,26
7642,VBM,879,405,46.08,3,,,1,6,,4,9,1,19,2,,3,2,2,1,7,5,2,,281,,1,4,,,1,1,2,3,2,1,,,,8,34
7643,Election_Day,860,124,14.42,3,1,,,3,,2,1,1,12,,,1,,,,,2,,,74,,,1,,,,1,,,,1,,,1,2,18
7643,VBM,860,344,40,10,,,,4,,2,9,17,39,5,3,1,,6,,3,1,4,3,187,,1,5,1,,,,1,4,1,1,1,,3,8,24
7644,Election_Day,918,191,20.81,1,1,2,,1,1,2,2,,17,1,,1,1,1,,,1,1,3,112,,,6,,,,,2,,,1,1,,1,4,28
7644,VBM,918,282,30.72,7,,,,1,,1,4,,11,,,4,2,2,1,2,1,3,1,185,,,3,,,1,,4,,,2,2,,1,,44
7645,Election_Day,607,89,14.66,,,,1,,,2,1,,8,,,,,,,2,2,,2,53,,,1,,,1,,1,,,,,,,1,14
7645,VBM,607,278,45.8,5,,1,,2,,1,9,,28,2,,7,1,4,,5,1,1,1,162,,,3,,,3,2,2,,1,,,,,2,35
7646,Election_Day,1601,274,17.11,3,,3,1,3,,3,2,1,38,,,,,,1,1,5,1,,142,,,4,,1,1,,3,,,2,2,,6,1,50
7646,VBM,1601,591,36.91,1,,5,,4,,6,15,4,52,2,1,8,,6,,,3,3,4,384,2,,7,,,,,3,,,,1,1,1,3,75
7647,Election_Day,861,167,19.4,,,5,,4,,2,,2,17,,,,,,,2,1,,1,86,,,5,3,,4,1,5,,,4,1,2,,1,21
7647,VBM,861,177,20.56,1,,2,1,8,,4,,,28,,,,1,,,,2,,4,86,,,3,2,1,1,,2,2,,1,,1,,6,21
7648,Election_Day,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7648,VBM,7,2,28.57,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
7701,Election_Day,938,290,30.92,2,,2,2,3,,2,3,1,23,3,1,5,1,3,,2,3,,2,182,,,1,2,,,2,2,,2,,1,,3,1,36
7701,VBM,938,333,35.5,1,1,4,,2,,2,6,,36,1,,5,,6,1,,2,1,1,214,,,1,1,,,1,1,,1,2,,,4,,39
7702,Election_Day,752,162,21.54,2,,3,,1,,2,1,1,14,,,2,1,4,,3,,1,,96,,,1,3,,,,2,1,,,2,2,,1,19
7702,VBM,752,327,43.48,9,2,2,2,2,1,1,8,1,21,3,,7,2,14,,5,2,,,194,,,5,,,1,,1,,3,,1,1,3,1,35
7703,Election_Day,137,2,1.46,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
7703,VBM,137,55,40.15,1,,,,,1,,,1,4,1,,,,,,,,1,,34,,,2,,,,,,,1,1,1,,,1,6
7704,Election_Day,943,242,25.66,,1,1,1,,,2,5,,26,,1,1,,3,,,2,1,1,148,1,,3,4,1,2,,1,,,1,,,1,,35
7704,VBM,943,389,41.25,8,1,3,,3,,2,12,1,36,1,,12,5,7,,3,4,3,1,225,,,1,2,,,1,2,,2,1,7,,1,4,41
7705,Election_Day,536,148,27.61,,,,,1,1,2,1,1,22,1,,1,1,,,,2,,1,80,,,2,,,,1,,,,,1,,,,30
7705,VBM,536,230,42.91,7,,,,,1,1,7,,23,3,,2,2,9,,5,,1,,136,,,3,,1,,,,,3,,,,,2,24
7706,Election_Day,813,219,26.94,,1,,,1,,2,7,,21,1,,1,,3,,4,1,1,1,144,,,3,1,,1,,,,3,1,,,1,,21
7706,VBM,813,355,43.67,8,,3,,4,,2,6,2,20,1,,4,8,6,,6,2,,1,229,,,2,,,2,,2,,3,,1,1,1,1,40
7707,Election_Day,817,215,26.32,4,,1,1,2,,1,2,1,20,1,,4,,3,,1,,,2,149,1,,2,1,,,,,1,1,,,,,,17
7707,VBM,817,353,43.21,8,,2,3,3,,2,4,,32,1,1,4,2,7,,2,1,2,2,231,1,,,,1,1,,1,,1,1,,,1,2,37
7708,Election_Day,853,184,21.57,,1,1,,1,1,1,,,14,,,,1,1,,1,,,1,124,,,5,,,,,1,1,1,,,1,2,,26
7708,VBM,853,368,43.14,5,1,3,,4,1,1,9,2,39,1,1,5,4,8,,1,1,1,1,246,,1,2,1,,,,1,,2,,1,,1,3,22
7709,Election_Day,359,99,27.58,,,,,,,1,,,6,,,,,1,,,1,,1,72,,,2,1,,,,,,,,3,,,,11
7709,VBM,359,180,50.14,3,,1,,,,4,1,,19,1,,1,,3,,2,2,1,,116,,,1,,,,,,,,,,2,,3,20
7711,Election_Day,763,191,25.03,1,,3,1,1,,3,3,1,9,,,1,,1,,,1,1,1,129,,,3,,,1,1,,,,1,,1,1,,27
7711,VBM,763,312,40.89,4,,2,1,5,,1,5,2,20,2,,3,2,1,,1,,,1,226,,1,,1,1,1,,1,,,3,2,,,1,25
7712,Election_Day,543,142,26.15,,,,1,4,,,,,14,,,,,2,,1,,,,98,1,1,3,2,,,,1,,1,,1,,1,,11
7712,VBM,543,225,41.44,3,,3,1,4,,5,2,,17,3,1,1,1,4,,2,3,,,144,1,,5,2,,,,2,,,,1,,,4,16
7801,Election_Day,928,266,28.66,1,1,2,,4,,,1,,14,2,,,,,,,1,1,,198,,,2,1,,,,1,1,1,3,,,1,1,30
7801,VBM,928,396,42.67,3,,5,,3,1,2,5,,32,1,,5,2,1,,2,2,2,,287,,,2,,,,,,,,1,,,,4,36
7802,Election_Day,732,224,30.6,,,,,5,,2,1,,12,,,,,1,,1,,,,173,,1,6,,,,1,2,1,,,,,,,18
7802,VBM,732,286,39.07,2,,,,2,,1,1,1,13,,,3,1,2,,,1,1,3,217,,,4,,,1,1,1,1,1,,,,,3,26
7803,Election_Day,775,173,22.32,2,,1,,1,,1,1,,9,,,2,,,,,,,2,130,,,,1,,,1,1,,,2,,,,,19
7803,VBM,775,410,52.9,2,,1,,3,,2,5,,36,,,2,1,1,,,2,1,,326,,,3,,,1,,,,,1,1,,,3,19
7804,Election_Day,881,262,29.74,,1,1,,5,,1,4,,27,1,,1,2,,,3,2,,1,183,,,1,,,,,,1,1,,,,1,,26
7804,VBM,881,372,42.22,,,1,,6,,1,8,,21,2,,2,1,1,,1,,1,,297,,,2,,,,1,1,,,,,,2,,24
7805,Election_Day,795,207,26.04,,,,,2,,1,,1,15,,,,,1,,,1,,,154,,,4,,,1,,1,2,,,,,,,24
7805,VBM,795,334,42.01,2,,1,,6,,2,1,,24,,,1,1,4,,,1,1,2,243,2,1,2,1,,,,,,,1,,,1,3,34
7806,Election_Day,727,203,27.92,,,2,,1,,3,1,,15,1,,,1,,,,4,,,148,,,4,,1,,,,,,3,,1,,,18
7806,VBM,727,275,37.83,,,2,1,1,,5,2,,16,,,,1,,,3,1,,1,207,,,1,1,,,1,2,,1,,,,,3,26
7807,Election_Day,729,243,33.33,,,1,,2,,1,1,1,11,,,1,,1,,,1,,,193,,1,2,1,,,,3,,,2,1,,,,20
7807,VBM,729,231,31.69,,,1,,2,,3,1,,16,,,,,1,,,1,,,178,,1,3,2,,,,,2,,,,,2,,18
7808,Election_Day,653,216,33.08,,1,,,1,,1,,1,17,2,,,2,,,,1,,,148,,2,3,1,,1,,,,,1,,,1,,33
7808,VBM,653,223,34.15,1,,3,3,1,,,1,1,17,1,,1,,,,,,,,158,,,2,1,,,,5,,1,,,,,2,25
7809,Election_Day,978,266,27.2,,,,,1,1,4,1,1,18,,,2,,,,1,,1,,188,,,2,1,,,,,2,,1,1,,3,,38
7809,VBM,978,362,37.01,4,,1,,7,2,3,2,,29,2,,2,,1,,4,4,,3,245,1,2,4,1,,1,,3,,,,,1,,3,37
7811,Election_Day,731,209,28.59,1,,4,1,2,,1,1,,18,,,1,,1,,,3,,,141,,,3,,,,,1,,,,,,1,,30
7811,VBM,731,244,33.38,,,3,,2,,1,,,19,,,1,,1,,1,3,,2,179,,1,,,,,,,,,1,,,,1,29
7812,Election_Day,819,231,28.21,3,,1,,1,,2,3,1,25,,,,1,2,,,2,,1,149,,,3,,1,,1,1,,,4,,,,3,27
