precinct,ballot_type,registered_voters,ballots_cast,turnout,GEORGE_C_YANG,JERRY_J_LAWS,GAIL_K_LIGHTFOOT,MIKE_BEITIKS,PAMELA_ELIZONDO,SCOTT_A_VINEBERG,STEVE_STOKES,DUF_SUNDHEIM,LING_LING_SHI,LORETTA_L_SANCHEZ,PHIL_WYMAN,JARRELL_WILLIAMSON,THOMAS_G_DEL_BECCARO,RON_UNZ,GREG_CONLON,JASON_KRAUS,DON_KRAMPE,MARK_MATTHEW_HERD,VON_HOUGO,JASON_HANANIA,KAMALA_D_HARRIS,GAR_MYERS,PAUL_MERRITT,MASSIE_MUNROE,ELEANOR_GARCÍA,TIM_GILDERSLEEVE,CLIVE_GREY,DON_J_GRUNDMANN,PRESIDENT_CRISTINA_GRAPPO,HERBERT_G_PETERS,TOM_PALZER,JOHN_THOMPSON_PARKER,KAREN_ROSEBERRY,EMORY_RODGERS,WRITE-IN,over_votes,under_votes
1144,Election_Day,864,186,21.53,4,,,,3,,4,2,3,17,2,,5,2,1,,3,4,1,3,92,,1,3,2,1,,,1,,2,,,,2,5,23
1144,VBM,864,276,31.94,9,,2,,2,,1,2,6,48,,,,,4,,7,4,1,2,145,,,4,1,,,,2,2,,4,,,2,1,27
1145,Election_Day,878,169,19.25,,,3,,4,1,,,1,21,1,,,,1,,,1,,1,99,,1,3,1,,,,1,1,,,1,1,,,27
1145,VBM,878,345,39.29,3,,2,,,,3,,6,34,,1,1,2,1,,3,,2,,221,3,,1,3,,4,2,4,2,,4,2,,1,6,34
1146,Election_Day,927,168,18.12,1,,1,,4,,1,,,23,,,4,1,,1,4,,1,2,85,,1,2,8,,,1,,,,,1,,1,3,23
1146,VBM,927,323,34.84,12,1,2,,3,2,1,3,3,44,1,2,2,,,1,3,8,1,1,172,1,2,4,6,,1,,3,1,,,1,2,1,5,34
1147,Election_Day,860,178,20.7,1,1,,,3,1,1,,1,18,,,,,,,1,1,,1,105,,2,4,4,1,1,1,5,1,2,3,1,1,,3,15
1147,VBM,860,290,33.72,13,,1,,6,3,7,4,3,34,4,,2,1,3,,3,1,1,1,155,,,6,7,,,,2,,3,1,2,1,,14,12
1148,Election_Day,900,171,19,6,1,,2,6,1,1,1,2,32,1,,,1,,,,3,1,,65,,,6,1,,,,2,1,,1,2,,1,4,30
1148,VBM,900,284,31.56,18,,2,,4,1,4,2,6,30,2,1,3,1,5,2,2,1,1,1,132,4,1,4,1,,,,1,3,1,,5,3,1,7,35
1149,Election_Day,873,191,21.88,,,1,,4,,2,2,,27,,,3,1,,,,2,,,107,,,4,3,,,,2,1,,4,1,1,2,4,20
1149,VBM,873,274,31.39,16,3,,,4,,2,6,,31,1,,4,,2,,4,3,3,,142,,1,3,2,,1,,4,1,2,5,,3,,6,25
1151,Election_Day,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,VBM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Election_Day,826,156,18.89,4,,1,,3,,1,2,,17,,1,6,,,,,,2,1,83,,,2,2,,,,3,3,2,1,,1,,1,20
1152,VBM,826,279,33.78,16,1,,1,2,3,,7,4,38,2,1,1,2,2,2,4,,,3,146,1,1,3,2,,4,,3,2,,2,1,1,,10,14
1153,Election_Day,886,161,18.17,,,1,,2,,,2,,21,1,,1,1,,2,2,1,1,,78,,,4,2,2,1,2,5,,,2,,,,5,25
1153,VBM,886,293,33.07,11,,1,1,4,,1,1,7,30,2,2,5,2,6,,3,,1,2,163,,3,1,3,,1,,3,,3,,1,1,,6,29
1154,Election_Day,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,VBM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7001,Election_Day,647,143,22.1,1,,,,5,,1,1,,15,,,1,,,,,1,,,88,,,3,2,,,,2,1,,1,,,1,,20
7001,VBM,647,214,33.08,1,2,1,,1,,2,1,1,18,1,,1,,,,1,4,1,3,143,,1,2,,,,,1,1,,1,1,,,2,24
7002,Election_Day,934,177,18.95,1,,,,,,2,,,18,,,,,,1,1,3,,2,114,,,3,,,1,,,,,,1,,1,1,28
7002,VBM,934,308,32.98,18,1,1,1,5,,6,3,6,35,3,,,2,4,,6,2,,1,162,,,2,1,,,,2,,2,1,,,1,1,42
7003,Election_Day,850,216,25.41,1,,3,,4,1,,2,,14,,,3,1,,1,,2,,1,158,,,1,1,,1,,,,,1,,,1,1,19
7003,VBM,850,347,40.82,,,3,1,2,,4,6,,21,3,,3,,3,,6,3,1,3,240,,,3,2,,1,,1,1,1,3,1,,1,1,33
7004,Election_Day,823,197,23.94,,,,,1,,2,3,,12,1,,,1,,1,1,2,,1,130,,1,2,,,,,,,1,2,,,2,,34
7004,VBM,823,313,38.03,3,,2,,7,1,4,7,,12,2,,2,,1,,1,,,,229,,1,1,1,,,1,,,,,,,2,1,35
7005,Election_Day,810,242,29.88,2,,2,,2,,3,4,,20,1,1,1,,1,,2,2,,,171,,2,1,,,,1,,,,4,,,,,22
7005,VBM,810,261,32.22,1,,4,1,2,,2,1,,25,,,2,4,3,,,1,,3,181,,,,,,,,,,,1,,2,,4,24
7006,Election_Day,900,237,26.33,,,1,,6,,1,1,,15,2,,1,,,,3,2,,,156,,,1,1,,,1,3,1,,,,,2,3,37
7006,VBM,900,299,33.22,3,,,,11,,2,1,2,35,,,1,1,1,,1,3,1,2,197,,,2,2,,,,2,,1,4,,1,1,2,23
7007,Election_Day,938,274,29.21,,1,1,,1,,3,,,31,1,,,1,,,1,1,1,2,176,,1,2,1,,,,2,,,,,1,1,2,44
7007,VBM,938,347,36.99,1,,2,1,2,1,4,7,,23,,,,2,1,,1,1,2,2,253,,1,2,,,1,,,,2,3,2,1,,1,31
7008,Election_Day,819,216,26.37,1,,1,,5,,,1,,15,,,,,3,1,2,3,1,,153,,,1,,,1,,2,,1,,,,,1,24
