precinct,ballot_type,registered,ballots_cast,turnout,GARY_JOHNSON,MARC_FELDMAN,RHETT_WHITE_FEATHER_SMITH,JOY_WAYMIRE,STEVE_KERBEL,JOHN_HALE,JOHN_MCAFEE,CECIL_INCE,AUSTIN_PETERSEN,DARRYL_W._PERRY,DERRICK_M._REID,"JACK_ROBINSON,_JR.",WRITE-IN,over_votes,under_votes
7043,VBM,4,1,25,1,,,,,,,,,,,,,,
7044,Election_Day,2,1,50,,,,,,,,,,,,,,,1
7044,VBM,2,0,0,,,,,,,,,,,,,,,
7045,Election_Day,0,0,0,,,,,,,,,,,,,,,
7045,VBM,0,3,0,,,,,,,,,,2,,,,,1
7046,Election_Day,4,2,50,,,,,,,,,1,,,,,,1
7046,VBM,4,1,25,,,,,,,,,,,,,1,,
7047,Election_Day,6,2,33.33,1,,,,,,,,,,,1,,,
7047,VBM,6,1,16.67,,,,,,,,,,,,,,,1
7048,Election_Day,2,0,0,,,,,,,,,,,,,,,
7048,VBM,2,1,50,,,,,,,1,,,,,,,,
7049,Election_Day,3,0,0,,,,,,,,,,,,,,,
7049,VBM,3,1,33.33,,,,,,,,,,,,,,,1
7051,Election_Day,10,0,0,,,,,,,,,,,,,,,
7051,VBM,10,5,50,,,,,,,2,,,,,,,,3
7052,Election_Day,2,0,0,,,,,,,,,,,,,,,
7052,VBM,2,1,50,,,,,,,1,,,,,,,,
7053,Election_Day,2,1,50,,,,,,1,,,,,,,,,
7053,VBM,2,0,0,,,,,,,,,,,,,,,
7054,Election_Day,3,0,0,,,,,,,,,,,,,,,
7054,VBM,3,0,0,,,,,,,,,,,,,,,
7101,Election_Day,1,0,0,,,,,,,,,,,,,,,
7101,VBM,1,1,100,,,,,,,,,,,,,,,1
7201,Election_Day,5,2,40,2,,,,,,,,,,,,,,
7201,VBM,5,0,0,,,,,,,,,,,,,,,
7202,Election_Day,6,1,16.67,1,,,,,,,,,,,,,,
7202,VBM,6,3,50,1,,,,,,1,,,,,,1,,
7203,Election_Day,7,1,14.29,,,,,,,,,,,,1,,,
7203,VBM,7,2,28.57,1,,,,,,,,,,,,1,,
7204,Election_Day,8,1,12.5,,,,,,,,,,,,,,,1
7204,VBM,8,3,37.5,2,,,,,,1,,,,,,,,
7205,Election_Day,4,1,25,,,,,,,,,,,,,1,,
7205,VBM,4,0,0,,,,,,,,,,,,,,,
7206,Election_Day,0,0,0,,,,,,,,,,,,,,,
7206,VBM,0,0,0,,,,,,,,,,,,,,,
7207,Election_Day,5,1,20,,,,,,,1,,,,,,,,
7207,VBM,5,2,40,1,,,,,,,,,,,,,,1
7208,Election_Day,2,0,0,,,,,,,,,,,,,,,
7208,VBM,2,1,50,1,,,,,,,,,,,,,,
7209,Election_Day,3,0,0,,,,,,,,,,,,,,,
7209,VBM,3,3,100,1,,,,,,,,,,,,1,,1
7301,Election_Day,6,2,33.33,2,,,,,,,,,,,,,,
7301,VBM,6,5,83.33,2,,,,,1,,,1,,,,,,1
7302,Election_Day,3,0,0,,,,,,,,,,,,,,,
7302,VBM,3,4,133.33,1,,,,,,1,,2,,,,,,
7303,Election_Day,8,1,12.5,,,,,,,1,,,,,,,,
7303,VBM,8,3,37.5,3,,,,,,,,,,,,,,
7304,Election_Day,6,1,16.67,,1,,,,,,,,,,,,,
7304,VBM,6,1,16.67,,,,,,,,1,,,,,,,
7305,Election_Day,6,2,33.33,1,,,,,,,,,,,,1,,
7305,VBM,6,0,0,,,,,,,,,,,,,,,
7306,Election_Day,15,2,13.33,1,,,,,,,,,,,,1,,
7306,VBM,15,4,26.67,,,,1,,,,,,,,,,,3
7307,Election_Day,5,2,40,1,,1,,,,,,,,,,,,
7307,VBM,5,0,0,,,,,,,,,,,,,,,
7308,Election_Day,4,4,100,4,,,,,,,,,,,,,,
7308,VBM,4,1,25,,,,,,,,,,,,,1,,
7309,Election_Day,5,2,40,2,,,,,,,,,,,,,,
7309,VBM,5,1,20,,,,,,,,,,,,,,,1
7311,Election_Day,7,1,14.29,,,,,,,1,,,,,,,,
7311,VBM,7,1,14.29,,,,,,,,,,,,,1,,
7312,Election_Day,5,1,20,,,,,,,,,,,,1,,,
7312,VBM,5,2,40,1,,,,,,,,1,,,,,,
7313,Election_Day,6,1,16.67,1,,,,,,,,,,,,,,
7313,VBM,6,3,50,3,,,,,,,,,,,,,,
7314,Election_Day,5,1,20,1,,,,,,,,,,,,,,
7314,VBM,5,3,60,1,,1,,,,,,,,,,1,,
7315,Election_Day,4,1,25,1,,,,,,,,,,,,,,
7315,VBM,4,1,25,1,,,,,,,,,,,,,,
7316,Election_Day,8,2,25,1,,,,,,,,,,,,,,1
7316,VBM,8,2,25,,,1,,,,,,,,,,,,1
7317,Election_Day,6,1,16.67,,,,1,,,,,,,,,,,
7317,VBM,6,4,66.67,,1,1,,,,,,,,,,,,2
7318,Election_Day,5,0,0,,,,,,,,,,,,,,,
7318,VBM,5,3,60,1,,,,,1,,,,,,1,,,
7319,Election_Day,4,0,0,,,,,,,,,,,,,,,
7319,VBM,4,1,25,1,,,,,,,,,,,,,,
7321,Election_Day,1,0,0,,,,,,,,,,,,,,,
7321,VBM,1,1,100,,,,,,,,,,,,,1,,
7322,Election_Day,1,0,0,,,,,,,,,,,,,,,
7322,VBM,1,2,200,,,,,,,,,,,,,,,2
7323,Election_Day,3,1,33.33,,,,,,,1,,,,,,,,
7323,VBM,3,1,33.33,,,,,,,,,,,,,1,,
7324,Election_Day,5,2,40,1,,,,,,,,,,,,,,1
7324,VBM,5,3,60,,,1,,,,,,2,,,,,,
7325,Election_Day,6,0,0,,,,,,,,,,,,,,,
7325,VBM,6,1,16.67,1,,,,,,,,,,,,,,
7326,Election_Day,3,0,0,,,,,,,,,,,,,,,
7326,VBM,3,1,33.33,1,,,,,,,,,,,,,,
7327,Election_Day,1,1,100,,,,,,,,,,,,1,,,
7327,VBM,1,4,400,1,,,,,,1,,,,,,1,,1
7328,Election_Day,3,0,0,,,,,,,,,,,,,,,
