precinct,ballot_type,registered,ballots_cast,turnout,ROBERT_ORNELAS,ALAN_SPEARS,WILEY_DRAKE,JAMES_HEDGES,THOMAS_HOEFLING,ARTHUR_HARRIS,J.R._MYERS,WRITE-IN,over_votes,under_votes
7049,VBM,8,2,25,,,,,,,,1,,1
7051,Election_Day,13,3,23.08,,,,,,,,,,3
7051,VBM,13,7,53.85,,,,,,,1,1,,5
7052,Election_Day,16,1,6.25,,,1,,,,,,,
7052,VBM,16,6,37.5,,1,,,,2,,1,,2
7053,Election_Day,10,1,10,,,,,,,,1,,
7053,VBM,10,2,20,,,,,,,,2,,
7054,Election_Day,15,4,26.67,,1,,,,,,1,,2
7054,VBM,15,0,0,,,,,,,,,,
7101,Election_Day,0,0,0,,,,,,,,,,
7101,VBM,0,0,0,,,,,,,,,,
7201,Election_Day,24,4,16.67,,,,,,,,3,,1
7201,VBM,24,9,37.5,,,1,,,,1,5,,2
7202,Election_Day,17,3,17.65,,,1,,,,,1,,1
7202,VBM,17,3,17.65,,,,,,,,2,,1
7203,Election_Day,16,3,18.75,,,,,,,,1,,2
7203,VBM,16,2,12.5,,,,,,,,2,,
7204,Election_Day,17,3,17.65,,,,,,,,,,3
7204,VBM,17,11,64.71,,,,,,,,4,,7
7205,Election_Day,21,2,9.52,,,1,,,,,,,1
7205,VBM,21,7,33.33,,,,,,,,3,,4
7206,Election_Day,11,4,36.36,,,,,,,,2,,2
7206,VBM,11,0,0,,,,,,,,,,
7207,Election_Day,12,4,33.33,,,1,,,1,,,,2
7207,VBM,12,5,41.67,,,,,,,1,,,4
7208,Election_Day,11,1,9.09,,,,,,,,,1,
7208,VBM,11,5,45.45,,,,,,2,,1,,2
7209,Election_Day,5,2,40,,1,,,,1,,,,
7209,VBM,5,2,40,,,,,,,,1,,1
7301,Election_Day,22,3,13.64,,,,,,,,2,,1
7301,VBM,22,8,36.36,,,,1,,,,4,,3
7302,Election_Day,11,2,18.18,,,1,,,,,1,,
7302,VBM,11,5,45.45,,,1,,,,,2,,2
7303,Election_Day,21,9,42.86,,2,,1,1,1,,1,,3
7303,VBM,21,5,23.81,,,,,,,1,2,,2
7304,Election_Day,22,1,4.55,,,,,,,,1,,
7304,VBM,22,5,22.73,,1,,,,,,2,,2
7305,Election_Day,11,2,18.18,,,1,,,,,1,,
7305,VBM,11,2,18.18,,,,,,,1,,,1
7306,Election_Day,23,3,13.04,1,,,,,,,2,,
7306,VBM,23,7,30.43,,,1,,,1,,3,,2
7307,Election_Day,17,6,35.29,1,,,1,,,,2,,2
7307,VBM,17,4,23.53,,,2,1,,,,1,,
7308,Election_Day,8,3,37.5,,1,,,,,,,,2
7308,VBM,8,1,12.5,,,,,,,,,,1
7309,Election_Day,25,4,16,,1,,,,,,2,,1
7309,VBM,25,6,24,1,,,,,,,4,,1
7311,Election_Day,16,1,6.25,,,,,,,,,,1
7311,VBM,16,3,18.75,,,1,,1,,,,,1
7312,Election_Day,18,3,16.67,1,,,,,,,1,,1
7312,VBM,18,8,44.44,1,,,,,,,,,7
7313,Election_Day,18,4,22.22,,1,,,,1,,2,,
7313,VBM,18,5,27.78,,1,,,,,,,,4
7314,Election_Day,6,2,33.33,,,1,,,,,1,,
7314,VBM,6,0,0,,,,,,,,,,
7315,Election_Day,11,2,18.18,,,,,,,,1,,1
7315,VBM,11,3,27.27,,,,,,,1,,,2
7316,Election_Day,13,2,15.38,,,,,,,,1,,1
7316,VBM,13,5,38.46,,1,1,,,,,2,,1
7317,Election_Day,19,2,10.53,,,1,,,,,,,1
7317,VBM,19,6,31.58,,,1,,,,,2,,3
7318,Election_Day,7,1,14.29,,,,1,,,,,,
7318,VBM,7,2,28.57,,1,,,,,,,,1
7319,Election_Day,14,2,14.29,,,1,,,,,,,1
7319,VBM,14,3,21.43,,1,,,,,,1,,1
7321,Election_Day,13,3,23.08,,,,,,,1,1,,1
7321,VBM,13,5,38.46,1,,,,,1,,2,,1
7322,Election_Day,6,0,0,,,,,,,,,,
7322,VBM,6,1,16.67,,,,1,,,,,,
7323,Election_Day,11,3,27.27,,,,,,,,1,,2
7323,VBM,11,2,18.18,1,,,,,,,,,1
7324,Election_Day,9,3,33.33,,,,,,,,1,,2
7324,VBM,9,1,11.11,,,,,,,,1,,
7325,Election_Day,17,4,23.53,,,1,,,,,2,,1
7325,VBM,17,1,5.88,,,,,,,,1,,
7326,Election_Day,16,4,25,,,,,,,1,,,3
7326,VBM,16,1,6.25,,,,,,,,,,1
7327,Election_Day,8,1,12.5,1,,,,,,,,,
7327,VBM,8,3,37.5,,,1,,1,,,1,,
7328,Election_Day,7,0,0,,,,,,,,,,
7328,VBM,7,3,42.86,,,,1,,,,1,,1
7329,Election_Day,12,3,25,,1,,,,,,,,2
7329,VBM,12,3,25,,,,,1,,,1,,1
7331,Election_Day,15,2,13.33,,,,,,,,1,,1
7331,VBM,15,4,26.67,,,,,,,,,,4
7332,Election_Day,14,4,28.57,,,,,,,,2,,2
7332,VBM,14,2,14.29,,1,,1,,,,,,
7333,Election_Day,23,6,26.09,1,,,,,1,,2,,2
7333,VBM,23,6,26.09,,,,,,,,1,,5
7334,Election_Day,15,2,13.33,,,,,,,,1,,1
7334,VBM,15,4,26.67,1,1,,,,,,,,2
7335,Election_Day,25,2,8,,,,,,,,1,,1
7335,VBM,25,8,32,,,,,,,,3,,5
7336,Election_Day,14,4,28.57,,,1,,,,,1,,2
7336,VBM,14,4,28.57,,,,,1,1,,2,,
7337,Election_Day,12,2,16.67,,1,,,,,,,,1
7337,VBM,12,3,25,,,,,,2,,,,1
7338,Election_Day,11,2,18.18,,,,1,,,,,,1
7338,VBM,11,4,36.36,,,,,,,,2,,2
7339,Election_Day,13,3,23.08,1,,,,,,1,,,1
7339,VBM,13,2,15.38,,,,,1,,,,,1
7341,Election_Day,23,2,8.7,,,,,1,,,,,1
7341,VBM,23,4,17.39,,,,,,,,3,,1
