precinct,ballot_type,registered_voters,ballots_cast,turnout,JOAN_LEONE,RODNEY_LEONG,KEN_LOO,ANDREW_BENTON,EDWARD_BATE,STEPHANIE_JEONG,TERENCE_FAULKNER,SARAH_L._STORELLI,RICHARD_WORNER,SCOTT_WILLIAMS,JOHN_DENNIS,JOHNNY_D._KNADLER,HILARY_W._HAGENBUCH,RUDY_ASERCION,GILBERT_GONZALES,WRITE-IN,over_votes,under_votes
9744,VBM,84,29,34.52,12,6,15,12,7,6,13,10,6,10,8,9,12,10,9,,,261
9745,Election_Day,78,17,21.79,3,3,8,4,1,5,4,4,3,4,3,2,3,2,5,,,184
9745,VBM,78,23,29.49,7,6,9,3,7,5,10,9,8,8,7,5,8,7,8,,,215
9746,Election_Day,156,36,23.08,5,6,18,6,,7,13,5,9,6,9,7,7,4,5,,,397
9746,VBM,156,54,34.62,19,16,20,13,8,11,20,10,20,14,16,12,10,8,9,,14,536
9747,Election_Day,96,14,14.58,4,4,5,4,4,4,5,3,4,2,4,4,5,5,6,,,133
9747,VBM,96,38,39.58,4,5,13,4,1,6,6,4,2,6,6,2,4,6,4,1,,458
9748,Election_Day,105,16,15.24,2,3,5,1,1,4,4,1,2,1,2,1,,1,1,,,195
9748,VBM,105,44,41.9,12,16,17,11,8,14,14,9,12,15,12,12,12,5,10,5,,432
9749,Election_Day,50,10,20,2,2,6,3,2,2,2,3,3,1,2,1,,3,2,,,106
9749,VBM,50,8,16,4,5,5,4,3,4,4,2,3,3,3,3,3,4,3,,,59
9751,Election_Day,125,19,15.2,5,2,5,3,1,2,3,1,4,3,3,1,2,2,3,,,226
9751,VBM,125,45,36,15,14,23,17,10,13,14,16,13,16,14,16,13,13,13,11,,399
9752,Election_Day,76,11,14.47,1,2,4,1,1,1,1,1,1,2,2,1,1,1,1,,,133
9752,VBM,76,27,35.53,6,5,10,5,2,3,7,5,6,5,5,4,6,3,6,,,300
9753,Election_Day,52,2,3.85,,,,,,,,,,,1,,,,,,,27
9753,VBM,52,22,42.31,10,8,7,6,4,8,9,5,6,6,7,7,4,5,8,5,,203
9754,Election_Day,47,10,21.28,1,3,3,1,1,4,3,2,2,1,4,1,1,1,1,,,111
9754,VBM,47,17,36.17,6,5,10,4,3,5,4,4,6,3,6,2,7,5,5,,,163
9755,Election_Day,38,7,18.42,1,1,2,,1,,1,,1,,1,,,,2,,,88
9755,VBM,38,13,34.21,5,7,10,3,4,6,4,4,3,3,4,1,4,2,4,9,,109
9756,Election_Day,57,12,21.05,3,2,6,1,2,4,1,3,2,3,2,2,3,3,3,,,128
9756,VBM,57,21,36.84,5,6,11,4,3,6,6,4,5,4,5,4,5,9,5,,,212
9801,Election_Day,38,5,13.16,2,1,2,1,1,1,1,1,1,1,1,,1,2,3,,,51
9801,VBM,38,13,34.21,4,4,5,2,1,3,4,2,2,3,3,2,2,3,5,,,137
