precinct,ballot_type,registered,ballots_cast,turnout,JANE_KIM,SCOTT_WIENER,KEN_LOO,WRITE-IN,over_votes,under_votes
7302,VBM,773,361,46.7,103,176,55,,,27
7303,Election_Day,914,209,22.87,90,84,16,,,19
7303,VBM,914,300,32.82,115,137,24,1,,23
7304,Election_Day,924,201,21.75,90,69,17,,,25
7304,VBM,924,321,34.74,121,137,43,3,,17
7305,Election_Day,825,215,26.06,89,78,24,,,24
7305,VBM,825,306,37.09,93,145,43,,,25
7306,Election_Day,936,183,19.55,76,64,19,,,24
7306,VBM,936,309,33.01,141,106,43,,1,18
7307,Election_Day,717,170,23.71,73,63,12,,,22
7307,VBM,717,237,33.05,82,102,31,,,22
7308,Election_Day,588,171,29.08,83,63,10,2,,13
7308,VBM,588,214,36.39,90,80,25,,,19
7309,Election_Day,775,201,25.94,89,72,19,,,21
7309,VBM,775,225,29.03,73,96,32,,,24
7311,Election_Day,875,213,24.34,95,87,11,1,,19
7311,VBM,875,271,30.97,93,123,33,1,1,20
7312,Election_Day,806,158,19.6,60,60,21,,,17
7312,VBM,806,352,43.67,92,187,38,,,35
7313,Election_Day,879,155,17.63,71,53,13,,,18
7313,VBM,879,317,36.06,130,125,38,,1,23
7314,Election_Day,739,92,12.45,52,23,7,1,,9
7314,VBM,739,229,30.99,124,68,17,1,5,14
7315,Election_Day,695,165,23.74,95,34,14,,1,21
7315,VBM,695,198,28.49,81,70,16,2,,29
7316,Election_Day,823,143,17.38,82,48,4,,,9
7316,VBM,823,286,34.75,149,91,19,,,27
7317,Election_Day,885,159,17.97,71,60,13,1,1,13
7317,VBM,885,346,39.1,114,164,42,3,,23
7318,Election_Day,700,154,22,69,55,12,1,,17
7318,VBM,700,251,35.86,111,84,34,,4,18
7319,Election_Day,983,197,20.04,90,66,12,1,,28
7319,VBM,983,297,30.21,124,97,38,2,1,35
7321,Election_Day,620,87,14.03,43,23,7,1,2,11
7321,VBM,620,208,33.55,86,86,22,,,14
7322,Election_Day,868,66,7.6,45,7,6,1,,7
7322,VBM,868,279,32.14,163,91,10,,2,13
7323,Election_Day,804,186,23.13,88,63,15,,,20
7323,VBM,804,242,30.1,100,93,22,,,27
7324,Election_Day,657,132,20.09,57,44,11,1,1,18
7324,VBM,657,206,31.35,93,70,28,,,15
7325,Election_Day,870,157,18.05,70,55,12,,,20
7325,VBM,870,277,31.84,124,112,15,1,1,24
