precinct,ballot_type,registered,ballots_cast,turnout,JANE_KIM,SCOTT_WIENER,KEN_LOO,WRITE-IN,over_votes,under_votes
9446,VBM,995,369,37.09,137,157,48,1,,26
9447,Election_Day,892,171,19.17,79,69,9,,,14
9447,VBM,892,318,35.65,82,151,54,,,31
9448,Election_Day,855,159,18.6,74,46,21,1,,17
9448,VBM,855,302,35.32,106,119,48,,,29
9449,Election_Day,763,111,14.55,42,48,8,1,,12
9449,VBM,763,278,36.44,93,117,44,,,24
9451,Election_Day,402,85,21.14,36,31,9,1,,8
9451,VBM,402,157,39.05,30,71,43,,,13
9452,Election_Day,765,208,27.19,73,67,36,,,32
9452,VBM,765,259,33.86,87,125,32,,,15
9453,Election_Day,454,90,19.82,40,30,12,,,8
9453,VBM,454,170,37.44,43,85,19,1,,22
9501,Election_Day,141,2,1.42,1,,,,,1
9501,VBM,141,77,54.61,26,32,11,,,8
9502,Election_Day,201,7,3.48,1,4,2,,,
9502,VBM,201,122,60.7,42,58,4,,3,15
9503/9504,Election_Day,673,126,18.72,56,51,7,,,12
9503/9504,VBM,673,215,31.95,82,99,13,,1,20
9505,Election_Day,738,150,20.33,57,71,7,,,15
9505,VBM,738,228,30.89,89,109,11,2,,17
9506,Election_Day,734,162,22.07,92,48,6,1,,15
9506,VBM,734,181,24.66,73,90,5,2,1,10
9507,Election_Day,731,182,24.9,98,62,2,1,,19
9507,VBM,731,266,36.39,123,101,10,4,,28
9508,Election_Day,797,233,29.23,125,79,,,,29
9508,VBM,797,233,29.23,106,95,10,,,22
9509,Election_Day,671,184,27.42,104,56,6,1,,17
9509,VBM,671,212,31.59,88,90,8,2,,24
9511,Election_Day,592,166,28.04,95,52,9,,1,9
9511,VBM,592,170,28.72,72,70,9,,,19
9512,Election_Day,776,195,25.13,110,64,5,1,,15
9512,VBM,776,260,33.51,128,113,7,,1,11
9513,Election_Day,849,207,24.38,121,60,2,,,24
9513,VBM,849,245,28.86,128,96,6,,,15
9514/9522,Election_Day,890,275,30.9,130,97,15,1,,32
9514/9522,VBM,890,284,31.91,117,122,18,1,2,24
9515,Election_Day,694,233,33.57,107,75,10,,,41
9515,VBM,694,228,32.85,99,90,21,,,18
9516,Election_Day,855,225,26.32,105,82,10,1,,27
9516,VBM,855,283,33.1,123,83,49,,,28
9517,Election_Day,786,219,27.86,126,58,15,,,20
9517,VBM,786,273,34.73,118,114,22,,,19
9518,Election_Day,750,214,28.53,106,80,8,1,,19
9518,VBM,750,255,34,123,90,21,1,,20
9519,Election_Day,859,251,29.22,141,75,13,1,,21
9519,VBM,859,282,32.83,132,106,16,2,,26
9521,Election_Day,860,276,32.09,140,96,11,1,,28
9521,VBM,860,284,33.02,116,126,14,,,28
9701,Election_Day,642,197,30.69,97,66,13,,,21
9701,VBM,642,215,33.49,78,94,26,,1,16
9702,Election_Day,723,220,30.43,112,80,3,,1,24
9702,VBM,723,223,30.84,86,90,29,,1,17
9703,Election_Day,917,197,21.48,68,85,29,,,15
9703,VBM,917,323,35.22,124,130,47,,,22
9704,Election_Day,902,229,25.39,94,93,21,,,21
9704,VBM,902,325,36.03,111,138,35,,,41
9705,Election_Day,859,269,31.32,129,97,12,,,31
9705,VBM,859,289,33.64,111,121,29,,,28
9706,Election_Day,52,1,1.92,1,,,,,
9706,VBM,52,39,75,16,20,,,,3
9707,Election_Day,741,145,19.57,51,61,17,,,16
9707,VBM,741,285,38.46,90,134,45,1,,15
9708,Election_Day,876,227,25.91,107,83,16,,,21
9708,VBM,876,308,35.16,135,119,29,2,2,21
9709,Election_Day,942,202,21.44,81,72,27,,,22
9709,VBM,942,336,35.67,108,155,50,2,,21
9711,Election_Day,621,164,26.41,48,79,27,,,10
9711,VBM,621,262,42.19,98,115,26,,,23
9712,Election_Day,621,150,24.15,50,73,9,,,18
9712,VBM,621,259,41.71,75,133,34,,,17
9713,Election_Day,913,172,18.84,68,68,15,1,,20
9713,VBM,913,345,37.79,114,153,55,,,23
9714,Election_Day,898,187,20.82,66,83,23,,,15
9714,VBM,898,378,42.09,100,193,59,,,26
9715,Election_Day,557,175,31.42,39,100,13,,,23
9715,VBM,557,192,34.47,49,97,31,1,,14
9716,Election_Day,914,195,21.33,69,96,13,,,17
9716,VBM,914,328,35.89,102,163,31,1,1,30
9717,Election_Day,942,217,23.04,74,100,22,3,,18
9717,VBM,942,343,36.41,102,165,44,1,,31
9718,Election_Day,819,195,23.81,56,101,23,,,15
9718,VBM,819,358,43.71,114,183,38,1,3,19
9719,Election_Day,852,219,25.7,59,126,17,2,,15
9719,VBM,852,350,41.08,91,193,37,,,29
9721,Election_Day,628,176,28.03,51,88,20,1,,16
9721,VBM,628,231,36.78,56,120,39,1,,15
9722,Election_Day,608,109,17.93,41,41,12,,,15
9722,VBM,608,266,43.75,74,120,38,,,34
9723,Election_Day,435,60,13.79,12,29,11,,1,7
9723,VBM,435,200,45.98,47,88,44,,1,20
9724,Election_Day,903,161,17.83,41,72,30,,,18
9724,VBM,903,355,39.31,82,163,74,,,36
9725,Election_Day,937,156,16.65,53,57,26,,1,19
9725,VBM,937,338,36.07,86,152,66,,1,33
9726,Election_Day,676,134,19.82,73,39,12,,,10
9726,VBM,676,180,26.63,88,55,21,1,1,14
9727,Election_Day,419,71,16.95,21,28,13,,,9
9727,VBM,419,185,44.15,41,94,36,,,14
9728,Election_Day,899,192,21.36,61,77,28,,,26
9728,VBM,899,365,40.6,98,170,62,1,,34
9729,Election_Day,766,155,20.23,27,91,22,1,,14
9729,VBM,766,321,41.91,65,169,67,,,20
9731,Election_Day,506,148,29.25,37,71,25,3,,12
9731,VBM,506,184,36.36,38,85,35,,,26
9732,Election_Day,74,4,5.41,,4,,,,
9732,VBM,74,52,70.27,17,28,6,,,1
9733,Election_Day,209,5,2.39,3,1,,,,1
9733,VBM,209,146,69.86,38,79,17,1,,11
9734,Election_Day,580,133,22.93,26,81,14,1,,11
9734,VBM,580,241,41.55,59,112,42,,1,27
9735,Election_Day,763,157,20.58,50,70,16,1,,20
9735,VBM,763,332,43.51,88,167,54,,,23
9736,Election_Day,687,156,22.71,52,69,14,,,21
9736,VBM,687,291,42.36,90,150,29,,,22
9737,Election_Day,756,177,23.41,67,77,13,1,,19
9737,VBM,756,353,46.69,123,154,45,,,31
9738,Election_Day,769,167,21.72,88,43,19,,,17
9738,VBM,769,245,31.86,80,108,24,,1,32
9739,Election_Day,806,168,20.84,74,56,15,,,23
9739,VBM,806,207,25.68,101,68,24,,1,13
9741,Election_Day,765,53,6.93,36,8,,1,,8
9741,VBM,765,51,6.67,25,14,4,2,,6
9742,Election_Day,603,121,20.07,38,58,12,1,,12
9742,VBM,603,184,30.51,49,81,32,1,,21
9743,Election_Day,986,222,22.52,123,60,7,1,1,30
9743,VBM,986,329,33.37,130,146,29,1,1,22
9744,Election_Day,877,194,22.12,109,53,12,,,20
9744,VBM,877,227,25.88,85,83,35,1,2,21
9745,Election_Day,969,189,19.5,107,43,14,1,,24
9745,VBM,969,236,24.36,103,97,19,,,17
9746,Election_Day,872,202,23.17,65,80,37,,,20
9746,VBM,872,334,38.3,114,139,48,2,1,30
9747,Election_Day,917,215,23.45,98,87,11,,1,18
9747,VBM,917,340,37.08,138,144,32,,,26
9748,Election_Day,937,195,20.81,81,76,18,,,20
9748,VBM,937,345,36.82,127,152,47,1,1,17
9749,Election_Day,865,173,20,77,62,14,,,20
9749,VBM,865,241,27.86,116,99,13,,1,12
9751,Election_Day,929,197,21.21,69,91,17,2,,18
9751,VBM,929,375,40.37,115,167,48,,2,43
9752,Election_Day,704,164,23.3,64,66,12,2,,20
9752,VBM,704,302,42.9,91,143,42,1,,25
9753,Election_Day,727,148,20.36,67,66,5,,,10
9753,VBM,727,283,38.93,96,137,27,1,,22
9754,Election_Day,695,171,24.6,82,59,11,2,,17
9754,VBM,695,276,39.71,105,127,22,2,,20
9755,Election_Day,578,136,23.53,58,55,8,,,15
9755,VBM,578,221,38.24,88,96,25,1,,11
9756,Election_Day,867,161,18.57,69,51,14,1,1,25
9756,VBM,867,300,34.6,113,119,38,,,30
9801,Election_Day,426,87,20.42,38,32,3,,,14
9801,VBM,426,147,34.51,43,77,15,,,12
9900,Election_Day,0,0,0,,,,,,
9900,VBM,0,0,0,,,,,,
9901,Election_Day,0,0,0,,,,,,
9901,VBM,0,0,0,,,,,,
9902,Election_Day,0,0,0,,,,,,
9902,VBM,0,0,0,,,,,,
