precinct,ballot_type,registered,ballots_cast,turnout,Yes,No,over_votes,under_votes
7322,VBM,868,277,31.91,185,47,,45
7323,Election_Day,804,187,23.26,131,35,,21
7323,VBM,804,237,29.48,164,52,,21
7324,Election_Day,657,130,19.79,100,18,,12
7324,VBM,657,207,31.51,157,32,,18
7325,Election_Day,870,159,18.28,109,24,,26
7325,VBM,870,272,31.26,194,55,,23
7326,Election_Day,808,173,21.41,133,21,,19
7326,VBM,808,247,30.57,166,55,,26
7327,Election_Day,701,58,8.27,45,6,,7
7327,VBM,701,266,37.95,154,64,,48
7328,Election_Day,936,79,8.44,56,8,,15
7328,VBM,936,362,38.68,241,60,,61
7329,Election_Day,543,76,14,50,21,,5
7329,VBM,543,201,37.02,134,45,,22
7331,Election_Day,831,181,21.78,129,30,,22
7331,VBM,831,343,41.28,246,70,,27
7332,Election_Day,782,188,24.04,145,30,,13
7332,VBM,782,241,30.82,172,45,,24
7333,Election_Day,936,228,24.36,166,40,,22
7333,VBM,936,273,29.17,192,53,,28
7334,Election_Day,833,173,20.77,132,23,,18
7334,VBM,833,277,33.25,196,53,,28
7335,Election_Day,883,166,18.8,126,27,,13
7335,VBM,883,336,38.05,223,82,,31
7336,Election_Day,879,188,21.39,151,22,,15
7336,VBM,879,334,38,228,82,,24
7337,Election_Day,829,141,17.01,99,31,,11
7337,VBM,829,339,40.89,236,70,,33
7338,Election_Day,912,120,13.16,79,22,,19
7338,VBM,912,346,37.94,216,73,,57
7339,Election_Day,585,142,24.27,105,20,,17
7339,VBM,585,169,28.89,131,26,,12
7341,Election_Day,868,192,22.12,145,25,,22
7341,VBM,868,239,27.53,166,51,,22
7342,Election_Day,908,269,29.63,211,44,,14
7342,VBM,908,252,27.75,181,52,,19
7343,Election_Day,647,176,27.2,140,18,,18
7343,VBM,647,176,27.2,129,33,,14
7344,Election_Day,1024,210,20.51,165,28,,17
7344,VBM,1024,356,34.77,254,69,1,32
7345,Election_Day,1006,238,23.66,188,28,,22
7345,VBM,1006,314,31.21,234,50,,30
7346,Election_Day,869,217,24.97,163,30,,24
7346,VBM,869,234,26.93,184,32,,18
7347,Election_Day,954,200,20.96,164,20,1,15
7347,VBM,954,311,32.6,253,31,,27
7348,Election_Day,808,143,17.7,102,38,,3
7348,VBM,808,229,28.34,176,33,1,19
7349,Election_Day,893,186,20.83,134,24,,28
7349,VBM,893,297,33.26,212,56,,29
7501,Election_Day,523,142,27.15,98,26,,18
7501,VBM,523,161,30.78,116,32,,13
7502,Election_Day,735,159,21.63,123,24,,12
7502,VBM,735,259,35.24,169,62,,28
7503,Election_Day,706,156,22.1,115,27,,14
7503,VBM,706,213,30.17,155,39,,19
7504,Election_Day,454,98,21.59,69,15,,14
7504,VBM,454,141,31.06,100,28,,13
7505,Election_Day,853,148,17.35,104,26,,18
7505,VBM,853,426,49.94,350,43,,33
7506,Election_Day,908,202,22.25,156,24,,22
7506,VBM,908,263,28.96,191,44,,28
7507,Election_Day,927,152,16.4,108,19,,25
7507,VBM,927,263,28.37,208,39,,16
7508,Election_Day,683,122,17.86,87,17,,18
7508,VBM,683,304,44.51,219,60,,25
7509/7511,Election_Day,896,195,21.76,149,26,,20
7509/7511,VBM,896,323,36.05,237,64,,22
7512,Election_Day,579,100,17.27,77,15,,8
7512,VBM,579,217,37.48,149,43,,25
7513,Election_Day,735,172,23.4,122,22,,28
7513,VBM,735,183,24.9,139,22,,22
7514,Election_Day,803,92,11.46,63,10,,19
7514,VBM,803,194,24.16,138,33,,23
7515,Election_Day,826,158,19.13,120,21,,17
7515,VBM,826,278,33.66,203,55,,20
7516,Election_Day,805,160,19.88,113,30,,17
7516,VBM,805,361,44.84,246,74,,41
7517,Election_Day,877,260,29.65,208,32,,20
7517,VBM,877,283,32.27,207,50,,26
7518,Election_Day,905,292,32.27,226,38,,28
7518,VBM,905,291,32.15,227,45,,19
7519,Election_Day,741,228,30.77,186,26,,16
7519,VBM,741,206,27.8,160,28,,18
7521,Election_Day,773,236,30.53,202,21,,13
7521,VBM,773,230,29.75,183,26,,21
7522,Election_Day,801,240,29.96,193,26,,21
7522,VBM,801,266,33.21,196,39,,31
7523,Election_Day,743,256,34.45,206,34,,16
7523,VBM,743,205,27.59,161,19,,25
7524,Election_Day,638,173,27.12,135,25,,13
7524,VBM,638,183,28.68,151,19,,13
7525,Election_Day,800,168,21,133,12,,23
7525,VBM,800,224,28,174,30,,20
7526,Election_Day,890,212,23.82,161,32,,19
7526,VBM,890,340,38.2,269,47,,24
