precinct,ballot_type,registered,ballots_cast,turnout,RICHARD_W._STONE,JOHN-MARC_CHANDONIA,BARRY_HERMANSON,MIKE_MURPHY,WRITE-IN,over_votes,under_votes
7547,VBM,13,3,23.08,,,1,,,,17
7548,Election_Day,11,2,18.18,,,1,,,,11
7548,VBM,11,1,9.09,,,,,,,6
7549,Election_Day,14,3,21.43,1,,2,1,,,14
7549,VBM,14,4,28.57,2,2,2,1,,,17
7551,Election_Day,7,3,42.86,1,1,1,1,,,14
7551,VBM,7,2,28.57,1,1,1,1,,,8
7552,Election_Day,11,4,36.36,1,1,1,1,,,20
7552,VBM,11,1,9.09,,,,,,,6
7553,Election_Day,2,0,0,,,,,,,
7553,VBM,2,0,0,,,,,,,
7554,Election_Day,8,2,25,,,,,,,12
7554,VBM,8,0,0,,,,,,,
7555,Election_Day,15,5,33.33,1,1,3,1,,,24
7555,VBM,15,5,33.33,1,2,1,2,,,24
7556/7557,Election_Day,10,1,10,,,,,,,6
7556/7557,VBM,10,3,30,,,1,,,,17
7601,Election_Day,14,3,21.43,1,1,1,2,,,13
7601,VBM,14,0,0,,,,,,,
7602,Election_Day,10,2,20,,,,,,,12
7602,VBM,10,1,10,1,,1,,,,4
7603,Election_Day,11,2,18.18,,,1,,,,11
7603,VBM,11,1,9.09,1,1,1,1,,,2
7604,Election_Day,9,1,11.11,,,1,,,,5
7604,VBM,9,4,44.44,1,2,3,1,,,17
7605,Election_Day,10,3,30,,1,,,,,17
7605,VBM,10,2,20,,1,1,,,,10
7606,Election_Day,17,4,23.53,,1,1,1,,,21
7606,VBM,17,4,23.53,,,3,,,,21
7607,Election_Day,16,5,31.25,1,,,1,,,28
7607,VBM,16,4,25,1,1,3,1,,,18
7608,Election_Day,4,1,25,,,,1,,,5
7608,VBM,4,1,25,,,1,,,,5
7609,Election_Day,9,0,0,,,,,,,
7609,VBM,9,3,33.33,,2,1,3,,,12
7611,Election_Day,6,2,33.33,,,1,,1,,10
7611,VBM,6,0,0,,,,,,,
7612,Election_Day,6,2,33.33,,1,,1,,,10
7612,VBM,6,0,0,,,,,,,
7613,Election_Day,12,2,16.67,,,,2,,,10
7613,VBM,12,1,8.33,,1,,,,,5
7614,Election_Day,10,1,10,,,1,,,,5
7614,VBM,10,3,30,1,1,2,1,,,13
7615,Election_Day,11,4,36.36,,,1,,,,23
7615,VBM,11,4,36.36,1,2,,1,,,20
7616,Election_Day,4,0,0,,,,,,,
7616,VBM,4,2,50,,,1,1,,,10
7617,Election_Day,6,1,16.67,,,1,,,,5
7617,VBM,6,0,0,,,,,,,
7618,Election_Day,11,0,0,,,,,,,
7618,VBM,11,2,18.18,1,1,1,1,,,8
