precinct,ballot_type,registered,ballots_cast,turnout,MATTHEW_DEL_CARLO,DAVID_CHIU,WRITE-IN,over_votes,under_votes
7543,VBM,886,328,37.02,17,260,2,,49
7544,Election_Day,856,216,25.23,12,170,1,,33
7544,VBM,856,308,35.98,19,248,2,,39
7545,Election_Day,851,211,24.79,10,157,,,44
7545,VBM,851,298,35.02,23,226,1,,48
7546,Election_Day,857,293,34.19,26,198,4,,65
7546,VBM,857,276,32.21,17,222,2,,35
7547,Election_Day,969,283,29.21,17,203,2,,61
7547,VBM,969,319,32.92,15,251,2,1,50
7548,Election_Day,1029,271,26.34,13,201,6,,51
7548,VBM,1029,371,36.05,25,286,3,,57
7549,Election_Day,789,217,27.5,16,156,2,,43
7549,VBM,789,268,33.97,21,204,3,,40
7551,Election_Day,682,221,32.4,11,165,2,,43
7551,VBM,682,224,32.84,10,176,1,,37
7552,Election_Day,702,204,29.06,8,168,4,,24
7552,VBM,702,233,33.19,14,187,1,,31
7553,Election_Day,166,3,1.81,,2,,,1
7553,VBM,166,92,55.42,8,78,,,6
7554,Election_Day,808,228,28.22,18,161,3,,46
7554,VBM,808,318,39.36,21,254,2,,41
7555,Election_Day,848,253,29.83,16,186,2,,49
7555,VBM,848,323,38.09,12,255,3,,53
7556/7557,Election_Day,955,270,28.27,26,198,3,,43
7556/7557,VBM,955,371,38.85,22,294,,,55
7601,Election_Day,828,152,18.36,15,97,,,40
7601,VBM,828,183,22.1,18,140,1,,24
7602,Election_Day,884,185,20.93,11,134,4,,36
7602,VBM,884,253,28.62,22,191,4,,36
7603,Election_Day,791,189,23.89,17,139,2,,31
7603,VBM,791,242,30.59,16,195,,,31
7604,Election_Day,841,189,22.47,23,127,5,,34
7604,VBM,841,246,29.25,44,172,6,,24
7605,Election_Day,693,124,17.89,8,79,,,37
7605,VBM,693,161,23.23,17,115,3,,26
7606,Election_Day,881,139,15.78,17,88,1,,33
7606,VBM,881,229,25.99,22,172,2,1,32
7607,Election_Day,942,187,19.85,16,137,3,,31
7607,VBM,942,274,29.09,24,211,,,39
7608,Election_Day,417,51,12.23,6,33,,1,11
7608,VBM,417,111,26.62,13,80,1,1,16
7609,Election_Day,917,82,8.94,13,53,,,16
