precinct,ballot_type,registered_voters,ballots_cast,turnout,DONALD_TRUMP,BEN_CARSON,TED_CRUZ,JOHN_KASICH,JIM_GILMORE,WRITE_IN,over_votes,under_votes
7203,VBM,90,30,33.33,13,,4,8,,2,,3
7204,Election_Day,101,17,16.83,6,,1,9,,,,1
7204,VBM,101,29,28.71,6,,4,11,,3,,5
7205,Election_Day,136,15,11.03,5,,2,7,,,,1
7205,VBM,136,53,38.97,22,,1,27,,1,,2
7206,Election_Day,37,5,13.51,3,,,2,,,,
7206,VBM,37,12,32.43,4,,,7,,,,1
7207,Election_Day,59,6,10.17,2,1,1,1,,,,1
7207,VBM,59,18,30.51,13,,,2,1,1,,1
7208,Election_Day,59,4,6.78,3,,1,,,,,
7208,VBM,59,26,44.07,16,,2,6,,1,,1
7209,Election_Day,103,7,6.8,3,,,3,,,,1
7209,VBM,103,64,62.14,24,2,5,21,,5,,7
7301,Election_Day,85,10,11.76,5,,,3,,2,,
7301,VBM,85,27,31.76,19,,2,5,,,,1
7302,Election_Day,88,9,10.23,7,,,1,,,,1
7302,VBM,88,50,56.82,21,,,15,,9,,5
7303,Election_Day,87,16,18.39,7,1,1,6,,,,1
7303,VBM,87,22,25.29,9,,1,4,,3,,5
7304,Election_Day,94,13,13.83,2,1,3,5,,2,,
7304,VBM,94,33,35.11,18,1,4,4,,3,,3
7305,Election_Day,124,18,14.52,11,2,,2,,1,,2
7305,VBM,124,57,45.97,28,1,3,16,,2,,7
7306,Election_Day,88,7,7.95,2,,2,1,,1,,1
7306,VBM,88,28,31.82,15,1,3,6,,1,,2
7307,Election_Day,69,9,13.04,3,,2,3,,,,1
7307,VBM,69,28,40.58,12,,7,4,,3,,2
7308,Election_Day,60,10,16.67,4,,,5,,1,,
7308,VBM,60,21,35,11,,1,5,,2,,2
7309,Election_Day,90,15,16.67,10,,,2,,1,,2
7309,VBM,90,34,37.78,19,2,3,5,1,2,,2
7311,Election_Day,107,11,10.28,3,2,,3,,2,,1
7311,VBM,107,24,22.43,17,,1,4,,1,,1
7312,Election_Day,129,19,14.73,9,,1,5,,4,,
7312,VBM,129,55,42.64,33,,1,17,1,2,,1
7313,Election_Day,93,7,7.53,3,,,1,,1,,2
7313,VBM,93,45,48.39,21,2,,13,1,4,,4
7314,Election_Day,31,6,19.35,2,,1,,,2,,1
7314,VBM,31,8,25.81,5,,,1,1,,,1
7315,Election_Day,55,11,20,4,1,1,1,1,1,,2
7315,VBM,55,14,25.45,12,,1,,,,,1
7316,Election_Day,56,9,16.07,2,,1,3,,1,,2
7316,VBM,56,19,33.93,13,,,3,1,,,2
7317,Election_Day,101,13,12.87,10,,,1,,1,,1
7317,VBM,101,46,45.54,17,2,2,18,,6,,1
7318,Election_Day,68,13,19.12,3,2,3,4,,1,,
7318,VBM,68,20,29.41,11,,,5,1,3,,
7319,Election_Day,114,11,9.65,6,2,,2,,,,1
7319,VBM,114,31,27.19,20,,2,4,,4,,1
7321,Election_Day,39,3,7.69,1,,,1,,1,,
7321,VBM,39,6,15.38,4,,,,,,,2
7322,Election_Day,33,4,12.12,2,,,,,,,2
7322,VBM,33,9,27.27,2,1,3,,,,,3
7323,Election_Day,77,16,20.78,9,,,3,,1,,3
7323,VBM,77,19,24.68,8,,,5,1,4,,1
7324,Election_Day,65,12,18.46,6,,1,1,,1,,3
7324,VBM,65,13,20,8,,,3,1,,,1
7325,Election_Day,85,13,15.29,3,,2,4,,2,,2
7325,VBM,85,22,25.88,8,1,2,4,2,5,,
7326,Election_Day,83,13,15.66,9,,,1,,2,,1
7326,VBM,83,25,30.12,10,,3,7,,2,,3
7327,Election_Day,41,2,4.88,2,,,,,,,
7327,VBM,41,18,43.9,14,,2,,,1,,1
7328,Election_Day,54,4,7.41,2,1,,,,,,1
7328,VBM,54,23,42.59,9,,1,2,,2,,9
7329,Election_Day,83,14,16.87,4,,1,8,,1,,
7329,VBM,83,27,32.53,20,,2,3,1,,,1
7331,Election_Day,148,30,20.27,17,2,1,6,,3,,1
7331,VBM,148,66,44.59,34,,4,15,1,7,,5
7332,Election_Day,64,10,15.63,2,,2,4,,2,,
7332,VBM,64,19,29.69,8,2,1,4,,,,4
7333,Election_Day,89,14,15.73,4,1,,4,,3,,2
7333,VBM,89,19,21.35,10,1,,3,,3,,2
7334,Election_Day,63,16,25.4,8,,,3,,5,,
7334,VBM,63,18,28.57,9,1,1,3,,2,,2
7335,Election_Day,127,13,10.24,4,,,7,,1,,1
7335,VBM,127,61,48.03,28,2,5,19,1,3,,3
7336,Election_Day,144,13,9.03,6,,,4,,,,3
7336,VBM,144,70,48.61,44,,2,16,,3,,5
7337,Election_Day,119,16,13.45,7,,,5,2,1,,1
7337,VBM,119,53,44.54,28,,1,19,,2,,3
7338,Election_Day,62,8,12.9,5,,,2,,,,1
7338,VBM,62,27,43.55,12,1,2,7,,2,,3
7339,Election_Day,40,14,35,9,3,,1,,,,1
7339,VBM,40,6,15,1,,,,,4,,1
7341,Election_Day,56,8,14.29,4,,2,1,,1,,
7341,VBM,56,16,28.57,9,,2,4,,1,,
7342,Election_Day,84,13,15.48,5,,1,3,,1,,3
7342,VBM,84,20,23.81,10,,2,7,,1,,
7343,Election_Day,39,10,25.64,5,,,,,1,,4
7343,VBM,39,9,23.08,4,,1,1,1,,,2
7344,Election_Day,91,15,16.48,7,3,1,,,,,4
