precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7307,Election_Day,717,167,23.29,105,29,,33
7307,VBM,717,231,32.22,151,51,,29
7308,Election_Day,588,171,29.08,109,42,,20
7308,VBM,588,209,35.54,138,49,,22
7309,Election_Day,775,198,25.55,134,38,,26
7309,VBM,775,222,28.65,157,39,,26
7311,Election_Day,875,214,24.46,164,33,,17
7311,VBM,875,268,30.63,203,31,1,33
7312,Election_Day,806,156,19.35,100,36,,20
7312,VBM,806,345,42.8,201,107,,37
7313,Election_Day,879,155,17.63,101,35,,19
7313,VBM,879,308,35.04,195,79,,34
7314,Election_Day,739,92,12.45,64,11,,17
7314,VBM,739,225,30.45,145,40,2,38
7315,Election_Day,695,165,23.74,116,22,,27
7315,VBM,695,193,27.77,139,33,1,20
7316,Election_Day,823,142,17.25,91,25,,26
7316,VBM,823,283,34.39,190,52,,41
7317,Election_Day,885,159,17.97,111,31,,17
7317,VBM,885,343,38.76,223,82,,38
7318,Election_Day,700,154,22,94,28,,32
7318,VBM,700,247,35.29,171,45,,31
7319,Election_Day,983,193,19.63,127,39,,27
7319,VBM,983,293,29.81,203,51,,39
7321,Election_Day,620,88,14.19,55,17,,16
7321,VBM,620,207,33.39,137,43,,27
7322,Election_Day,868,66,7.6,42,8,,16
7322,VBM,868,277,31.91,166,53,,58
7323,Election_Day,804,187,23.26,124,39,,24
7323,VBM,804,237,29.48,167,42,,28
7324,Election_Day,657,130,19.79,99,18,,13
7324,VBM,657,207,31.51,151,32,,24
7325,Election_Day,870,159,18.28,101,28,,30
7325,VBM,870,272,31.26,183,53,,36
7326,Election_Day,808,173,21.41,118,31,,24
7326,VBM,808,247,30.57,167,46,,34
7327,Election_Day,701,58,8.27,34,12,,12
7327,VBM,701,266,37.95,165,51,,50
7328,Election_Day,936,79,8.44,55,10,,14
7328,VBM,936,362,38.68,248,48,,66
7329,Election_Day,543,76,14,43,22,,11
7329,VBM,543,201,37.02,125,52,,24
7331,Election_Day,831,181,21.78,101,42,,38
7331,VBM,831,343,41.28,212,90,,41
7332,Election_Day,782,188,24.04,142,23,,23
7332,VBM,782,241,30.82,178,33,,30
7333,Election_Day,936,228,24.36,156,35,,37
7333,VBM,936,273,29.17,184,52,,37
7334,Election_Day,833,173,20.77,126,19,,28
7334,VBM,833,277,33.25,191,46,,40
7335,Election_Day,883,166,18.8,124,19,,23
7335,VBM,883,336,38.05,224,73,,39
7336,Election_Day,879,188,21.39,137,30,,21
7336,VBM,879,334,38,215,90,,29
7337,Election_Day,829,141,17.01,103,19,,19
7337,VBM,829,339,40.89,200,93,,46
7338,Election_Day,912,120,13.16,81,18,,21
7338,VBM,912,346,37.94,215,68,1,62
7339,Election_Day,585,142,24.27,90,29,,23
7339,VBM,585,169,28.89,122,30,,17
7341,Election_Day,868,192,22.12,143,25,,24
7341,VBM,868,239,27.53,168,47,,24
7342,Election_Day,908,269,29.63,203,47,,19
7342,VBM,908,252,27.75,171,58,,23
7343,Election_Day,647,176,27.2,137,15,,24
7343,VBM,647,176,27.2,143,19,,14
7344,Election_Day,1024,210,20.51,150,32,,28
7344,VBM,1024,356,34.77,252,68,,36
7345,Election_Day,1006,238,23.66,189,20,,29
7345,VBM,1006,314,31.21,222,54,,38
7346,Election_Day,869,217,24.97,170,18,,29
7346,VBM,869,234,26.93,179,32,,23
7347,Election_Day,954,200,20.96,151,25,,24
7347,VBM,954,311,32.6,241,35,,35
