precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7345,Election_Day,1006,238,23.66,165,47,1,25
7345,VBM,1006,314,31.21,216,66,,32
7346,Election_Day,869,217,24.97,163,31,,23
7346,VBM,869,234,26.93,172,40,,22
7347,Election_Day,954,200,20.96,148,36,,16
7347,VBM,954,311,32.6,233,52,,26
7348,Election_Day,808,143,17.7,102,37,,4
7348,VBM,808,229,28.34,160,45,,24
7349,Election_Day,893,186,20.83,128,35,,23
7349,VBM,893,297,33.26,196,75,,26
7501,Election_Day,523,142,27.15,70,48,,24
7501,VBM,523,161,30.78,80,62,,19
7502,Election_Day,735,159,21.63,103,42,,14
7502,VBM,735,259,35.24,155,83,,21
7503,Election_Day,706,156,22.1,99,38,,19
7503,VBM,706,213,30.17,135,54,,24
7504,Election_Day,454,98,21.59,61,24,,13
7504,VBM,454,141,31.06,78,42,,21
7505,Election_Day,853,148,17.35,84,42,,22
7505,VBM,853,426,49.94,252,121,1,52
7506,Election_Day,908,202,22.25,127,46,1,28
7506,VBM,908,263,28.96,170,65,,28
7507,Election_Day,927,152,16.4,108,24,,20
7507,VBM,927,263,28.37,194,49,,20
7508,Election_Day,683,122,17.86,81,20,,21
7508,VBM,683,304,44.51,191,86,,27
7509-7511,Election_Day,896,195,21.76,130,41,,24
7509-7511,VBM,896,323,36.05,215,79,,29
7512,Election_Day,579,100,17.27,64,22,,14
7512,VBM,579,217,37.48,142,55,,20
7513,Election_Day,735,172,23.4,127,19,,26
7513,VBM,735,183,24.9,133,26,1,23
7514,Election_Day,803,92,11.46,66,12,,14
7514,VBM,803,194,24.16,139,35,,20
7515,Election_Day,826,158,19.13,114,31,,13
7515,VBM,826,278,33.66,191,57,1,29
7516,Election_Day,805,160,19.88,94,47,,19
7516,VBM,805,361,44.84,236,97,,28
7517,Election_Day,877,260,29.65,189,48,,23
7517,VBM,877,283,32.27,208,50,,25
7518,Election_Day,905,292,32.27,207,59,,26
7518,VBM,905,291,32.15,194,72,1,24
7519,Election_Day,741,228,30.77,170,38,,20
7519,VBM,741,206,27.8,135,48,,23
7521,Election_Day,773,236,30.53,173,41,,22
7521,VBM,773,230,29.75,163,43,1,23
7522,Election_Day,801,240,29.96,167,48,,25
7522,VBM,801,266,33.21,185,44,,37
7523,Election_Day,743,256,34.45,190,45,,21
7523,VBM,743,205,27.59,148,35,,22
7524,Election_Day,638,173,27.12,107,44,,22
7524,VBM,638,183,28.68,126,40,,17
7525,Election_Day,800,168,21,112,27,,29
7525,VBM,800,224,28,149,53,,22
7526,Election_Day,890,212,23.82,152,34,,26
7526,VBM,890,340,38.2,230,81,,29
7527-7528,Election_Day,714,191,26.75,133,34,,24
7527-7528,VBM,714,216,30.25,147,49,1,19
7529,Election_Day,896,256,28.57,195,43,,18
7529,VBM,896,286,31.92,202,63,,21
7531,Election_Day,879,246,27.99,185,36,,25
7531,VBM,879,258,29.35,176,57,,25
7532,Election_Day,795,212,26.67,149,44,,19
7532,VBM,795,252,31.7,156,74,,22
7533,Election_Day,927,331,35.71,225,82,,24
7533,VBM,927,282,30.42,175,77,,30
7534,Election_Day,882,278,31.52,202,53,,23
7534,VBM,882,276,31.29,189,60,,27
7535,Election_Day,761,245,32.19,168,54,,23
7535,VBM,761,248,32.59,174,56,,18
7536,Election_Day,804,257,31.97,170,55,1,31
7536,VBM,804,284,35.32,195,61,,28
7537,Election_Day,737,218,29.58,152,42,,24
