PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),VICTOR HWANG,PAUL HENDERSON,Under Vote,Over Vote
Pct 7018,VBM,7018,1,992,477,48.08,257,152,68,0
Pct 7019,Election Day,7019,1,945,228,24.13,94,95,39,0
Pct 7019,VBM,7019,1,945,468,49.52,234,168,66,0
Pct 7021,Election Day,7021,1,993,266,26.79,112,100,52,2
Pct 7021,VBM,7021,1,993,365,36.76,182,138,44,1
Pct 7022,Election Day,7022,1,1032,271,26.26,119,109,43,0
Pct 7022,VBM,7022,1,1032,396,38.37,211,130,54,1
Pct 7023,Election Day,7023,1,938,255,27.19,101,95,57,2
Pct 7023,VBM,7023,1,938,416,44.35,192,153,67,4
Pct 7024,Election Day,7024,1,309,75,24.27,31,28,16,0
Pct 7024,VBM,7024,1,309,44,14.24,23,18,2,1
Pct 7025,Election Day,7025,1,505,129,25.54,61,45,23,0
Pct 7025,VBM,7025,1,505,137,27.13,84,38,14,1
Pct 7026,Election Day,7026,1,1022,202,19.77,98,60,44,0
Pct 7026,VBM,7026,1,1022,498,48.73,299,117,82,0
Pct 7027,Election Day,7027,1,879,244,27.76,90,100,54,0
Pct 7027,VBM,7027,1,879,333,37.88,165,108,60,0
Pct 7028,Election Day,7028,1,900,267,29.67,110,101,56,0
Pct 7028,VBM,7028,1,900,277,30.78,124,108,42,3
Pct 7029,Election Day,7029,1,924,252,27.27,103,88,60,1
Pct 7029,VBM,7029,1,924,273,29.55,128,93,49,3
Pct 7030,Election Day,7030,1,787,162,20.58,81,44,37,0
Pct 7030,VBM,7030,1,787,396,50.32,232,94,69,1
Pct 7031,Election Day,7031,1,511,97,18.98,46,31,20,0
Pct 7031,VBM,7031,1,511,295,57.73,143,101,50,1
Pct 7032,Election Day,7032,1,938,227,24.20,96,95,34,2
Pct 7032,VBM,7032,1,938,362,38.59,178,132,46,6
Pct 7033,Election Day,7033,1,814,247,30.34,95,93,58,1
Pct 7033,VBM,7033,1,814,299,36.73,146,107,45,1
Pct 7034,Election Day,7034,1,954,264,27.67,98,104,62,0
Pct 7034,VBM,7034,1,954,251,26.31,126,88,37,0
Pct 7035,Election Day,7035,1,476,141,29.62,53,66,22,0
Pct 7035,VBM,7035,1,476,200,42.02,84,79,37,0
Pct 7036,Election Day,7036,1,967,175,18.10,89,49,36,1
Pct 7036,VBM,7036,1,967,421,43.54,216,153,52,0
Pct 7037,Election Day,7037,1,840,221,26.31,81,84,55,1
Pct 7037,VBM,7037,1,840,158,18.81,84,50,23,1
Pct 7038,Election Day,7038,1,960,209,21.77,76,84,49,0
Pct 7038,VBM,7038,1,960,386,40.21,211,124,48,3
Pct 7039,Election Day,7039,1,831,246,29.60,120,84,42,0
Pct 7039,VBM,7039,1,831,379,45.61,213,111,55,0
Pct 7041 MB,Election Day,7041,1,62,6,9.68,2,1,3,0
Pct 7041 MB,VBM,7041,1,62,36,58.06,18,8,10,0
Pct 7042,Election Day,7042,1,697,145,20.80,76,48,21,0
Pct 7042,VBM,7042,1,697,369,52.94,199,112,58,0
Pct 7043,Election Day,7043,1,990,208,21.01,96,73,39,0
Pct 7043,VBM,7043,1,990,432,43.64,218,145,67,2
Pct 7044,Election Day,7044,1,867,234,26.99,84,105,44,1
Pct 7044,VBM,7044,1,867,181,20.88,86,61,34,0
Pct 7045,Election Day,7045,1,803,205,25.53,110,54,41,0
Pct 7045,VBM,7045,1,803,326,40.60,185,86,55,0
Pct 7046,Election Day,7046,1,435,110,25.29,53,35,22,0
Pct 7046,VBM,7046,1,435,209,48.05,109,70,30,0
Pct 7047,Election Day,7047,1,858,178,20.75,89,55,34,0
Pct 7047,VBM,7047,1,858,424,49.42,217,137,70,0
Pct 7048,Election Day,7048,1,877,196,22.35,87,78,31,0
Pct 7048,VBM,7048,1,877,322,36.72,169,108,44,1
Pct 7049,Election Day,7049,1,829,219,26.42,107,64,48,0
Pct 7049,VBM,7049,1,829,315,38.00,171,90,53,1
Pct 7051,Election Day,7051,1,909,160,17.60,80,44,36,0
Pct 7051,VBM,7051,1,909,452,49.72,288,106,57,1
Pct 7052,Election Day,7052,1,894,214,23.94,99,70,44,1
Pct 7052,VBM,7052,1,894,461,51.57,270,120,70,1
Pct 7053,Election Day,7053,1,552,105,19.02,51,37,17,0
Pct 7053,VBM,7053,1,552,357,64.67,165,133,59,0
Pct 7054,Election Day,7054,1,1068,318,29.78,163,113,41,1
Pct 7054,VBM,7054,1,1068,365,34.18,194,111,59,1
Pct 7101 MB,Election Day,7101,1,150,3,2.00,1,0,2,0
Pct 7101 MB,VBM,7101,1,150,123,82.00,62,37,24,0
Pct 7201,Election Day,7201,1,983,268,27.26,120,94,54,0
Pct 7201,VBM,7201,1,983,600,61.04,244,207,148,1
Pct 7202,Election Day,7202,1,885,278,31.41,117,91,69,1
Pct 7202,VBM,7202,1,885,474,53.56,186,181,104,3
Pct 7203,Election Day,7203,1,950,341,35.89,113,131,97,0
Pct 7203,VBM,7203,1,950,499,52.53,224,161,114,0
Pct 7204,Election Day,7204,1,933,276,29.58,103,107,66,0
Pct 7204,VBM,7204,1,933,557,59.70,262,182,112,1
Pct 7205,Election Day,7205,1,903,292,32.34,120,98,73,1
Pct 7205,VBM,7205,1,903,523,57.92,210,209,104,0
Pct 7206,Election Day,7206,1,390,137,35.13,60,45,32,0
Pct 7206,VBM,7206,1,390,203,52.05,86,81,35,1
Pct 7207,Election Day,7207,1,712,184,25.84,72,58,54,0
Pct 7207,VBM,7207,1,712,411,57.72,183,124,102,2
Pct 7208,Election Day,7208,1,635,155,24.41,76,46,33,0
Pct 7208,VBM,7208,1,635,384,60.47,174,120,90,0
Pct 7209,Election Day,7209,1,563,84,14.92,39,23,21,1
Pct 7209,VBM,7209,1,563,407,72.29,185,131,90,1
Pct 7301,Election Day,7301,1,1080,258,23.89,128,67,63,0
Pct 7301,VBM,7301,1,1080,555,51.39,283,159,113,0
Pct 7302,Election Day,7302,1,862,224,25.99,116,49,59,0
Pct 7302,VBM,7302,1,862,508,58.93,261,166,80,1
Pct 7303,Election Day,7303,1,1032,313,30.33,158,78,77,0
Pct 7303,VBM,7303,1,1032,538,52.13,293,128,117,0
Pct 7304,Election Day,7304,1,993,327,32.93,171,77,79,0
Pct 7304,VBM,7304,1,993,501,50.45,254,155,92,0
Pct 7305,Election Day,7305,1,906,272,30.02,121,81,70,0
Pct 7305,VBM,7305,1,906,500,55.19,240,148,112,0
Pct 7306,Election Day,7306,1,1076,351,32.62,181,89,80,1
Pct 7306,VBM,7306,1,1076,531,49.35,255,160,116,0
