PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),PHIL TING,CARLOS ''CHUCK'' TAYLOR,Under Vote,Over Vote
Pct 9147,VBM,9147,1,983,516,52.49,374,58,84,0
Pct 9148,Election Day,9148,1,1007,340,33.76,244,31,65,0
Pct 9148,VBM,9148,1,1007,529,52.53,396,59,74,0
Pct 9149,Election Day,9149,1,976,320,32.79,220,37,63,0
Pct 9149,VBM,9149,1,976,522,53.48,381,67,74,0
Pct 9151,Election Day,9151,1,858,288,33.57,185,42,61,0
Pct 9151,VBM,9151,1,858,416,48.48,302,51,63,0
Pct 9152,Election Day,9152,1,842,291,34.56,190,38,63,0
Pct 9152,VBM,9152,1,842,345,40.97,240,47,58,0
Pct 9201,Election Day,9201,1,1047,404,38.59,275,66,63,0
Pct 9201,VBM,9201,1,1047,489,46.70,371,64,54,0
Pct 9202,Election Day,9202,1,962,342,35.55,205,65,72,0
Pct 9202,VBM,9202,1,962,464,48.23,323,84,57,0
Pct 9203,Election Day,9203,1,1006,308,30.62,143,90,75,0
Pct 9203,VBM,9203,1,1006,549,54.57,297,153,99,0
Pct 9204,Election Day,9204,1,849,325,38.28,170,90,65,0
Pct 9204,VBM,9204,1,849,408,48.06,245,110,53,0
Pct 9205,Election Day,9205,1,760,249,32.76,124,66,59,0
Pct 9205,VBM,9205,1,760,403,53.03,249,80,74,0
Pct 9206,Election Day,9206,1,960,287,29.90,147,74,66,0
Pct 9206,VBM,9206,1,960,535,55.73,310,151,74,0
Pct 9207,Election Day,9207,1,980,335,34.18,153,99,82,1
Pct 9207,VBM,9207,1,980,510,52.04,285,123,102,0
Pct 9208,Election Day,9208,1,1028,356,34.63,203,84,69,0
Pct 9208,VBM,9208,1,1028,541,52.63,298,137,106,0
Pct 9209,Election Day,9209,1,750,283,37.73,155,69,59,0
Pct 9209,VBM,9209,1,750,363,48.40,187,96,80,0
Pct 9211,Election Day,9211,1,910,326,35.82,190,62,74,0
Pct 9211,VBM,9211,1,910,452,49.67,230,129,93,0
Pct 9212,Election Day,9212,1,857,298,34.77,158,72,67,1
Pct 9212,VBM,9212,1,857,448,52.28,271,96,80,1
Pct 9213,Election Day,9213,1,987,349,35.36,189,84,76,0
Pct 9213,VBM,9213,1,987,504,51.06,314,100,90,0
Pct 9214,Election Day,9214,1,632,195,30.85,97,57,41,0
Pct 9214,VBM,9214,1,632,344,54.43,215,77,52,0
Pct 9215,Election Day,9215,1,645,216,33.49,109,68,39,0
Pct 9215,VBM,9215,1,645,350,54.26,208,81,61,0
Pct 9216,Election Day,9216,1,861,301,34.96,158,83,60,0
Pct 9216,VBM,9216,1,861,425,49.36,237,100,88,0
Pct 9217,Election Day,9217,1,761,268,35.22,140,71,57,0
Pct 9217,VBM,9217,1,761,394,51.77,222,86,86,0
Pct 9218,Election Day,9218,1,868,288,33.18,165,56,67,0
Pct 9218,VBM,9218,1,868,442,50.92,247,101,94,0
Pct 9219,Election Day,9219,1,829,295,35.59,169,57,69,0
Pct 9219,VBM,9219,1,829,424,51.15,274,67,83,0
Pct 9221,Election Day,9221,1,662,171,25.83,98,40,33,0
Pct 9221,VBM,9221,1,662,466,70.39,253,126,87,0
Pct 9222,Election Day,9222,1,889,281,31.61,157,57,67,0
Pct 9222,VBM,9222,1,889,530,59.62,317,121,92,0
Pct 9223,Election Day,9223,1,664,184,27.71,96,49,39,0
Pct 9223,VBM,9223,1,664,389,58.58,240,84,64,1
Pct 9224,Election Day,9224,1,993,300,30.21,156,76,68,0
Pct 9224,VBM,9224,1,993,563,56.70,363,120,79,1
Pct 9225,Election Day,9225,1,994,346,34.81,182,80,84,0
Pct 9225,VBM,9225,1,994,580,58.35,360,109,111,0
Pct 9226,Election Day,9226,1,960,292,30.42,169,59,64,0
Pct 9226,VBM,9226,1,960,541,56.35,317,121,103,0
Pct 9227,Election Day,9227,1,759,237,31.23,147,49,41,0
Pct 9227,VBM,9227,1,759,428,56.39,291,89,48,0
Pct 9228,Election Day,9228,1,725,233,32.14,138,50,45,0
Pct 9228,VBM,9228,1,725,418,57.66,264,101,53,0
Pct 9229,Election Day,9229,1,615,195,31.71,138,36,21,0
Pct 9229,VBM,9229,1,615,360,58.54,253,52,55,0
Pct 9231,Election Day,9231,1,1006,372,36.98,268,48,56,0
Pct 9231,VBM,9231,1,1006,497,49.40,363,45,89,0
Pct 9232,Election Day,9232,1,746,276,37.00,183,43,50,0
Pct 9232,VBM,9232,1,746,419,56.17,273,69,77,0
Pct 9233,Election Day,9233,1,816,268,32.84,159,48,61,0
Pct 9233,VBM,9233,1,816,468,57.35,293,98,76,1
Pct 9234,Election Day,9234,1,759,216,28.46,123,45,48,0
Pct 9234,VBM,9234,1,759,448,59.03,287,97,64,0
Pct 9235,Election Day,9235,1,907,303,33.41,173,79,51,0
Pct 9235,VBM,9235,1,907,515,56.78,301,119,94,1
Pct 9236,Election Day,9236,1,682,237,34.75,143,45,49,0
Pct 9236,VBM,9236,1,682,363,53.23,255,55,53,0
Pct 9237,Election Day,9237,1,941,279,29.65,167,57,55,0
Pct 9237,VBM,9237,1,941,545,57.92,346,106,93,0
Pct 9238,Election Day,9238,1,846,271,32.03,161,55,55,0
Pct 9238,VBM,9238,1,846,538,63.59,322,135,81,0
Pct 9239,Election Day,9239,1,885,250,28.25,143,51,56,0
Pct 9239,VBM,9239,1,885,588,66.44,370,128,90,0
Pct 9241,Election Day,9241,1,1027,286,27.85,173,60,53,0
Pct 9241,VBM,9241,1,1027,608,59.20,389,113,106,0
Pct 9242,Election Day,9242,1,1023,317,30.99,189,65,63,0
Pct 9242,VBM,9242,1,1023,568,55.52,375,97,95,1
Pct 9243,Election Day,9243,1,611,228,37.32,138,42,48,0
Pct 9243,VBM,9243,1,611,327,53.52,234,50,43,0
Pct 9244,Election Day,9244,1,940,279,29.68,172,48,59,0
Pct 9244,VBM,9244,1,940,545,57.98,365,73,107,0
Pct 9245,Election Day,9245,1,725,229,31.59,150,49,30,0
Pct 9245,VBM,9245,1,725,398,54.90,283,46,69,0
Pct 9246,Election Day,9246,1,964,293,30.39,184,52,57,0
Pct 9246,VBM,9246,1,964,549,56.95,364,82,103,0
Pct 9247,Election Day,9247,1,1004,315,31.37,193,55,67,0
Pct 9247,VBM,9247,1,1004,570,56.77,385,83,102,0
Pct 9248,Election Day,9248,1,955,296,30.99,194,41,61,0
Pct 9248,VBM,9248,1,955,550,57.59,357,85,108,0
Pct 9249,Election Day,9249,1,926,322,34.77,219,49,54,0
Pct 9249,VBM,9249,1,926,485,52.38,336,72,77,0
Pct 9251,Election Day,9251,1,982,324,32.99,209,50,64,1
Pct 9251,VBM,9251,1,982,547,55.70,383,79,85,0
Pct 9252,Election Day,9252,1,943,284,30.12,183,49,52,0
Pct 9252,VBM,9252,1,943,553,58.64,379,102,71,1
Pct 9253,Election Day,9253,1,808,253,31.31,147,38,68,0
Pct 9253,VBM,9253,1,808,456,56.44,311,84,61,0
Pct 9254,Election Day,9254,1,951,300,31.55,197,38,65,0
Pct 9254,VBM,9254,1,951,571,60.04,401,70,100,0
Pct 9255,Election Day,9255,1,577,213,36.92,133,29,51,0
Pct 9255,VBM,9255,1,577,305,52.86,195,39,71,0
Pct 9256,Election Day,9256,1,403,133,33.00,90,15,28,0
Pct 9256,VBM,9256,1,403,209,51.86,147,26,36,0
Pct 9257 MB,Election Day,9257,1,339,9,2.65,3,1,5,0
Pct 9257 MB,VBM,9257,1,339,278,82.01,203,28,47,0
Pct 9258,Election Day,9258,1,715,216,30.21,161,26,29,0
Pct 9258,VBM,9258,1,715,429,60.00,313,58,58,0
Pct 9401,Election Day,9401,1,1014,355,35.01,232,47,74,2
Pct 9401,VBM,9401,1,1014,460,45.36,348,59,53,0
Pct 9402,Election Day,9402,1,1028,323,31.42,224,39,60,0
Pct 9402,VBM,9402,1,1028,493,47.96,370,53,70,0
Pct 9403,Election Day,9403,1,933,273,29.26,178,38,57,0
Pct 9403,VBM,9403,1,933,466,49.95,353,61,52,0
Pct 9404,Election Day,9404,1,921,286,31.05,202,37,47,0
Pct 9404,VBM,9404,1,921,458,49.73,349,54,55,0
Pct 9405,Election Day,9405,1,818,258,31.54,163,57,38,0
Pct 9405,VBM,9405,1,818,441,53.91,310,75,56,0
Pct 9406,Election Day,9406,1,916,291,31.77,186,48,56,1
Pct 9406,VBM,9406,1,916,500,54.59,358,64,78,0
Pct 9407,Election Day,9407,1,941,309,32.84,209,44,56,0
Pct 9407,VBM,9407,1,941,419,44.53,300,53,66,0
Pct 9408,Election Day,9408,1,879,297,33.79,212,34,51,0
Pct 9408,VBM,9408,1,879,407,46.30,299,41,67,0
Pct 9409,Election Day,9409,1,626,236,37.70,169,24,43,0
Pct 9409,VBM,9409,1,626,288,46.01,196,35,57,0
Pct 9411,Election Day,9411,1,1051,345,32.83,233,47,65,0
Pct 9411,VBM,9411,1,1051,495,47.10,377,59,58,1
Pct 9412,Election Day,9412,1,885,291,32.88,194,40,57,0
Pct 9412,VBM,9412,1,885,412,46.55,284,54,74,0
Pct 9413,Election Day,9413,1,907,265,29.22,174,37,54,0
Pct 9413,VBM,9413,1,907,477,52.59,337,69,71,0
Pct 9414,Election Day,9414,1,894,272,30.43,182,27,63,0
Pct 9414,VBM,9414,1,894,468,52.35,345,56,67,0
Pct 9415,Election Day,9415,1,798,216,27.07,129,32,55,0
Pct 9415,VBM,9415,1,798,421,52.76,302,67,52,0
Pct 9416,Election Day,9416,1,1018,305,29.96,195,52,57,1
Pct 9416,VBM,9416,1,1018,501,49.21,377,61,63,0
Pct 9417,Election Day,9417,1,759,192,25.30,116,35,41,0
Pct 9417,VBM,9417,1,759,412,54.28,285,67,58,2
Pct 9418,Election Day,9418,1,814,235,28.87,152,34,49,0
Pct 9418,VBM,9418,1,814,407,50.00,286,63,58,0
Pct 9419,Election Day,9419,1,902,245,27.16,148,54,43,0
Pct 9419,VBM,9419,1,902,463,51.33,308,91,64,0
Pct 9421,Election Day,9421,1,929,243,26.16,154,38,51,0
Pct 9421,VBM,9421,1,929,489,52.64,357,55,77,0
Pct 9422,Election Day,9422,1,1082,348,32.16,218,60,70,0
Pct 9422,VBM,9422,1,1082,539,49.82,372,100,66,1
Pct 9423,Election Day,9423,1,909,269,29.59,162,43,64,0
Pct 9423,VBM,9423,1,909,449,49.39,340,54,55,0
Pct 9424,Election Day,9424,1,951,246,25.87,152,46,47,1
Pct 9424,VBM,9424,1,951,510,53.63,402,50,58,0
Pct 9425,Election Day,9425,1,964,258,26.76,170,33,55,0
Pct 9425,VBM,9425,1,964,490,50.83,370,65,55,0
Pct 9426,Election Day,9426,1,835,241,28.86,158,29,54,0
Pct 9426,VBM,9426,1,835,422,50.54,290,75,57,0
Pct 9427,Election Day,9427,1,963,250,25.96,166,30,54,0
Pct 9427,VBM,9427,1,963,483,50.16,341,86,56,0
Pct 9428,Election Day,9428,1,963,232,24.09,136,48,48,0
Pct 9428,VBM,9428,1,963,522,54.21,368,89,64,1
Pct 9429,Election Day,9429,1,909,284,31.24,179,49,56,0
Pct 9429,VBM,9429,1,909,423,46.53,296,73,54,0
Pct 9431,Election Day,9431,1,1024,265,25.88,160,48,57,0
Pct 9431,VBM,9431,1,1024,556,54.30,393,93,70,0
Pct 9432,Election Day,9432,1,913,277,30.34,180,41,56,0
Pct 9432,VBM,9432,1,913,441,48.30,328,58,55,0
Pct 9433,Election Day,9433,1,973,256,26.31,149,51,55,1
Pct 9433,VBM,9433,1,973,503,51.70,362,78,63,0
Pct 9434,Election Day,9434,1,997,302,30.29,180,62,60,0
Pct 9434,VBM,9434,1,997,501,50.25,376,67,58,0
Pct 9435,Election Day,9435,1,969,276,28.48,151,59,66,0
Pct 9435,VBM,9435,1,969,489,50.46,354,81,54,0
Pct 9436,Election Day,9436,1,994,263,26.46,150,45,68,0
Pct 9436,VBM,9436,1,994,520,52.31,353,85,82,0
Pct 9437,Election Day,9437,1,954,281,29.45,180,44,57,0
Pct 9437,VBM,9437,1,954,432,45.28,302,69,61,0
Pct 9438,Election Day,9438,1,1000,242,24.20,154,40,48,0
Pct 9438,VBM,9438,1,1000,549,54.90,388,93,68,0
Pct 9439,Election Day,9439,1,903,222,24.58,148,33,41,0
Pct 9439,VBM,9439,1,903,468,51.83,331,67,70,0
Pct 9441,Election Day,9441,1,1004,283,28.19,212,30,41,0
Pct 9441,VBM,9441,1,1004,517,51.49,376,75,66,0
Pct 9442,Election Day,9442,1,1027,334,32.52,209,57,67,1
Pct 9442,VBM,9442,1,1027,475,46.25,320,85,70,0
Pct 9443,Election Day,9443,1,937,286,30.52,173,47,65,1
Pct 9443,VBM,9443,1,937,462,49.31,337,70,55,0
Pct 9444,Election Day,9444,1,955,253,26.49,156,38,59,0
Pct 9444,VBM,9444,1,955,467,48.90,305,95,66,1
Pct 9445,Election Day,9445,1,993,270,27.19,180,52,38,0
Pct 9445,VBM,9445,1,993,481,48.44,337,79,65,0
Pct 9446,Election Day,9446,1,1084,305,28.14,201,46,58,0
