PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),DEAN PRESTON,LONDON BREED,WRITE-IN,Under Vote,Over Vote
Pct 9512,VBM,9512,1,848,430,50.71,193,197,3,26,0
Pct 9513,Election Day,9513,1,952,319,33.51,144,144,1,22,0
Pct 9513,VBM,9513,1,952,447,46.95,183,224,3,27,0
Pct 9514/9522,Election Day,9514,1,959,342,35.66,159,128,0,49,0
Pct 9514/9522,VBM,9514,1,959,490,51.09,204,222,4,45,0
Pct 9515,Election Day,9515,1,748,278,37.17,107,120,0,46,0
Pct 9515,VBM,9515,1,748,368,49.20,148,178,2,26,0
Pct 9516,Election Day,9516,1,922,311,33.73,144,122,1,37,0
Pct 9516,VBM,9516,1,922,452,49.02,164,221,4,48,0
Pct 9517,Election Day,9517,1,854,279,32.67,134,102,1,41,0
Pct 9517,VBM,9517,1,854,434,50.82,184,182,4,48,0
Pct 9518,Election Day,9518,1,826,275,33.29,128,109,1,31,0
Pct 9518,VBM,9518,1,826,432,52.30,172,199,3,40,3
Pct 9519,Election Day,9519,1,922,307,33.30,131,131,4,40,0
Pct 9519,VBM,9519,1,922,483,52.39,171,235,3,56,1
Pct 9521,Election Day,9521,1,947,354,37.38,169,137,3,43,0
Pct 9521,VBM,9521,1,947,473,49.95,167,227,4,53,1
