PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 9418,VBM,9418,1,814,407,50.00,110,219,73,0
Pct 9419,Election Day,9419,1,902,245,27.16,88,102,55,0
Pct 9419,VBM,9419,1,902,463,51.33,136,240,83,0
Pct 9421,Election Day,9421,1,929,243,26.16,93,102,49,0
Pct 9421,VBM,9421,1,929,489,52.64,152,242,90,2
Pct 9422,Election Day,9422,1,1082,348,32.16,116,152,80,0
Pct 9422,VBM,9422,1,1082,539,49.82,175,276,82,0
Pct 9423,Election Day,9423,1,909,269,29.59,98,107,63,0
Pct 9423,VBM,9423,1,909,449,49.39,169,199,78,1
Pct 9424,Election Day,9424,1,951,246,25.87,108,99,39,0
Pct 9424,VBM,9424,1,951,510,53.63,178,239,84,1
Pct 9425,Election Day,9425,1,964,258,26.76,86,107,65,0
Pct 9425,VBM,9425,1,964,490,50.83,157,236,93,0
Pct 9426,Election Day,9426,1,835,241,28.86,87,110,44,0
Pct 9426,VBM,9426,1,835,422,50.54,138,212,67,0
Pct 9427,Election Day,9427,1,963,250,25.96,80,110,60,0
Pct 9427,VBM,9427,1,963,483,50.16,163,248,67,0
Pct 9428,Election Day,9428,1,963,232,24.09,84,102,47,0
Pct 9428,VBM,9428,1,963,522,54.21,175,259,84,0
Pct 9429,Election Day,9429,1,909,284,31.24,101,124,59,0
Pct 9429,VBM,9429,1,909,423,46.53,143,214,60,1
Pct 9431,Election Day,9431,1,1024,265,25.88,84,131,49,0
Pct 9431,VBM,9431,1,1024,556,54.30,185,281,80,0
Pct 9432,Election Day,9432,1,913,277,30.34,104,115,57,0
Pct 9432,VBM,9432,1,913,441,48.30,122,218,96,0
Pct 9433,Election Day,9433,1,973,256,26.31,93,103,59,1
Pct 9433,VBM,9433,1,973,503,51.70,162,260,77,1
Pct 9434,Election Day,9434,1,997,302,30.29,112,133,54,0
Pct 9434,VBM,9434,1,997,501,50.25,197,247,52,0
Pct 9435,Election Day,9435,1,969,276,28.48,103,116,58,0
Pct 9435,VBM,9435,1,969,489,50.46,172,230,74,0
Pct 9436,Election Day,9436,1,994,263,26.46,87,117,59,0
Pct 9436,VBM,9436,1,994,520,52.31,189,226,95,0
Pct 9437,Election Day,9437,1,954,281,29.45,94,139,48,0
Pct 9437,VBM,9437,1,954,432,45.28,152,194,78,1
Pct 9438,Election Day,9438,1,1000,242,24.20,84,111,47,0
Pct 9438,VBM,9438,1,1000,549,54.90,186,256,103,0
Pct 9439,Election Day,9439,1,903,222,24.58,72,98,52,0
Pct 9439,VBM,9439,1,903,468,51.83,145,240,81,0
Pct 9441,Election Day,9441,1,1004,283,28.19,113,123,45,1
Pct 9441,VBM,9441,1,1004,517,51.49,208,244,61,0
Pct 9442,Election Day,9442,1,1027,334,32.52,122,150,62,0
Pct 9442,VBM,9442,1,1027,475,46.25,157,232,79,0
Pct 9443,Election Day,9443,1,937,286,30.52,112,114,60,0
Pct 9443,VBM,9443,1,937,462,49.31,153,229,73,1
Pct 9444,Election Day,9444,1,955,253,26.49,91,105,55,1
Pct 9444,VBM,9444,1,955,467,48.90,165,214,81,0
Pct 9445,Election Day,9445,1,993,270,27.19,110,120,41,0
Pct 9445,VBM,9445,1,993,481,48.44,189,213,71,0
Pct 9446,Election Day,9446,1,1084,305,28.14,117,134,56,0
Pct 9446,VBM,9446,1,1084,607,56.00,201,309,90,1
Pct 9447,Election Day,9447,1,954,268,28.09,108,113,47,0
Pct 9447,VBM,9447,1,954,493,51.68,167,249,72,0
Pct 9448,Election Day,9448,1,950,269,28.32,116,102,51,0
Pct 9448,VBM,9448,1,950,459,48.32,158,216,80,0
Pct 9449,Election Day,9449,1,820,178,21.71,60,84,33,0
Pct 9449,VBM,9449,1,820,461,56.22,141,233,83,0
Pct 9451,Election Day,9451,1,438,123,28.08,40,59,24,0
Pct 9451,VBM,9451,1,438,247,56.39,79,139,25,0
Pct 9452,Election Day,9452,1,829,289,34.86,111,132,46,0
Pct 9452,VBM,9452,1,829,412,49.70,137,199,72,0
Pct 9453,Election Day,9453,1,502,147,29.28,45,79,22,0
Pct 9453,VBM,9453,1,502,268,53.39,76,137,52,0
Pct 9501 MB,Election Day,9501,1,153,6,3.92,0,2,4,0
Pct 9501 MB,VBM,9501,1,153,125,81.70,41,62,20,0
Pct 9502 MB,Election Day,9502,1,233,5,2.15,2,1,2,0
Pct 9502 MB,VBM,9502,1,233,204,87.55,81,84,37,0
Pct 9503/9504,Election Day,9503,1,822,277,33.70,119,90,62,0
Pct 9503/9504,VBM,9503,1,822,397,48.30,150,163,74,1
Pct 9505,Election Day,9505,1,804,226,28.11,105,74,46,1
Pct 9505,VBM,9505,1,804,391,48.63,158,182,47,0
Pct 9506,Election Day,9506,1,810,266,32.84,139,87,40,0
Pct 9506,VBM,9506,1,810,336,41.48,147,130,57,0
Pct 9507,Election Day,9507,1,783,248,31.67,122,94,32,0
Pct 9507,VBM,9507,1,783,390,49.81,160,166,60,0
Pct 9508,Election Day,9508,1,862,304,35.27,167,89,48,0
Pct 9508,VBM,9508,1,862,416,48.26,191,152,71,0
Pct 9509,Election Day,9509,1,758,237,31.27,107,82,46,0
Pct 9509,VBM,9509,1,758,424,55.94,153,193,74,0
Pct 9511,Election Day,9511,1,630,236,37.46,134,73,29,0
Pct 9511,VBM,9511,1,630,293,46.51,121,115,52,1
Pct 9512,Election Day,9512,1,848,279,32.90,134,103,41,0
Pct 9512,VBM,9512,1,848,430,50.71,207,162,55,2
Pct 9513,Election Day,9513,1,952,319,33.51,158,113,47,0
Pct 9513,VBM,9513,1,952,447,46.95,208,175,61,1
Pct 9514/9522,Election Day,9514,1,959,342,35.66,145,139,58,0
Pct 9514/9522,VBM,9514,1,959,490,51.09,165,235,87,1
Pct 9515,Election Day,9515,1,748,278,37.17,102,113,63,0
Pct 9515,VBM,9515,1,748,368,49.20,150,162,51,0
Pct 9516,Election Day,9516,1,922,311,33.73,136,125,50,0
Pct 9516,VBM,9516,1,922,452,49.02,181,186,78,0
Pct 9517,Election Day,9517,1,854,279,32.67,141,79,58,1
Pct 9517,VBM,9517,1,854,434,50.82,176,169,83,0
Pct 9518,Election Day,9518,1,826,275,33.29,130,105,38,0
Pct 9518,VBM,9518,1,826,432,52.30,190,162,71,0
Pct 9519,Election Day,9519,1,922,307,33.30,118,136,53,0
Pct 9519,VBM,9519,1,922,483,52.39,204,201,72,0
Pct 9521,Election Day,9521,1,947,354,37.38,161,133,61,0
Pct 9521,VBM,9521,1,947,473,49.95,190,190,79,0
Pct 9701,Election Day,9701,1,664,212,31.93,80,94,37,0
Pct 9701,VBM,9701,1,664,359,54.07,129,158,67,0
Pct 9702,Election Day,9702,1,760,257,33.82,121,89,47,0
Pct 9702,VBM,9702,1,760,383,50.39,134,189,54,0
Pct 9703,Election Day,9703,1,989,276,27.91,104,128,44,0
Pct 9703,VBM,9703,1,989,542,54.80,199,259,77,0
Pct 9704,Election Day,9704,1,971,302,31.10,115,137,49,1
Pct 9704,VBM,9704,1,971,534,54.99,178,251,101,0
Pct 9705,Election Day,9705,1,954,325,34.07,113,159,53,0
Pct 9705,VBM,9705,1,954,511,53.56,170,240,93,0
Pct 9706 MB,Election Day,9706,1,54,3,5.56,1,0,2,0
Pct 9706 MB,VBM,9706,1,54,51,94.44,22,20,8,0
Pct 9707,Election Day,9707,1,805,185,22.98,46,106,32,1
Pct 9707,VBM,9707,1,805,494,61.37,151,273,70,0
Pct 9708,Election Day,9708,1,956,299,31.28,117,132,50,0
Pct 9708,VBM,9708,1,956,530,55.44,197,226,96,0
Pct 9709,Election Day,9709,1,1029,290,28.18,101,142,47,0
Pct 9709,VBM,9709,1,1029,558,54.23,150,312,90,0
Pct 9711,Election Day,9711,1,643,212,32.97,60,122,29,0
Pct 9711,VBM,9711,1,643,360,55.99,111,195,48,0
Pct 9712,Election Day,9712,1,656,199,30.34,64,114,21,0
Pct 9712,VBM,9712,1,656,394,60.06,94,230,63,0
Pct 9713,Election Day,9713,1,974,268,27.52,78,135,55,1
Pct 9713,VBM,9713,1,974,514,52.77,155,288,65,0
Pct 9714,Election Day,9714,1,941,268,28.48,73,149,46,0
Pct 9714,VBM,9714,1,941,557,59.19,131,340,81,0
Pct 9715,Election Day,9715,1,580,212,36.55,42,139,31,0
Pct 9715,VBM,9715,1,580,309,53.28,62,194,47,0
Pct 9716,Election Day,9716,1,975,288,29.54,108,126,54,0
Pct 9716,VBM,9716,1,975,503,51.59,168,266,67,0
Pct 9717,Election Day,9717,1,993,338,34.04,93,179,66,0
Pct 9717,VBM,9717,1,993,499,50.25,166,264,66,0
Pct 9718,Election Day,9718,1,859,267,31.08,90,150,26,1
Pct 9718,VBM,9718,1,859,488,56.81,142,274,68,0
Pct 9719,Election Day,9719,1,880,263,29.89,71,154,36,1
Pct 9719,VBM,9719,1,880,492,55.91,112,321,57,0
Pct 9721,Election Day,9721,1,657,222,33.79,69,133,19,0
Pct 9721,VBM,9721,1,657,353,53.73,77,231,44,0
Pct 9722,Election Day,9722,1,634,162,25.55,41,95,26,0
Pct 9722,VBM,9722,1,634,381,60.09,115,207,51,0
Pct 9723,Election Day,9723,1,478,111,23.22,29,63,21,0
Pct 9723,VBM,9723,1,478,285,59.62,75,160,47,0
Pct 9724,Election Day,9724,1,978,255,26.07,83,139,32,0
Pct 9724,VBM,9724,1,978,569,58.18,143,336,81,1
Pct 9725,Election Day,9725,1,985,251,25.48,64,128,59,0
Pct 9725,VBM,9725,1,985,532,54.01,136,313,89,0
Pct 9726,Election Day,9726,1,782,303,38.75,140,89,73,0
Pct 9726,VBM,9726,1,782,303,38.75,120,116,60,0
Pct 9727,Election Day,9727,1,454,111,24.45,31,67,12,0
