PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 9225,VBM,9225,1,994,580,58.35,204,253,99,1
Pct 9226,Election Day,9226,1,960,292,30.42,103,137,51,1
Pct 9226,VBM,9226,1,960,541,56.35,188,262,81,0
Pct 9227,Election Day,9227,1,759,237,31.23,65,139,31,0
Pct 9227,VBM,9227,1,759,428,56.39,162,217,40,0
Pct 9228,Election Day,9228,1,725,233,32.14,84,117,32,0
Pct 9228,VBM,9228,1,725,418,57.66,156,220,39,0
Pct 9229,Election Day,9229,1,615,195,31.71,66,99,28,0
Pct 9229,VBM,9229,1,615,360,58.54,114,195,46,0
Pct 9231,Election Day,9231,1,1006,372,36.98,89,244,40,0
Pct 9231,VBM,9231,1,1006,497,49.40,148,276,64,0
Pct 9232,Election Day,9232,1,746,276,37.00,83,146,47,0
Pct 9232,VBM,9232,1,746,419,56.17,133,242,33,0
Pct 9233,Election Day,9233,1,816,268,32.84,66,152,47,0
Pct 9233,VBM,9233,1,816,468,57.35,170,243,51,0
Pct 9234,Election Day,9234,1,759,216,28.46,72,108,35,0
Pct 9234,VBM,9234,1,759,448,59.03,167,212,52,1
Pct 9235,Election Day,9235,1,907,303,33.41,113,163,28,0
Pct 9235,VBM,9235,1,907,515,56.78,184,244,72,1
Pct 9236,Election Day,9236,1,682,237,34.75,79,121,34,1
Pct 9236,VBM,9236,1,682,363,53.23,105,205,42,0
Pct 9237,Election Day,9237,1,941,279,29.65,113,112,54,0
Pct 9237,VBM,9237,1,941,545,57.92,185,282,64,0
Pct 9238,Election Day,9238,1,846,271,32.03,89,136,44,0
Pct 9238,VBM,9238,1,846,538,63.59,178,279,67,0
Pct 9239,Election Day,9239,1,885,250,28.25,74,129,46,0
Pct 9239,VBM,9239,1,885,588,66.44,183,297,94,0
Pct 9241,Election Day,9241,1,1027,286,27.85,83,152,49,0
Pct 9241,VBM,9241,1,1027,608,59.20,193,317,86,0
Pct 9242,Election Day,9242,1,1023,317,30.99,99,153,64,0
Pct 9242,VBM,9242,1,1023,568,55.52,180,316,64,0
Pct 9243,Election Day,9243,1,611,228,37.32,72,119,37,0
Pct 9243,VBM,9243,1,611,327,53.52,105,178,36,0
Pct 9244,Election Day,9244,1,940,279,29.68,66,158,55,0
Pct 9244,VBM,9244,1,940,545,57.98,173,277,86,0
Pct 9245,Election Day,9245,1,725,229,31.59,72,120,37,0
Pct 9245,VBM,9245,1,725,398,54.90,119,219,50,0
Pct 9246,Election Day,9246,1,964,293,30.39,101,146,47,0
Pct 9246,VBM,9246,1,964,549,56.95,176,282,78,0
Pct 9247,Election Day,9247,1,1004,315,31.37,113,150,50,0
Pct 9247,VBM,9247,1,1004,570,56.77,170,311,80,0
Pct 9248,Election Day,9248,1,955,296,30.99,85,165,46,0
Pct 9248,VBM,9248,1,955,550,57.59,164,302,74,0
Pct 9249,Election Day,9249,1,926,322,34.77,98,176,49,0
Pct 9249,VBM,9249,1,926,485,52.38,159,255,55,0
Pct 9251,Election Day,9251,1,982,324,32.99,103,175,45,0
Pct 9251,VBM,9251,1,982,547,55.70,185,278,77,0
Pct 9252,Election Day,9252,1,943,284,30.12,82,165,36,0
Pct 9252,VBM,9252,1,943,553,58.64,178,307,56,0
Pct 9253,Election Day,9253,1,808,253,31.31,78,130,46,0
Pct 9253,VBM,9253,1,808,456,56.44,158,231,54,0
Pct 9254,Election Day,9254,1,951,300,31.55,76,169,54,0
Pct 9254,VBM,9254,1,951,571,60.04,183,308,69,0
Pct 9255,Election Day,9255,1,577,213,36.92,67,123,21,0
Pct 9255,VBM,9255,1,577,305,52.86,85,165,50,0
Pct 9256,Election Day,9256,1,403,133,33.00,38,80,14,0
Pct 9256,VBM,9256,1,403,209,51.86,67,120,18,0
Pct 9257 MB,Election Day,9257,1,339,9,2.65,3,4,2,0
Pct 9257 MB,VBM,9257,1,339,278,82.01,69,166,35,0
Pct 9258,Election Day,9258,1,715,216,30.21,71,118,28,0
Pct 9258,VBM,9258,1,715,429,60.00,123,246,53,1
Pct 9401,Election Day,9401,1,1014,355,35.01,82,208,64,0
Pct 9401,VBM,9401,1,1014,460,45.36,123,278,53,1
Pct 9402,Election Day,9402,1,1028,323,31.42,92,186,45,0
Pct 9402,VBM,9402,1,1028,493,47.96,164,260,60,0
Pct 9403,Election Day,9403,1,933,273,29.26,70,167,34,0
Pct 9403,VBM,9403,1,933,466,49.95,147,268,45,0
Pct 9404,Election Day,9404,1,921,286,31.05,72,177,37,0
Pct 9404,VBM,9404,1,921,458,49.73,171,234,49,0
Pct 9405,Election Day,9405,1,818,258,31.54,75,150,34,0
Pct 9405,VBM,9405,1,818,441,53.91,151,220,58,0
Pct 9406,Election Day,9406,1,916,291,31.77,86,170,35,0
Pct 9406,VBM,9406,1,916,500,54.59,158,283,53,0
Pct 9407,Election Day,9407,1,941,309,32.84,90,171,48,0
Pct 9407,VBM,9407,1,941,419,44.53,133,215,61,1
Pct 9408,Election Day,9408,1,879,297,33.79,80,171,46,0
Pct 9408,VBM,9408,1,879,407,46.30,106,245,51,0
