PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 7017,VBM,7017,1,786,269,34.22,206,38,24,0
Pct 7018,Election Day,7018,1,992,195,19.66,149,24,23,0
Pct 7018,VBM,7018,1,992,477,48.08,300,131,42,0
Pct 7019,Election Day,7019,1,945,228,24.13,178,20,30,0
Pct 7019,VBM,7019,1,945,468,49.52,317,108,40,1
Pct 7021,Election Day,7021,1,993,266,26.79,208,24,35,0
Pct 7021,VBM,7021,1,993,365,36.76,277,51,31,0
Pct 7022,Election Day,7022,1,1032,271,26.26,216,14,32,0
Pct 7022,VBM,7022,1,1032,396,38.37,310,58,27,0
Pct 7023,Election Day,7023,1,938,255,27.19,198,22,30,0
Pct 7023,VBM,7023,1,938,416,44.35,316,58,37,0
Pct 7024,Election Day,7024,1,309,75,24.27,63,4,7,0
Pct 7024,VBM,7024,1,309,44,14.24,37,5,2,0
Pct 7025,Election Day,7025,1,505,129,25.54,103,5,21,0
Pct 7025,VBM,7025,1,505,137,27.13,117,6,13,0
Pct 7026,Election Day,7026,1,1022,202,19.77,134,34,34,0
Pct 7026,VBM,7026,1,1022,498,48.73,286,152,49,0
Pct 7027,Election Day,7027,1,879,244,27.76,178,32,31,0
Pct 7027,VBM,7027,1,879,333,37.88,229,77,26,0
Pct 7028,Election Day,7028,1,900,267,29.67,211,23,33,0
Pct 7028,VBM,7028,1,900,277,30.78,218,30,29,0
Pct 7029,Election Day,7029,1,924,252,27.27,198,13,40,0
Pct 7029,VBM,7029,1,924,273,29.55,216,31,24,0
Pct 7030,Election Day,7030,1,787,162,20.58,100,44,18,0
Pct 7030,VBM,7030,1,787,396,50.32,201,153,40,0
Pct 7031,Election Day,7031,1,511,97,18.98,66,10,21,0
Pct 7031,VBM,7031,1,511,295,57.73,195,71,23,0
Pct 7032,Election Day,7032,1,938,227,24.20,169,26,29,0
Pct 7032,VBM,7032,1,938,362,38.59,250,58,48,2
Pct 7033,Election Day,7033,1,814,247,30.34,170,30,47,0
Pct 7033,VBM,7033,1,814,299,36.73,234,39,27,0
Pct 7034,Election Day,7034,1,954,264,27.67,208,11,43,0
Pct 7034,VBM,7034,1,954,251,26.31,220,12,21,0
Pct 7035,Election Day,7035,1,476,141,29.62,101,15,25,0
Pct 7035,VBM,7035,1,476,200,42.02,142,32,25,0
Pct 7036,Election Day,7036,1,967,175,18.10,128,18,28,1
Pct 7036,VBM,7036,1,967,421,43.54,297,85,39,0
Pct 7037,Election Day,7037,1,840,221,26.31,172,8,43,0
Pct 7037,VBM,7037,1,840,158,18.81,124,14,16,1
Pct 7038,Election Day,7038,1,960,209,21.77,151,32,27,0
Pct 7038,VBM,7038,1,960,386,40.21,253,95,39,0
Pct 7039,Election Day,7039,1,831,246,29.60,158,60,28,0
Pct 7039,VBM,7039,1,831,379,45.61,241,93,44,0
Pct 7041 MB,Election Day,7041,1,62,6,9.68,5,0,2,0
Pct 7041 MB,VBM,7041,1,62,36,58.06,20,12,4,0
Pct 7042,Election Day,7042,1,697,145,20.80,109,19,17,0
Pct 7042,VBM,7042,1,697,369,52.94,246,76,45,0
Pct 7043,Election Day,7043,1,990,208,21.01,163,23,22,0
Pct 7043,VBM,7043,1,990,432,43.64,318,70,39,0
Pct 7044,Election Day,7044,1,867,234,26.99,195,15,24,0
Pct 7044,VBM,7044,1,867,181,20.88,119,35,27,0
Pct 7045,Election Day,7045,1,803,205,25.53,139,36,26,0
Pct 7045,VBM,7045,1,803,326,40.60,198,96,29,0
Pct 7046,Election Day,7046,1,435,110,25.29,71,23,15,0
Pct 7046,VBM,7046,1,435,209,48.05,137,56,15,0
Pct 7047,Election Day,7047,1,858,178,20.75,131,23,23,0
Pct 7047,VBM,7047,1,858,424,49.42,257,119,42,0
Pct 7048,Election Day,7048,1,877,196,22.35,147,29,21,0
Pct 7048,VBM,7048,1,877,322,36.72,216,72,29,0
Pct 7049,Election Day,7049,1,829,219,26.42,141,36,43,0
Pct 7049,VBM,7049,1,829,315,38.00,180,97,34,0
Pct 7051,Election Day,7051,1,909,160,17.60,108,23,30,0
Pct 7051,VBM,7051,1,909,452,49.72,285,122,39,0
Pct 7052,Election Day,7052,1,894,214,23.94,147,41,26,0
Pct 7052,VBM,7052,1,894,461,51.57,260,149,50,0
Pct 7053,Election Day,7053,1,552,105,19.02,69,18,15,0
Pct 7053,VBM,7053,1,552,357,64.67,209,94,45,0
