PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),SHANELL WILLIAMS,ALEX RANDOLPH,TOM TEMPRANO,RAFAEL MANDELMAN,AMY BACHARACH,WRITE-IN,Under Vote,Over Vote
Pct 7048,Election Day,7048,1,877,196,22.35,114,68,51,56,66,0,429,0
Pct 7048,VBM,7048,1,877,322,36.72,187,163,106,125,126,1,580,0
Pct 7049,Election Day,7049,1,829,219,26.42,97,74,75,62,82,1,485,0
Pct 7049,VBM,7049,1,829,315,38.00,155,141,99,143,130,2,586,4
Pct 7051,Election Day,7051,1,909,160,17.60,73,55,52,51,53,0,352,4
Pct 7051,VBM,7051,1,909,452,49.72,238,216,159,184,172,2,833,4
Pct 7052,Election Day,7052,1,894,214,23.94,98,73,71,81,69,0,464,0
Pct 7052,VBM,7052,1,894,461,51.57,223,203,152,195,170,1,900,0
Pct 7053,Election Day,7053,1,552,105,19.02,43,38,35,26,41,1,236,0
Pct 7053,VBM,7053,1,552,357,64.67,154,156,103,138,148,0,729,0
Pct 7054,Election Day,7054,1,1068,318,29.78,190,93,100,99,85,0,705,0
Pct 7054,VBM,7054,1,1068,365,34.18,204,146,117,152,119,0,722,0
Pct 7101 MB,Election Day,7101,1,150,3,2.00,0,0,0,0,0,0,12,0
Pct 7101 MB,VBM,7101,1,150,123,82.00,64,58,41,64,38,0,227,0
Pct 7201,Election Day,7201,1,983,268,27.26,96,95,76,98,92,3,612,0
Pct 7201,VBM,7201,1,983,600,61.04,232,227,172,217,200,0,1352,0
Pct 7202,Election Day,7202,1,885,278,31.41,105,106,79,109,90,2,617,4
Pct 7202,VBM,7202,1,885,474,53.56,185,191,135,182,176,0,1027,0
Pct 7203,Election Day,7203,1,950,341,35.89,106,106,95,97,89,2,869,0
Pct 7203,VBM,7203,1,950,499,52.53,203,181,164,181,142,0,1125,0
Pct 7204,Election Day,7204,1,933,276,29.58,105,100,81,112,86,0,620,0
Pct 7204,VBM,7204,1,933,557,59.70,222,243,173,242,207,3,1138,0
Pct 7205,Election Day,7205,1,903,292,32.34,110,104,91,110,94,1,658,0
Pct 7205,VBM,7205,1,903,523,57.92,220,239,165,222,199,7,1040,0
Pct 7206,Election Day,7206,1,390,137,35.13,61,53,41,58,43,0,292,0
Pct 7206,VBM,7206,1,390,203,52.05,72,78,63,85,76,0,438,0
Pct 7207,Election Day,7207,1,712,184,25.84,61,57,50,63,50,3,452,0
Pct 7207,VBM,7207,1,712,411,57.72,153,159,121,154,149,0,908,0
Pct 7208,Election Day,7208,1,635,155,24.41,55,61,54,64,54,2,326,4
Pct 7208,VBM,7208,1,635,384,60.47,146,151,123,154,126,2,834,0
Pct 7209,Election Day,7209,1,563,84,14.92,29,31,22,37,25,0,192,0
Pct 7209,VBM,7209,1,563,407,72.29,164,189,109,196,167,0,803,0
Pct 7301,Election Day,7301,1,1080,258,23.89,99,86,92,93,80,1,581,0
Pct 7301,VBM,7301,1,1080,555,51.39,238,198,146,223,192,1,1222,0
Pct 7302,Election Day,7302,1,862,224,25.99,88,68,62,84,64,0,530,0
Pct 7302,VBM,7302,1,862,508,58.93,230,219,153,223,188,0,1019,0
Pct 7303,Election Day,7303,1,1032,313,30.33,117,90,89,103,92,4,757,0
Pct 7303,VBM,7303,1,1032,538,52.13,223,213,168,217,191,2,1138,0
Pct 7304,Election Day,7304,1,993,327,32.93,120,101,109,124,85,2,767,0
Pct 7304,VBM,7304,1,993,501,50.45,213,196,161,212,156,5,1061,0
Pct 7305,Election Day,7305,1,906,272,30.02,107,72,90,99,76,1,643,0
Pct 7305,VBM,7305,1,906,500,55.19,188,187,151,187,154,2,1131,0
Pct 7306,Election Day,7306,1,1076,351,32.62,139,87,119,102,90,0,863,4
Pct 7306,VBM,7306,1,1076,531,49.35,208,188,160,198,153,0,1217,0
Pct 7307,Election Day,7307,1,826,267,32.32,105,88,86,101,82,1,605,0
Pct 7307,VBM,7307,1,826,407,49.27,158,143,138,151,140,3,887,8
Pct 7308,Election Day,7308,1,641,209,32.61,91,67,77,96,62,1,442,0
Pct 7308,VBM,7308,1,641,339,52.89,139,131,113,158,118,0,697,0
Pct 7309,Election Day,7309,1,897,295,32.89,112,98,76,99,98,1,696,0
Pct 7309,VBM,7309,1,897,469,52.29,183,177,140,167,151,0,1058,0
Pct 7311,Election Day,7311,1,986,333,33.77,111,93,96,101,81,0,850,0
Pct 7311,VBM,7311,1,986,520,52.74,206,202,163,201,174,3,1131,0
Pct 7312,Election Day,7312,1,874,229,26.20,75,71,67,95,84,0,524,0
Pct 7312,VBM,7312,1,874,539,61.67,188,193,138,230,189,0,1218,0
Pct 7313,Election Day,7313,1,1001,261,26.07,100,78,93,106,75,4,588,0
Pct 7313,VBM,7313,1,1001,537,53.65,231,213,153,219,193,2,1137,0
Pct 7314,Election Day,7314,1,833,164,19.69,60,42,49,51,50,0,404,0
Pct 7314,VBM,7314,1,833,347,41.66,139,97,97,148,102,1,804,0
Pct 7315,Election Day,7315,1,783,226,28.86,98,67,73,85,63,0,518,0
Pct 7315,VBM,7315,1,783,371,47.38,176,144,132,151,111,2,768,0
Pct 7316,Election Day,7316,1,893,220,24.64,88,58,75,82,57,0,520,0
Pct 7316,VBM,7316,1,893,441,49.38,166,145,149,164,143,2,995,0
Pct 7317,Election Day,7317,1,938,225,23.99,89,65,81,100,70,1,494,0
Pct 7317,VBM,7317,1,938,518,55.22,225,205,198,237,175,3,1021,8
Pct 7318,Election Day,7318,1,788,252,31.98,77,62,66,72,71,0,660,0
Pct 7318,VBM,7318,1,788,437,55.46,196,178,119,190,151,0,914,0
Pct 7319,Election Day,7319,1,1123,330,29.39,113,82,98,105,85,9,828,0
Pct 7319,VBM,7319,1,1123,578,51.47,204,189,151,215,171,4,1374,4
Pct 7321,Election Day,7321,1,683,179,26.21,62,52,50,57,50,1,444,0
Pct 7321,VBM,7321,1,683,314,45.97,148,126,97,139,107,1,638,0
Pct 7322,Election Day,7322,1,937,122,13.02,38,25,25,26,23,0,351,0
Pct 7322,VBM,7322,1,937,404,43.12,188,136,120,175,125,4,868,0
Pct 7323,Election Day,7323,1,888,277,31.19,89,55,83,91,69,0,721,0
Pct 7323,VBM,7323,1,888,450,50.68,183,158,139,177,147,0,996,0
Pct 7324,Election Day,7324,1,756,216,28.57,79,71,59,78,54,0,523,0
Pct 7324,VBM,7324,1,756,385,50.93,152,154,106,146,124,3,855,0
Pct 7325,Election Day,7325,1,973,282,28.98,99,75,82,106,76,1,689,0
Pct 7325,VBM,7325,1,973,510,52.42,194,164,140,182,156,4,1200,0
Pct 7326,Election Day,7326,1,922,266,28.85,107,81,87,109,82,0,598,0
Pct 7326,VBM,7326,1,922,483,52.39,204,172,131,203,176,1,1045,0
Pct 7327,Election Day,7327,1,762,95,12.47,39,30,28,42,27,0,214,0
Pct 7327,VBM,7327,1,762,339,44.49,142,117,90,144,99,2,762,0
Pct 7328,Election Day,7328,1,1024,115,11.23,37,32,32,37,39,1,282,0
Pct 7328,VBM,7328,1,1024,502,49.02,222,189,135,214,154,9,1081,4
Pct 7329,Election Day,7329,1,607,120,19.77,34,35,29,42,33,0,307,0
Pct 7329,VBM,7329,1,607,334,55.02,139,130,123,141,120,0,683,0
Pct 7331,Election Day,7331,1,933,260,27.87,92,89,67,87,84,1,620,0
Pct 7331,VBM,7331,1,933,533,57.13,203,236,153,226,213,1,1100,0
Pct 7332,Election Day,7332,1,889,274,30.82,91,63,97,94,63,1,687,0
Pct 7332,VBM,7332,1,889,444,49.94,211,158,158,199,141,10,899,0
Pct 7333,Election Day,7333,1,1101,324,29.43,118,89,82,110,101,5,791,0
Pct 7333,VBM,7333,1,1101,564,51.23,238,212,165,231,177,0,1233,0
Pct 7334,Election Day,7334,1,963,248,25.75,94,76,81,95,67,4,575,0
Pct 7334,VBM,7334,1,963,526,54.62,222,194,155,197,152,1,1183,0
Pct 7335,Election Day,7335,1,1002,306,30.54,124,96,92,116,79,1,716,0
Pct 7335,VBM,7335,1,1002,588,58.68,230,236,182,234,200,1,1269,0
Pct 7336,Election Day,7336,1,1017,275,27.04,101,68,70,90,74,0,697,0
Pct 7336,VBM,7336,1,1017,608,59.78,268,244,199,257,216,3,1241,4
Pct 7337,Election Day,7337,1,944,223,23.62,88,68,80,86,65,1,500,4
Pct 7337,VBM,7337,1,944,532,56.36,212,202,152,236,198,1,1127,0
Pct 7338,Election Day,7338,1,1005,195,19.40,76,55,62,74,56,1,456,0
Pct 7338,VBM,7338,1,1005,500,49.75,210,183,139,226,172,0,1070,0
Pct 7339,Election Day,7339,1,660,179,27.12,79,63,74,75,54,2,369,0
Pct 7339,VBM,7339,1,660,316,47.88,148,127,107,143,109,1,625,4
Pct 7341,Election Day,7341,1,974,289,29.67,107,73,92,98,71,0,715,0
Pct 7341,VBM,7341,1,974,476,48.87,197,162,173,199,158,4,1011,0
Pct 7342,Election Day,7342,1,1034,380,36.75,164,117,126,149,120,1,843,0
Pct 7342,VBM,7342,1,1034,411,39.75,194,158,154,187,145,3,803,0
Pct 7343,Election Day,7343,1,746,267,35.79,116,70,100,99,68,3,612,0
Pct 7343,VBM,7343,1,746,351,47.05,159,136,125,168,109,1,706,0
Pct 7344,Election Day,7344,1,1143,352,30.80,137,104,126,120,94,1,826,0
Pct 7344,VBM,7344,1,1143,564,49.34,262,227,207,236,195,2,1119,8
Pct 7345,Election Day,7345,1,1186,365,30.78,149,108,127,130,102,0,844,0
Pct 7345,VBM,7345,1,1186,526,44.35,239,202,204,216,180,3,1056,4
Pct 7346,Election Day,7346,1,991,328,33.10,142,92,136,142,82,1,717,0
Pct 7346,VBM,7346,1,991,434,43.79,208,156,158,186,135,2,891,0
Pct 7347,Election Day,7347,1,1085,335,30.88,137,85,115,119,100,3,781,0
Pct 7347,VBM,7347,1,1085,506,46.64,258,194,184,232,176,0,980,0
Pct 7348,Election Day,7348,1,957,231,24.14,91,63,79,74,67,0,550,0
Pct 7348,VBM,7348,1,957,416,43.47,182,175,137,177,141,0,852,0
Pct 7349,Election Day,7349,1,1006,277,27.53,131,84,101,109,83,2,598,0
Pct 7349,VBM,7349,1,1006,494,49.11,239,224,155,225,186,2,945,0
Pct 7501,Election Day,7501,1,574,201,35.02,74,61,57,63,68,0,481,0
Pct 7501,VBM,7501,1,574,321,55.92,125,127,109,124,117,1,681,0
Pct 7502,Election Day,7502,1,808,240,29.70,93,69,65,75,74,0,584,0
