PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),JANE KIM,SCOTT WIENER,Under Vote,Over Vote
Pct 7302,VBM,7302,1,862,508,58.93,185,275,48,0
Pct 7303,Election Day,7303,1,1032,313,30.33,136,137,39,1
Pct 7303,VBM,7303,1,1032,538,52.13,210,262,66,0
Pct 7304,Election Day,7304,1,993,327,32.93,140,147,39,1
Pct 7304,VBM,7304,1,993,501,50.45,191,261,48,1
Pct 7305,Election Day,7305,1,906,272,30.02,123,120,29,0
Pct 7305,VBM,7305,1,906,500,55.19,194,249,57,0
Pct 7306,Election Day,7306,1,1076,351,32.62,161,157,33,0
Pct 7306,VBM,7306,1,1076,531,49.35,187,276,68,0
Pct 7307,Election Day,7307,1,826,267,32.32,129,110,28,0
Pct 7307,VBM,7307,1,826,407,49.27,170,174,63,0
Pct 7308,Election Day,7308,1,641,209,32.61,99,87,23,0
Pct 7308,VBM,7308,1,641,339,52.89,132,166,41,0
Pct 7309,Election Day,7309,1,897,295,32.89,133,129,33,0
Pct 7309,VBM,7309,1,897,469,52.29,159,241,69,0
Pct 7311,Election Day,7311,1,986,333,33.77,140,154,39,0
Pct 7311,VBM,7311,1,986,520,52.74,198,248,74,0
Pct 7312,Election Day,7312,1,874,229,26.20,68,135,26,0
Pct 7312,VBM,7312,1,874,539,61.67,161,304,74,0
Pct 7313,Election Day,7313,1,1001,261,26.07,139,97,24,1
Pct 7313,VBM,7313,1,1001,537,53.65,210,259,68,0
Pct 7314,Election Day,7314,1,833,164,19.69,83,63,18,0
Pct 7314,VBM,7314,1,833,347,41.66,156,142,49,0
Pct 7315,Election Day,7315,1,783,226,28.86,130,56,40,0
Pct 7315,VBM,7315,1,783,371,47.38,168,149,53,1
Pct 7316,Election Day,7316,1,893,220,24.64,119,77,24,0
Pct 7316,VBM,7316,1,893,441,49.38,210,192,39,0
Pct 7317,Election Day,7317,1,938,225,23.99,117,83,25,0
Pct 7317,VBM,7317,1,938,518,55.22,219,239,60,0
Pct 7318,Election Day,7318,1,788,252,31.98,99,110,43,0
Pct 7318,VBM,7318,1,788,437,55.46,181,201,53,2
Pct 7319,Election Day,7319,1,1123,330,29.39,142,148,40,0
Pct 7319,VBM,7319,1,1123,578,51.47,226,289,63,0
Pct 7321,Election Day,7321,1,683,179,26.21,91,64,23,1
Pct 7321,VBM,7321,1,683,314,45.97,150,131,33,0
Pct 7322,Election Day,7322,1,937,122,13.02,62,41,19,0
Pct 7322,VBM,7322,1,937,404,43.12,216,157,31,0
Pct 7323,Election Day,7323,1,888,277,31.19,130,116,31,0
Pct 7323,VBM,7323,1,888,450,50.68,203,186,60,1
Pct 7324,Election Day,7324,1,756,216,28.57,102,81,33,0
Pct 7324,VBM,7324,1,756,385,50.93,145,179,60,1
Pct 7325,Election Day,7325,1,973,282,28.98,133,121,28,0
Pct 7325,VBM,7325,1,973,510,52.42,219,226,65,0
Pct 7326,Election Day,7326,1,922,266,28.85,114,123,29,0
Pct 7326,VBM,7326,1,922,483,52.39,206,228,48,1
Pct 7327,Election Day,7327,1,762,95,12.47,48,37,10,0
Pct 7327,VBM,7327,1,762,339,44.49,159,147,33,0
Pct 7328,Election Day,7328,1,1024,115,11.23,64,37,14,0
Pct 7328,VBM,7328,1,1024,502,49.02,216,242,42,2
Pct 7329,Election Day,7329,1,607,120,19.77,49,58,13,0
Pct 7329,VBM,7329,1,607,334,55.02,122,170,42,0
Pct 7331,Election Day,7331,1,933,260,27.87,101,122,37,0
Pct 7331,VBM,7331,1,933,533,57.13,190,267,76,0
Pct 7332,Election Day,7332,1,889,274,30.82,158,85,31,0
Pct 7332,VBM,7332,1,889,444,49.94,217,174,53,0
Pct 7333,Election Day,7333,1,1101,324,29.43,161,128,35,0
Pct 7333,VBM,7333,1,1101,564,51.23,254,245,65,0
Pct 7334,Election Day,7334,1,963,248,25.75,121,103,24,0
Pct 7334,VBM,7334,1,963,526,54.62,242,223,61,0
Pct 7335,Election Day,7335,1,1002,306,30.54,143,128,35,0
Pct 7335,VBM,7335,1,1002,588,58.68,220,299,69,0
Pct 7336,Election Day,7336,1,1017,275,27.04,119,117,38,1
Pct 7336,VBM,7336,1,1017,608,59.78,242,289,76,1
Pct 7337,Election Day,7337,1,944,223,23.62,120,77,26,0
Pct 7337,VBM,7337,1,944,532,56.36,213,249,69,1
Pct 7338,Election Day,7338,1,1005,195,19.40,96,73,25,1
Pct 7338,VBM,7338,1,1005,500,49.75,192,253,54,1
Pct 7339,Election Day,7339,1,660,179,27.12,110,51,18,0
Pct 7339,VBM,7339,1,660,316,47.88,134,151,29,2
Pct 7341,Election Day,7341,1,974,289,29.67,141,107,41,0
Pct 7341,VBM,7341,1,974,476,48.87,219,208,48,1
Pct 7342,Election Day,7342,1,1034,380,36.75,200,149,31,0
Pct 7342,VBM,7342,1,1034,411,39.75,213,154,44,0
Pct 7343,Election Day,7343,1,746,267,35.79,151,82,32,2
Pct 7343,VBM,7343,1,746,351,47.05,165,152,34,0
Pct 7344,Election Day,7344,1,1143,352,30.80,172,142,38,0
Pct 7344,VBM,7344,1,1143,564,49.34,246,255,63,0
Pct 7345,Election Day,7345,1,1186,365,30.78,207,119,39,0
Pct 7345,VBM,7345,1,1186,526,44.35,273,190,63,0
Pct 7346,Election Day,7346,1,991,328,33.10,202,104,22,0
Pct 7346,VBM,7346,1,991,434,43.79,227,169,38,0
Pct 7347,Election Day,7347,1,1085,335,30.88,191,116,28,0
Pct 7347,VBM,7347,1,1085,506,46.64,275,191,39,1
