PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),IAN KALIN,PHIL KIM,JILL WYNNS,MARK SANCHEZ,RACHEL NORTON,MATT HANEY,STEVON COOK,ROB GELLER,TREVOR MCNEIL,WRITE-IN,Under Vote,Over Vote
Pct 7034,VBM,7034,1,954,251,26.31,19,37,35,124,80,97,116,18,62,0,416,0
Pct 7035,Election Day,7035,1,476,141,29.62,12,24,28,48,35,51,48,4,30,1,283,0
Pct 7035,VBM,7035,1,476,200,42.02,19,29,50,70,67,80,79,6,53,1,346,0
Pct 7036,Election Day,7036,1,967,175,18.10,18,44,33,88,40,57,52,13,38,0,313,4
Pct 7036,VBM,7036,1,967,421,43.54,72,146,119,207,145,171,142,40,130,0,500,12
Pct 7037,Election Day,7037,1,840,221,26.31,16,34,25,88,54,57,63,7,40,0,500,0
Pct 7037,VBM,7037,1,840,158,18.81,19,40,30,70,40,45,50,10,27,0,301,0
Pct 7038,Election Day,7038,1,960,209,21.77,18,38,33,86,44,57,73,7,39,0,433,8
Pct 7038,VBM,7038,1,960,386,40.21,51,75,120,151,134,133,119,23,86,4,628,20
Pct 7039,Election Day,7039,1,831,246,29.60,26,45,38,123,61,83,84,22,51,1,450,0
Pct 7039,VBM,7039,1,831,379,45.61,56,97,98,155,131,153,146,34,80,17,545,4
Pct 7041 MB,Election Day,7041,1,62,6,9.68,0,1,0,0,1,2,0,0,1,0,19,0
Pct 7041 MB,VBM,7041,1,62,36,58.06,3,11,5,11,12,16,12,2,6,0,66,0
Pct 7042,Election Day,7042,1,697,145,20.80,11,32,21,63,28,55,59,10,45,1,251,4
Pct 7042,VBM,7042,1,697,369,52.94,39,86,93,156,114,155,133,15,108,0,573,4
Pct 7043,Election Day,7043,1,990,208,21.01,19,31,23,88,43,62,72,15,49,0,430,0
Pct 7043,VBM,7043,1,990,432,43.64,50,84,93,195,161,176,168,23,100,0,666,12
Pct 7044,Election Day,7044,1,867,234,26.99,14,42,14,92,53,70,86,6,43,0,508,8
Pct 7044,VBM,7044,1,867,181,20.88,28,43,34,66,46,58,72,6,42,0,329,0
Pct 7045,Election Day,7045,1,803,205,25.53,19,44,33,89,46,55,62,22,40,0,406,4
Pct 7045,VBM,7045,1,803,326,40.60,40,63,97,144,103,132,108,21,69,0,519,8
Pct 7046,Election Day,7046,1,435,110,25.29,10,18,17,52,23,40,33,4,20,0,219,4
Pct 7046,VBM,7046,1,435,209,48.05,22,44,60,98,79,75,74,12,53,1,318,0
Pct 7047,Election Day,7047,1,858,178,20.75,15,47,30,78,49,54,59,7,28,0,345,0
Pct 7047,VBM,7047,1,858,424,49.42,57,90,123,173,152,169,139,33,104,3,641,12
Pct 7048,Election Day,7048,1,877,196,22.35,15,40,43,82,50,65,69,13,43,1,363,0
Pct 7048,VBM,7048,1,877,322,36.72,44,90,87,144,105,121,106,20,77,1,473,20
Pct 7049,Election Day,7049,1,829,219,26.42,27,51,47,78,59,55,47,21,48,1,438,4
Pct 7049,VBM,7049,1,829,315,38.00,60,102,94,133,96,113,74,24,84,0,472,8
Pct 7051,Election Day,7051,1,909,160,17.60,15,40,22,73,34,46,52,13,28,0,313,4
Pct 7051,VBM,7051,1,909,452,49.72,76,125,142,169,151,155,121,27,124,1,705,12
Pct 7052,Election Day,7052,1,894,214,23.94,27,44,49,86,57,70,72,11,43,0,397,0
Pct 7052,VBM,7052,1,894,461,51.57,74,104,125,183,122,164,164,31,130,1,746,0
Pct 7053,Election Day,7053,1,552,105,19.02,23,33,14,35,25,28,25,9,24,0,204,0
Pct 7053,VBM,7053,1,552,357,64.67,57,93,105,115,113,118,100,24,87,0,604,12
Pct 7054,Election Day,7054,1,1068,318,29.78,28,50,43,149,71,105,138,19,59,0,606,4
Pct 7054,VBM,7054,1,1068,365,34.18,19,59,73,154,110,142,162,19,93,2,623,4
Pct 7101 MB,Election Day,7101,1,150,3,2.00,0,0,0,0,0,0,0,0,0,0,12,0
Pct 7101 MB,VBM,7101,1,150,123,82.00,13,19,28,44,36,65,48,5,21,0,209,4
Pct 7201,Election Day,7201,1,983,268,27.26,35,32,66,75,83,115,87,17,44,1,517,0
Pct 7201,VBM,7201,1,983,600,61.04,81,74,150,151,193,227,186,39,155,0,1144,0
Pct 7202,Election Day,7202,1,885,278,31.41,35,42,66,81,97,103,94,19,67,0,504,4
Pct 7202,VBM,7202,1,885,474,53.56,69,58,125,131,160,181,141,29,107,0,895,0
Pct 7203,Election Day,7203,1,950,341,35.89,29,45,68,96,92,123,93,14,54,1,749,0
Pct 7203,VBM,7203,1,950,499,52.53,59,53,115,132,146,187,156,23,126,0,995,4
Pct 7204,Election Day,7204,1,933,276,29.58,31,32,76,75,93,107,77,16,60,0,537,0
Pct 7204,VBM,7204,1,933,557,59.70,71,67,163,150,183,236,193,41,129,3,992,0
Pct 7205,Election Day,7205,1,903,292,32.34,35,33,77,77,88,117,92,17,61,2,569,0
Pct 7205,VBM,7205,1,903,523,57.92,78,61,153,156,198,222,188,30,125,2,879,0
Pct 7206,Election Day,7206,1,390,137,35.13,18,24,31,50,39,51,48,12,23,0,248,4
Pct 7206,VBM,7206,1,390,203,52.05,30,31,66,68,66,85,67,9,39,0,351,0
Pct 7207,Election Day,7207,1,712,184,25.84,16,23,33,58,50,63,46,6,34,0,407,0
Pct 7207,VBM,7207,1,712,411,57.72,71,69,92,119,121,157,114,23,82,0,788,8
Pct 7208,Election Day,7208,1,635,155,24.41,14,20,39,53,59,62,59,10,32,2,270,0
Pct 7208,VBM,7208,1,635,384,60.47,56,73,90,125,121,144,105,36,90,2,694,0
Pct 7209,Election Day,7209,1,563,84,14.92,5,15,19,26,28,30,28,10,16,0,159,0
Pct 7209,VBM,7209,1,563,407,72.29,43,47,126,101,161,184,151,14,78,0,707,16
Pct 7301,Election Day,7301,1,1080,258,23.89,33,40,53,99,66,87,88,19,63,2,482,0
Pct 7301,VBM,7301,1,1080,555,51.39,59,77,148,182,151,167,164,30,128,0,1106,8
Pct 7302,Election Day,7302,1,862,224,25.99,22,24,57,71,54,78,62,15,39,0,474,0
Pct 7302,VBM,7302,1,862,508,58.93,72,69,158,173,165,202,166,30,124,0,857,16
Pct 7303,Election Day,7303,1,1032,313,30.33,32,39,65,104,78,111,93,11,60,4,655,0
