PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),BEVAN DUFTY,MICHAEL PETRELIS,GWYNETH BORDEN,WRITE-IN,Under Vote,Over Vote
Pct 7512,Election Day,7512,1,638,168,26.33,76,9,26,2,51,4
Pct 7512,VBM,7512,1,638,325,50.94,144,26,65,1,89,0
Pct 7513,Election Day,7513,1,836,257,30.74,94,28,55,1,79,0
Pct 7513,VBM,7513,1,836,344,41.15,136,35,84,3,86,0
Pct 7514,Election Day,7514,1,886,186,20.99,44,38,52,1,51,0
Pct 7514,VBM,7514,1,886,358,40.41,131,50,81,4,87,5
Pct 7515,Election Day,7515,1,898,262,29.18,95,25,66,0,76,0
Pct 7515,VBM,7515,1,898,448,49.89,167,20,129,5,124,3
Pct 7516,Election Day,7516,1,907,201,22.16,79,12,60,0,50,0
Pct 7516,VBM,7516,1,907,558,61.52,246,34,145,1,130,2
Pct 7517,Election Day,7517,1,956,354,37.03,151,19,81,0,103,0
Pct 7517,VBM,7517,1,956,472,49.37,217,13,108,1,132,1
Pct 7518,Election Day,7518,1,993,356,35.85,170,12,71,1,102,0
Pct 7518,VBM,7518,1,993,502,50.55,226,6,135,1,134,0
Pct 7519,Election Day,7519,1,802,283,35.29,128,8,61,0,85,1
Pct 7519,VBM,7519,1,802,393,49.00,178,18,86,5,105,1
Pct 7521,Election Day,7521,1,854,321,37.59,154,14,63,0,90,0
Pct 7521,VBM,7521,1,854,405,47.42,177,17,90,0,120,1
Pct 7522,Election Day,7522,1,848,307,36.20,162,9,63,0,73,0
Pct 7522,VBM,7522,1,848,435,51.30,216,8,105,0,105,1
Pct 7523,Election Day,7523,1,821,288,35.08,158,10,60,1,59,0
Pct 7523,VBM,7523,1,821,401,48.84,192,14,84,2,109,0
Pct 7524,Election Day,7524,1,728,228,31.32,101,22,55,1,48,1
Pct 7524,VBM,7524,1,728,304,41.76,132,16,80,0,75,1
Pct 7525,Election Day,7525,1,870,236,27.13,105,13,62,1,55,0
Pct 7525,VBM,7525,1,870,400,45.98,167,19,111,2,101,0
Pct 7526,Election Day,7526,1,999,280,28.03,115,20,72,0,73,0
Pct 7526,VBM,7526,1,999,578,57.86,264,14,145,2,149,4
Pct 7527/7528,Election Day,7527,1,773,258,33.38,103,23,53,0,79,0
Pct 7527/7528,VBM,7527,1,773,366,47.35,147,21,95,1,99,3
Pct 7529,Election Day,7529,1,992,318,32.06,147,15,65,0,91,0
Pct 7529,VBM,7529,1,992,542,54.64,238,19,145,4,133,3
Pct 7531,Election Day,7531,1,954,301,31.55,145,10,76,0,70,0
Pct 7531,VBM,7531,1,954,504,52.83,208,16,133,5,142,0
Pct 7532,Election Day,7532,1,886,280,31.60,116,21,58,0,85,0
Pct 7532,VBM,7532,1,886,461,52.03,184,16,134,1,124,2
Pct 7533,Election Day,7533,1,1025,428,41.76,222,10,89,4,102,1
Pct 7533,VBM,7533,1,1025,482,47.02,199,17,127,1,138,0
Pct 7534,Election Day,7534,1,967,337,34.85,177,12,65,1,82,0
Pct 7534,VBM,7534,1,967,438,45.29,212,16,105,1,104,0
Pct 7535,Election Day,7535,1,807,296,36.68,145,18,62,2,69,0
Pct 7535,VBM,7535,1,807,415,51.43,178,9,106,1,121,0
Pct 7536,Election Day,7536,1,895,295,32.96,134,13,59,2,87,0
Pct 7536,VBM,7536,1,895,480,53.63,222,16,118,0,124,0
Pct 7537,Election Day,7537,1,783,294,37.55,133,12,63,3,82,1
Pct 7537,VBM,7537,1,783,370,47.25,163,10,111,1,83,2
Pct 7538,Election Day,7538,1,831,291,35.02,164,14,42,0,71,0
Pct 7538,VBM,7538,1,831,445,53.55,203,13,110,1,118,0
Pct 7539,Election Day,7539,1,978,363,37.12,199,19,66,2,77,0
Pct 7539,VBM,7539,1,978,458,46.83,227,6,105,4,114,2
Pct 7541,Election Day,7541,1,865,271,31.33,145,12,51,2,61,0
Pct 7541,VBM,7541,1,865,457,52.83,227,13,109,1,106,1
Pct 7542,Election Day,7542,1,906,291,32.12,160,12,50,4,64,1
Pct 7542,VBM,7542,1,906,465,51.32,236,8,115,2,103,1
Pct 7543,Election Day,7543,1,993,267,26.89,137,10,54,2,64,0
Pct 7543,VBM,7543,1,993,539,54.28,279,24,135,0,101,0
Pct 7544,Election Day,7544,1,962,295,30.67,137,13,65,3,76,1
Pct 7544,VBM,7544,1,962,526,54.68,240,21,140,2,123,0
Pct 7545,Election Day,7545,1,970,276,28.45,131,11,53,0,81,0
Pct 7545,VBM,7545,1,970,557,57.42,238,26,143,2,146,2
Pct 7546,Election Day,7546,1,935,365,39.04,188,4,66,0,107,0
Pct 7546,VBM,7546,1,935,452,48.34,216,9,131,0,95,1
Pct 7547,Election Day,7547,1,1057,335,31.69,173,10,61,2,89,0
Pct 7547,VBM,7547,1,1057,502,47.49,213,13,128,3,145,0
Pct 7548,Election Day,7548,1,1135,338,29.78,159,13,70,0,96,0
Pct 7548,VBM,7548,1,1135,556,48.99,258,15,144,4,135,0
Pct 7549,Election Day,7549,1,854,276,32.32,113,17,49,1,94,2
Pct 7549,VBM,7549,1,854,458,53.63,226,16,110,0,105,1
Pct 7551,Election Day,7551,1,762,252,33.07,123,4,57,0,68,0
Pct 7551,VBM,7551,1,762,417,54.72,192,4,110,0,111,0
Pct 7552,Election Day,7552,1,756,256,33.86,120,9,63,1,63,0
Pct 7552,VBM,7552,1,756,422,55.82,174,13,109,2,123,1
Pct 7553 MB,Election Day,7553,1,187,5,2.67,0,0,0,0,5,0
Pct 7553 MB,VBM,7553,1,187,163,87.17,70,4,38,3,48,0
Pct 7554,Election Day,7554,1,859,279,32.48,115,12,76,1,74,1
Pct 7554,VBM,7554,1,859,490,57.04,206,5,155,2,120,2
