PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),JOEL ENGARDIO,JOHN FARRELL,MIKE YOUNG,NORMAN YEE,BEN MATRANGA,WRITE-IN,Under Vote,Over Vote
Pct 9743,Election Day,9743,1,1159,363,31.32,49,32,38,142,39,3,52,0
Pct 9743,VBM,9743,1,1159,544,46.94,66,43,43,251,68,1,56,2
Pct 9744,Election Day,9744,1,968,364,37.60,39,55,59,104,33,2,18,3
Pct 9744,VBM,9744,1,968,399,41.22,60,47,55,134,41,1,44,3
Pct 9745,Election Day,9745,1,1052,359,34.13,54,41,33,115,48,0,51,1
Pct 9745,VBM,9745,1,1052,403,38.31,38,46,52,165,47,1,38,4
Pct 9746,Election Day,9746,1,903,310,34.33,47,33,12,88,85,1,8,0
Pct 9746,VBM,9746,1,903,473,52.38,82,52,23,161,96,0,45,0
Pct 9747,Election Day,9747,1,989,301,30.43,41,32,9,97,72,0,42,0
Pct 9747,VBM,9747,1,989,496,50.15,69,53,20,205,89,4,50,0
Pct 9748,Election Day,9748,1,981,278,28.34,33,27,7,112,62,1,33,1
Pct 9748,VBM,9748,1,981,531,54.13,80,67,15,230,76,0,48,0
Pct 9749,Election Day,9749,1,969,256,26.42,34,21,11,117,34,0,30,1
Pct 9749,VBM,9749,1,969,430,44.38,53,32,29,213,46,1,44,1
Pct 9751,Election Day,9751,1,1011,306,30.27,53,24,10,86,73,1,48,2
Pct 9751,VBM,9751,1,1011,602,59.55,128,52,30,229,93,1,39,1
Pct 9752,Election Day,9752,1,721,206,28.57,49,17,9,57,44,0,24,1
Pct 9752,VBM,9752,1,721,420,58.25,83,46,18,160,90,0,13,2
Pct 9753,Election Day,9753,1,777,228,29.34,37,16,8,101,39,0,18,2
Pct 9753,VBM,9753,1,777,408,52.51,88,35,15,168,54,0,38,2
Pct 9754,Election Day,9754,1,744,259,34.81,43,18,7,111,56,0,22,0
Pct 9754,VBM,9754,1,744,389,52.28,63,22,17,181,52,1,31,2
Pct 9755,Election Day,9755,1,605,185,30.58,25,13,14,83,18,0,22,1
Pct 9755,VBM,9755,1,605,307,50.74,66,23,19,135,28,3,25,1
Pct 9756,Election Day,9756,1,980,279,28.47,35,28,20,98,38,1,49,1
Pct 9756,VBM,9756,1,980,505,51.53,60,45,36,220,64,1,54,2
Pct 9902 MB,Election Day,9902,1,0,0,0.00,0,0,0,0,0,0,0,0
Pct 9902 MB,VBM,9902,1,0,0,0.00,0,0,0,0,0,0,0,0
