PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 7019,VBM,7019,1,945,468,49.52,307,134,25,0
Pct 7021,Election Day,7021,1,993,266,26.79,176,73,18,0
Pct 7021,VBM,7021,1,993,365,36.76,223,114,21,1
Pct 7022,Election Day,7022,1,1032,271,26.26,180,58,24,0
Pct 7022,VBM,7022,1,1032,396,38.37,251,118,26,0
Pct 7023,Election Day,7023,1,938,255,27.19,153,74,23,0
Pct 7023,VBM,7023,1,938,416,44.35,253,130,28,0
Pct 7024,Election Day,7024,1,309,75,24.27,32,39,3,0
Pct 7024,VBM,7024,1,309,44,14.24,26,17,1,0
Pct 7025,Election Day,7025,1,505,129,25.54,70,43,16,0
Pct 7025,VBM,7025,1,505,137,27.13,89,38,9,0
Pct 7026,Election Day,7026,1,1022,202,19.77,126,60,16,0
Pct 7026,VBM,7026,1,1022,498,48.73,299,155,33,0
Pct 7027,Election Day,7027,1,879,244,27.76,150,72,19,0
Pct 7027,VBM,7027,1,879,333,37.88,208,98,26,0
Pct 7028,Election Day,7028,1,900,267,29.67,158,89,20,0
Pct 7028,VBM,7028,1,900,277,30.78,172,87,17,1
Pct 7029,Election Day,7029,1,924,252,27.27,150,76,25,0
Pct 7029,VBM,7029,1,924,273,29.55,187,70,14,0
Pct 7030,Election Day,7030,1,787,162,20.58,103,46,13,0
Pct 7030,VBM,7030,1,787,396,50.32,230,137,27,0
Pct 7031,Election Day,7031,1,511,97,18.98,66,22,9,0
Pct 7031,VBM,7031,1,511,295,57.73,194,74,21,0
Pct 7032,Election Day,7032,1,938,227,24.20,136,70,18,0
Pct 7032,VBM,7032,1,938,362,38.59,220,110,26,2
Pct 7033,Election Day,7033,1,814,247,30.34,131,96,20,0
Pct 7033,VBM,7033,1,814,299,36.73,191,90,19,0
Pct 7034,Election Day,7034,1,954,264,27.67,142,96,24,0
Pct 7034,VBM,7034,1,954,251,26.31,154,88,11,0
Pct 7035,Election Day,7035,1,476,141,29.62,81,51,9,0
Pct 7035,VBM,7035,1,476,200,42.02,115,69,15,0
Pct 7036,Election Day,7036,1,967,175,18.10,103,54,18,0
Pct 7036,VBM,7036,1,967,421,43.54,250,145,25,1
Pct 7037,Election Day,7037,1,840,221,26.31,123,73,27,0
Pct 7037,VBM,7037,1,840,158,18.81,83,63,8,1
Pct 7038,Election Day,7038,1,960,209,21.77,104,88,18,0
Pct 7038,VBM,7038,1,960,386,40.21,232,117,38,0
Pct 7039,Election Day,7039,1,831,246,29.60,155,73,18,0
Pct 7039,VBM,7039,1,831,379,45.61,240,118,20,0
Pct 7041 MB,Election Day,7041,1,62,6,9.68,2,3,2,0
Pct 7041 MB,VBM,7041,1,62,36,58.06,17,15,4,0
Pct 7042,Election Day,7042,1,697,145,20.80,100,39,6,0
Pct 7042,VBM,7042,1,697,369,52.94,236,105,26,0
Pct 7043,Election Day,7043,1,990,208,21.01,130,69,9,0
Pct 7043,VBM,7043,1,990,432,43.64,292,114,21,0
Pct 7044,Election Day,7044,1,867,234,26.99,135,85,14,0
Pct 7044,VBM,7044,1,867,181,20.88,95,75,11,0
Pct 7045,Election Day,7045,1,803,205,25.53,125,62,14,0
Pct 7045,VBM,7045,1,803,326,40.60,197,105,21,0
Pct 7046,Election Day,7046,1,435,110,25.29,61,39,9,0
Pct 7046,VBM,7046,1,435,209,48.05,127,75,6,0
Pct 7047,Election Day,7047,1,858,178,20.75,125,40,12,0
Pct 7047,VBM,7047,1,858,424,49.42,267,122,29,0
Pct 7048,Election Day,7048,1,877,196,22.35,112,68,17,0
Pct 7048,VBM,7048,1,877,322,36.72,186,100,30,1
Pct 7049,Election Day,7049,1,829,219,26.42,127,73,20,0
Pct 7049,VBM,7049,1,829,315,38.00,161,124,26,0
Pct 7051,Election Day,7051,1,909,160,17.60,102,33,26,0
Pct 7051,VBM,7051,1,909,452,49.72,269,148,29,0
Pct 7052,Election Day,7052,1,894,214,23.94,130,67,17,0
Pct 7052,VBM,7052,1,894,461,51.57,277,150,32,0
Pct 7053,Election Day,7053,1,552,105,19.02,62,35,5,0
Pct 7053,VBM,7053,1,552,357,64.67,214,112,22,0
Pct 7054,Election Day,7054,1,1068,318,29.78,184,113,21,0
Pct 7054,VBM,7054,1,1068,365,34.18,228,116,18,0
Pct 7101 MB,Election Day,7101,1,150,3,2.00,2,0,1,0
Pct 7101 MB,VBM,7101,1,150,123,82.00,110,11,1,0
Pct 7201,Election Day,7201,1,983,268,27.26,186,65,17,0
Pct 7201,VBM,7201,1,983,600,61.04,415,143,31,1
Pct 7202,Election Day,7202,1,885,278,31.41,204,60,14,0
Pct 7202,VBM,7202,1,885,474,53.56,338,104,22,0
Pct 7203,Election Day,7203,1,950,341,35.89,230,88,20,0
Pct 7203,VBM,7203,1,950,499,52.53,344,118,28,0
Pct 7204,Election Day,7204,1,933,276,29.58,198,65,12,1
Pct 7204,VBM,7204,1,933,557,59.70,398,123,26,0
Pct 7205,Election Day,7205,1,903,292,32.34,212,68,12,0
Pct 7205,VBM,7205,1,903,523,57.92,360,132,25,0
Pct 7206,Election Day,7206,1,390,137,35.13,108,18,11,0
Pct 7206,VBM,7206,1,390,203,52.05,151,47,5,0
Pct 7207,Election Day,7207,1,712,184,25.84,131,36,17,0
Pct 7207,VBM,7207,1,712,411,57.72,290,89,27,0
Pct 7208,Election Day,7208,1,635,155,24.41,112,33,9,0
Pct 7208,VBM,7208,1,635,384,60.47,255,90,30,0
Pct 7209,Election Day,7209,1,563,84,14.92,58,23,3,0
Pct 7209,VBM,7209,1,563,407,72.29,300,76,25,0
Pct 7301,Election Day,7301,1,1080,258,23.89,161,84,18,0
Pct 7301,VBM,7301,1,1080,555,51.39,336,166,48,0
Pct 7302,Election Day,7302,1,862,224,25.99,162,43,20,0
