precinct_id	name	list_order	type_1	type_2	type_3	type_4	type_5	type_6	cmax_category_order	ed_turnout	ev_turnout	MAIL_turnout	type4_turnout	type5_turnout	type6_turnout	turnout
177	Pct 7532	177	1	2	3	4	5	6	2	172	134	0	0	0	0	306
178	Pct 7533	178	1	2	3	4	5	6	2	300	134	0	0	0	0	434
179	Pct 7534	179	1	2	3	4	5	6	2	242	152	0	0	0	0	394
180	Pct 7535	180	1	2	3	4	5	6	2	209	143	0	0	0	0	352
181	Pct 7536	181	1	2	3	4	5	6	2	223	141	0	0	0	0	364
182	Pct 7537	182	1	2	3	4	5	6	2	192	130	0	0	0	0	322
183	Pct 7538	183	1	2	3	4	5	6	2	211	155	0	0	0	0	366
184	Pct 7539	184	1	2	3	4	5	6	2	269	125	0	0	0	0	394
185	Pct 7541	185	1	2	3	4	5	6	2	174	144	0	0	0	0	318
186	Pct 7542	186	1	2	3	4	5	6	2	216	142	0	0	0	0	358
187	Pct 7543	187	1	2	3	4	5	6	2	175	188	0	0	0	0	363
188	Pct 7544	188	1	2	3	4	5	6	2	169	170	0	0	0	0	339
189	Pct 7545	189	1	2	3	4	5	6	2	185	163	0	0	0	0	348
190	Pct 7546	190	1	2	3	4	5	6	2	245	145	0	0	0	0	390
191	Pct 7547	191	1	2	3	4	5	6	2	204	170	0	0	0	0	374
192	Pct 7548	192	1	2	3	4	5	6	2	222	207	0	0	0	0	429
193	Pct 7549	193	1	2	3	4	5	6	2	171	155	0	0	0	0	326
194	Pct 7551	194	1	2	3	4	5	6	2	197	120	0	0	0	0	317
195	Pct 7552	195	1	2	3	4	5	6	2	183	139	0	0	0	0	322
196	Pct 7553 MB	196	1	2	3	4	5	6	2	0	52	0	0	0	0	52
197	Pct 7554	197	1	2	3	4	5	6	2	204	189	0	0	0	0	393
198	Pct 7555	198	1	2	3	4	5	6	2	237	164	0	0	0	0	401
199	Pct 7556/7557	199	1	2	3	4	5	6	2	230	196	0	0	0	0	426
200	Pct 7601	200	1	2	3	4	5	6	2	119	121	0	0	0	0	240
201	Pct 7602	201	1	2	3	4	5	6	2	144	158	0	0	0	0	302
202	Pct 7603	202	1	2	3	4	5	6	2	149	130	0	0	0	0	279
203	Pct 7604	203	1	2	3	4	5	6	2	172	162	0	0	0	0	334
204	Pct 7605	204	1	2	3	4	5	6	2	104	115	0	0	0	0	219
205	Pct 7606	205	1	2	3	4	5	6	2	104	141	0	0	0	0	245
206	Pct 7607	206	1	2	3	4	5	6	2	132	185	0	0	0	0	317
207	Pct 7608	207	1	2	3	4	5	6	2	33	89	0	0	0	0	122
208	Pct 7609	208	1	2	3	4	5	6	2	57	242	0	0	0	0	299
209	Pct 7611	209	1	2	3	4	5	6	2	68	161	0	0	0	0	229
210	Pct 7612	210	1	2	3	4	5	6	2	75	119	0	0	0	0	194
211	Pct 7613	211	1	2	3	4	5	6	2	106	171	0	0	0	0	277
212	Pct 7614	212	1	2	3	4	5	6	2	133	162	0	0	0	0	295
213	Pct 7615	213	1	2	3	4	5	6	2	84	141	0	0	0	0	225
214	Pct 7616	214	1	2	3	4	5	6	2	96	168	0	0	0	0	264
215	Pct 7617	215	1	2	3	4	5	6	2	68	166	0	0	0	0	234
216	Pct 7618	216	1	2	3	4	5	6	2	157	187	0	0	0	0	344
217	Pct 7619	217	1	2	3	4	5	6	2	204	279	0	0	0	0	483
218	Pct 7621	218	1	2	3	4	5	6	2	155	202	0	0	0	0	357
219	Pct 7622	219	1	2	3	4	5	6	2	83	139	0	0	0	0	222
220	Pct 7623	220	1	2	3	4	5	6	2	94	119	0	0	0	0	213
221	Pct 7624	221	1	2	3	4	5	6	2	82	148	0	0	0	0	230
222	Pct 7625	222	1	2	3	4	5	6	2	54	339	0	0	0	0	393
223	Pct 7626	223	1	2	3	4	5	6	2	145	242	0	0	0	0	387
224	Pct 7627	224	1	2	3	4	5	6	2	164	268	0	0	0	0	432
225	Pct 7628	225	1	2	3	4	5	6	2	132	183	0	0	0	0	315
226	Pct 7629	226	1	2	3	4	5	6	2	116	121	0	0	0	0	237
227	Pct 7631	227	1	2	3	4	5	6	2	168	212	0	0	0	0	380
228	Pct 7632	228	1	2	3	4	5	6	2	127	120	0	0	0	0	247
229	Pct 7633	229	1	2	3	4	5	6	2	108	174	0	0	0	0	282
230	Pct 7634	230	1	2	3	4	5	6	2	130	235	0	0	0	0	365
231	Pct 7635	231	1	2	3	4	5	6	2	99	106	0	0	0	0	205
232	Pct 7636	232	1	2	3	4	5	6	2	160	148	0	0	0	0	308
233	Pct 7637	233	1	2	3	4	5	6	2	124	251	0	0	0	0	375
